"location","Month","Tmax","Tmin","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
"GWANGJU",1,2.19485595105673,2.16493426028921,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",2,2.16966062291435,2.19994705228031,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",3,2.18088921023359,2.06065828698554,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",4,1.96586473859844,1.96978976640712,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",5,2.15608453837597,2.27243114571746,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",6,2.37725261401557,2.48813971078977,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",7,2.58494482758621,2.66309855394883,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",8,2.91083993325918,2.98059755283649,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",9,2.72291802002225,2.89623993325918,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",10,2.86596407119021,3.00784060066741,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",11,2.64660889877642,2.8984724137931,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",12,2.27977252502781,2.35218520578421,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",1,2.47364949944383,2.51632458286986,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",2,2.32035094549499,2.40235672969967,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",3,2.57226662958843,2.35503570634038,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",4,2.43176151279199,2.46228331479421,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",5,2.43917486095662,2.50445050055617,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",6,2.89816551724138,2.98203325917686,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",7,2.95630289210234,3.00555984427141,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",8,2.97358832035595,3.1687233592881,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",9,2.9970276974416,3.19684638487208,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",10,2.94926084538376,3.23269543937709,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",11,2.54318631813126,2.86448854282536,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",12,2.66764994438265,2.7926658509455,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",1,2.38404949944383,2.57851813125695,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",2,2.81428965517241,2.84656318131257,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",3,2.65595050055617,2.61139054505006,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",4,2.25334860956618,2.26978008898776,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",5,2.26711679644049,2.40400533926585,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",6,2.53358809788654,2.70116874304783,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",7,2.72611256952169,2.8311275862069,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",8,2.91122703003337,3.12513303670745,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",9,2.82800511679644,3.00413348164627,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",10,2.49251890989989,2.51920511679644,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",11,2.07571212458287,2.21432725250278,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",12,1.82606284760845,1.95790456062291,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",1,3.08281401557286,3.10588909899889,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",2,3.33864771968854,3.36775672969967,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",3,3.59033759733037,3.37089377085651,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",4,3.09912925472747,3.04647041156841,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",5,3.16695550611791,3.34619888765295,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",6,3.48185583982202,3.62808487208009,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",7,3.72950289210234,3.77873081201335,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",8,3.94313025583982,3.96545884315907,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",9,4.09818576195773,4.23986251390434,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",10,3.96054149054505,4.14725672969967,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",11,3.57158954393771,3.84004338153504,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",12,3.15111768631813,3.20991746384872,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",1,3.10254949944383,3.11245684093437,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",2,2.67893481646274,2.83873092324805,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",3,2.67694082313682,2.65553570634038,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",4,2.5949808676307,2.44685428253615,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",5,2.75173292547275,2.87023114571746,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",6,2.92318164627364,2.97383003337041,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",7,3.1030254727475,3.17950177975528,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",8,3.32236251390434,3.37834271412681,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",9,3.37268253615128,3.45041090100111,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",10,3.19848342602892,3.25164060066741,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",11,2.88853793103448,3.05137563959956,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",12,2.555059621802,2.63315939933259,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"GWANGJU",1,5.13695917686318,5.31372780867631,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",2,5.21225417130145,5.38456318131257,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",3,5.20376662958843,5.26107764182425,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",4,4.96210667408231,4.97892202447163,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",5,5.11975228031146,5.23497953281424,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",6,5.51669454949944,5.67257842046719,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",7,6.0152254727475,5.9535404894327,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",8,6.24837541713014,6.27453303670745,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",9,6.51577931034483,6.66225928809789,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",10,6.27525116796441,6.43887931034483,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",11,5.53103470522803,5.9581530589544,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",12,4.9714660734149,5.0993723025584,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"GWANGJU",1,2.30630066740823,1.73676863181313,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",2,2.20790734149054,1.80570867630701,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",3,1.95378854282536,1.48290689655172,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",4,0.236631701890989,1.42966407119021,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",5,1.09227174638487,1.85793426028921,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",6,0.847832146829813,1.75436062291435,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",7,1.00767541713014,0.831179087875416,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",8,0.784081312569523,2.04365928809788,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",9,0.926148720800889,2.00181646273638,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",10,1.29091779755284,1.54502291434928,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",11,2.03116929922136,1.1856957730812,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",12,0.823560511679645,1.04272658509455,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",1,2.77285873192436,1.85283637374861,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",2,2.1229234705228,2.30072157953281,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",3,2.42624015572859,2.0986681868743,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",4,0.392709121245829,1.3581511679644,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",5,1.25360400444939,2.23883426028921,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",6,1.24898053392659,2.29062513904338,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",7,1.16614961067853,1.43081457174639,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",8,1.00716518353726,1.82431090100111,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",9,0.747461624026695,1.61202291434928,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",10,1.64727908787542,1.13837130144605,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",11,1.77854026696329,1.59235383759733,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",12,1.30536051167964,1.21494593993326,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",1,1.92534905450501,1.93199443826474,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",2,3.03386218020022,2.59315383759733,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",3,1.35696918798665,1.97788109010011,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",4,0.721941379310344,1.81811245828699,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",5,1.14710723025584,1.81000200222469,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",6,1.15200956618465,2.67786707452725,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",7,1.29122057842047,0.969146829810899,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",8,1.24348776418243,2.16838186874305,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",9,1.06922936596218,3.28799388209121,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",10,2.0016468298109,2.06642614015573,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",11,2.5002467185762,1.45536996662959,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",12,1.29447341490545,2.01480077864294,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",1,2.88600711902113,2.58903314794216,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",2,3.50211379310345,2.62036028921023,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",3,3.26274015572859,2.95241979977753,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",4,0.783896218020022,2.79898665183537,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",5,1.83109432703003,2.67698909899889,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",6,1.84939666295885,3.73927997775306,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",7,2.01433025583982,2.32305005561735,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",8,2.11123937708565,3.1051979977753,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",9,2.13574872080089,3.45431323692992,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",10,2.98252747497219,3.39349065628476,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",11,3.2023660734149,3.32421835372636,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",12,1.891570189099,2.55946529477197,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",1,2.75923292547275,2.6113234705228,"ssp585",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",2,2.387910567297,2.60994738598443,"ssp585",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",3,2.01686273637375,2.5674617352614,"ssp585",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",4,0.761602669632925,1.66556084538376,"ssp585",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",5,1.98296852057842,2.14125038932147,"ssp585",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",6,1.72894505005562,3.19912191323693,"ssp585",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",7,1.97196573971079,1.98498553948832,"ssp585",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",8,1.92974260289211,2.7544915461624,"ssp585",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",9,1.87530033370411,3.94141323692992,"ssp585",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",10,3.03909521690768,2.87442614015573,"ssp585",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",11,2.69539510567297,3.24992157953281,"ssp585",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",12,1.80509276974416,1.97921690767519,"ssp585",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",1,4.84721357063404,5.39356218020022,"ssp585",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",2,5.24317508342603,5.26081190211346,"ssp585",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",3,4.77052402669633,4.77011334816463,"ssp585",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",4,2.0031575083426,4.27763503893215,"ssp585",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",5,3.64823948832036,4.49527619577308,"ssp585",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",6,3.94798375973304,5.36507030033371,"ssp585",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",7,3.94575606229143,4.26827586206896,"ssp585",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"GWANGJU",8,3.91376195773081,5.22972380422692,"ssp585",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
