"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Model","Chill_portions","GDH","Data_source"
"1998/1999",1999,120,120,100,1315,1240.5,76.4464682939179,5480.67408962917,"observed"
"1999/2000",2000,120,120,100,1274,1136,75.7711754487544,4231.44917850482,"observed"
"2000/2001",2001,121,121,100,1254,1194,79.1510642236836,4139.85141061888,"observed"
"2001/2002",2002,120,120,100,1461,1321,80.1644603174629,4137.29022561691,"observed"
"2002/2003",2003,120,120,100,1407,1307.5,79.4768128587449,3124.68167478853,"observed"
"2003/2004",2004,120,120,100,1135,1108.5,72.1889362085195,5745.84688330628,"observed"
"2004/2005",2005,121,121,100,1244,1079.5,73.746911413184,5191.47290365906,"observed"
"2001/2002",2002,120,120,100,1181,1124,77.1602017633253,3946.46846472628,"simulated"
"2002/2003",2003,120,120,100,1284,1183,77.3677927563598,4041.75443767454,"simulated"
"2003/2004",2004,120,120,100,1276,1100.5,71.0524072659122,5821.36349949483,"simulated"
"2004/2005",2005,121,121,100,1193,1147,73.7244553638851,4587.04082538593,"simulated"
"2005/2006",2006,120,120,100,1089,1012.5,73.3103553691247,4450.21416602301,"simulated"
"2006/2007",2007,120,120,100,1172,1110.5,74.1724415401968,4489.26459604424,"simulated"
"2007/2008",2008,120,120,100,1381,1325,81.0747941996166,4733.52775925087,"simulated"
"2008/2009",2009,121,121,100,1271,1247.5,75.8812444804011,4847.51677908716,"simulated"
"2009/2010",2010,120,120,100,1110,1125,75.4366855965642,4970.50403661399,"simulated"
"2010/2011",2011,120,120,100,1070,949,71.2225467908257,5555.04420583679,"simulated"
"2011/2012",2012,120,120,100,1301,1275.5,77.8911612282454,4674.99056551099,"simulated"
"2012/2013",2013,121,121,100,1266,1158,73.9945602862638,4871.02918637047,"simulated"
"2013/2014",2014,120,120,100,1206,1210,77.1903197088359,5344.47101950077,"simulated"
"2014/2015",2015,120,120,100,1556,1572,83.8692384968743,4032.08916125942,"simulated"
"2015/2016",2016,120,120,100,1309,1196,79.1747008465856,4114.71293706799,"simulated"
"2016/2017",2017,121,121,100,1256,1217,77.0907746913515,4120.41863285729,"simulated"
"2017/2018",2018,120,120,100,1268,1147.5,76.8428206131452,4720.8768452403,"simulated"
"2018/2019",2019,120,120,100,1218,1182.5,77.4474003195031,5649.51822655285,"simulated"
"2019/2020",2020,120,120,100,1110,1095.5,75.7595957031487,4289.58458915437,"simulated"
"2020/2021",2021,121,121,100,1126,1035.5,73.4952392780333,4363.73417584945,"simulated"
"2021/2022",2022,120,120,100,1303,1413,81.3089753760683,5213.14639110359,"simulated"
"2022/2023",2023,120,120,100,1375,1295,79.0049252976207,4037.36531805639,"simulated"
"2023/2024",2024,120,120,100,1222,1129.5,76.5498179382235,3657.7802768068,"simulated"
"2024/2025",2025,121,121,100,1216,1114,76.0361939395279,4570.8029817003,"simulated"
"2025/2026",2026,120,120,100,1121,1015,72.1446750720029,5010.14541631395,"simulated"
"2026/2027",2027,120,120,100,1393,1398.5,78.1888432676604,5862.84201273768,"simulated"
"2027/2028",2028,120,120,100,1276,1247.5,78.640844836259,4596.37265134971,"simulated"
"2028/2029",2029,121,121,100,1311,1219,76.0674907479378,5064.38044683833,"simulated"
"2029/2030",2030,120,120,100,1287,1196.5,77.9855709265784,4629.33532888757,"simulated"
"2030/2031",2031,120,120,100,1233,1115.5,73.9950579564613,4027.19573914822,"simulated"
"2031/2032",2032,120,120,100,1428,1358.5,79.6461899573924,4004.70621769961,"simulated"
"2032/2033",2033,121,121,100,1300,1208,76.9783327197624,4755.48497953286,"simulated"
"2033/2034",2034,120,120,100,1305,1220.5,74.2525348522979,5418.13759733299,"simulated"
"2034/2035",2035,120,120,100,1359,1386.5,80.2104294787329,5099.12698395629,"simulated"
"2035/2036",2036,120,120,100,1414,1371,81.0833923974455,3935.99314976078,"simulated"
"2036/2037",2037,121,121,100,1312,1237,77.0302142773923,4161.46261454789,"simulated"
"2037/2038",2038,120,120,100,1278,1287.5,79.5759364049097,5363.42113122813,"simulated"
"2038/2039",2039,120,120,100,1129,1061.5,75.4090423201574,4677.48819509378,"simulated"
"2039/2040",2040,120,120,100,1239,1138.5,77.5328014826539,3034.36205276286,"simulated"
"2040/2041",2041,121,121,100,1375,1270,80.4501420419512,3550.37314574125,"simulated"
"2041/2042",2042,120,120,100,1214,1121,75.9740539968715,4989.27465951771,"simulated"
"2042/2043",2043,120,120,100,1208,1138.5,78.9273828156225,2734.76426355223,"simulated"
"2043/2044",2044,120,120,100,1218,1043,72.8860925647508,6130.16693632323,"simulated"
"2044/2045",2045,121,121,100,1245,1177,77.7695904025566,4083.34985169732,"simulated"
"2045/2046",2046,120,120,100,1441,1430.5,82.4583641105181,4184.86735771488,"simulated"
"2046/2047",2047,120,120,100,1486,1482.5,81.778074594161,4137.34306705086,"simulated"
"2047/2048",2048,120,120,100,1233,1233,77.4403933981352,5781.6328377534,"simulated"
"2048/2049",2049,121,121,100,1362,1218,77.0798501908724,4485.15584241132,"simulated"
"2049/2050",2050,120,120,100,1382,1317,80.1142633735965,4761.42965535657,"simulated"
"2050/2051",2051,120,120,100,1302,1321,78.5420700566448,5601.11230908348,"simulated"
"2051/2052",2052,120,120,100,1404,1257.5,78.27019997345,4190.50457942917,"simulated"
"2052/2053",2053,121,121,100,1301,1198,78.428870818908,3897.17383150904,"simulated"
"2053/2054",2054,120,120,100,1064,996,74.5470268039828,4592.06483950835,"simulated"
"2054/2055",2055,120,120,100,1224,1115,78.781077248155,3665.77024384393,"simulated"
"2055/2056",2056,120,120,100,1471,1419.5,83.8549324899802,3486.67552225038,"simulated"
"2056/2057",2057,121,121,100,1347,1277.5,79.9904213006117,3875.72092575862,"simulated"
