"Season","End_year","Season_days","Data_days","Interpolated_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"1973/1974",1974,120,120,0,100,76.6715837491736,2606.23488471418,1252
"1976/1977",1977,121,121,0,100,68.8212024363666,3002.70239183214,1282
"1977/1978",1978,120,120,0,100,78.0556410276645,4560.29778106854,934
"1978/1979",1979,120,120,0,100,74.6604106971852,6345.1590225391,708
"1979/1980",1980,120,120,0,100,70.3938053267183,4650.89795598807,1157
"1980/1981",1981,121,121,0,100,70.6728814887424,3854.15172266949,1281
"1981/1982",1982,120,120,0,100,79.2430564695127,2286.88851463539,1118
"1982/1983",1983,120,120,0,100,75.1332370812254,4659.39025346073,986
"1983/1984",1984,120,120,0,100,72.3148052723461,3060.99227115605,1301
"1984/1985",1985,121,121,0,100,72.9863121932458,4593.32841192291,1080
"1985/1986",1986,120,120,0,100,71.1117382250379,2868.52554370323,1315
"1986/1987",1987,120,120,0,100,79.9611354335339,3868.48500043899,849
"1987/1988",1988,120,120,0,100,73.7431063570118,4846.16176091367,978
"1988/1989",1989,121,121,0,100,81.7109420100487,4113.83502257802,725
"1989/1990",1990,120,120,0,100,77.4296304203012,5083.3022890233,688
"1990/1991",1991,120,120,0,100,74.0971302194364,6109.86328591476,790
"1991/1992",1992,120,120,0,100,79.1077880807334,4353.63631893694,772
"1992/1993",1993,121,121,0,100,79.3260859279749,4172.64592484129,886
"1993/1994",1994,120,120,0,100,74.5476984488364,5337.63648114097,915
"1994/1995",1995,120,120,0,100,72.0189856577986,5905.99267866323,856
"1995/1996",1996,120,120,0,100,77.1913520816865,3237.66168179084,1124
"1996/1997",1997,121,121,0,100,77.8648665866585,4534.53059290862,1022
"1997/1998",1998,120,120,0,100,78.1996379234524,6455.84866939159,612
"1999/2000",2000,120,120,0,100,75.8498551606376,4229.73845351441,946
"2000/2001",2001,121,121,0,100,79.6341396335961,4140.96719464287,952
"2001/2002",2002,120,120,0,100,80.3262058817468,4138.509150723,739
"2002/2003",2003,120,120,0,100,79.5385499215654,3126.69789890898,910
"2003/2004",2004,120,120,0,100,72.183477614215,5748.27472508699,866
"2004/2005",2005,121,121,0,100,73.5885806796637,5192.48184568807,956
"2005/2006",2006,120,120,0,100,73.6543106728127,4702.84499904187,1046
"2006/2007",2007,120,120,0,100,77.7171866542958,6153.46466441685,548
"2007/2008",2008,120,120,0,100,79.3236998251173,4144.2483072076,779
"2008/2009",2009,121,121,0,100,76.9224378287618,6147.18257012684,694
"2009/2010",2010,120,120,0,100,73.0284935542295,6102.84154942632,899
"2010/2011",2011,120,120,0,100,71.0791314821126,3899.71038729278,1185
"2011/2012",2012,120,120,0,100,68.5912604289879,6656.89314542571,1031
"2012/2013",2013,121,121,0,100,74.9370875374034,3276.07183111273,1116
"2013/2014",2014,120,120,0,100,78.5819904845539,4659.18705594307,766
"2014/2015",2015,120,120,0,100,80.1005643156359,4326.16609943053,886
"2015/2016",2016,120,120,0,100,73.5059370377558,7027.31693460606,648
"2016/2017",2017,121,121,0,100,77.3677435709405,5035.88749235915,773
"2017/2018",2018,120,120,0,100,75.1615469090802,3297.51863127109,1091
"2018/2019",2019,120,120,0,100,77.9839762335332,4715.02234322159,796
