"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.9082787324921,6712.233854233,536
"2002/2003",2003,120,120,100,72.1717668637249,8256.73810184735,619
"2003/2004",2004,120,120,100,72.1795901242892,6513.34468840828,830
"2004/2005",2005,121,121,100,79.6640863286842,5690.68895503873,724
"2005/2006",2006,120,120,100,77.1898998703665,6441.77757920395,624
"2006/2007",2007,120,120,100,70.139762177963,6220.14613641624,948
"2007/2008",2008,120,120,100,78.152067381495,7028.93299315707,380
"2008/2009",2009,121,121,100,76.6444073212299,4508.5643296194,897
"2009/2010",2010,120,120,100,82.6006438512394,5878.6534229205,420
"2010/2011",2011,120,120,100,74.7152390591656,7955.68814852473,646
"2011/2012",2012,120,120,100,75.2758347345268,7269.76138782292,466
"2012/2013",2013,121,121,100,73.6150185669276,6368.96368429624,817
"2013/2014",2014,120,120,100,73.8379833913564,8062.41888471635,629
"2014/2015",2015,120,120,100,76.3089053609517,5879.22120423452,666
"2015/2016",2016,120,120,100,71.3702509229704,8200.1172491645,625
"2016/2017",2017,121,121,100,78.4560067173352,5545.83506665891,772
"2017/2018",2018,120,120,100,74.1948068090728,7459.55200239085,514
"2018/2019",2019,120,120,100,74.9867017731531,8441.94674209319,307
"2019/2020",2020,120,120,100,75.2036278525602,6243.63987551141,714
"2020/2021",2021,121,121,100,74.154780777403,7035.49106629845,740
"2021/2022",2022,120,120,100,79.9209890580178,5006.32138361619,440
"2022/2023",2023,120,120,100,72.424579723699,8659.46981735132,482
"2023/2024",2024,120,120,100,74.1915205419455,5904.10096187028,726
"2024/2025",2025,121,121,100,75.999150558348,8916.49700735719,462
"2025/2026",2026,120,120,100,73.8140333034894,7745.67944900249,709
"2026/2027",2027,120,120,100,71.2096219925033,6274.15433711908,916
"2027/2028",2028,120,120,100,70.5470729831945,9841.4928430398,398
"2028/2029",2029,121,121,100,83.0226725404723,3891.67814164609,761
"2029/2030",2030,120,120,100,72.2717310022135,7645.21331744827,674
"2030/2031",2031,120,120,100,70.0523941016149,6785.59175048489,1065
"2031/2032",2032,120,120,100,75.4208839752391,5317.17357829865,833
"2032/2033",2033,121,121,100,77.1023686471526,7546.53580300137,490
"2033/2034",2034,120,120,100,77.6984730818021,5507.19404727919,711
"2034/2035",2035,120,120,100,78.0415298480757,6886.1130650714,434
"2035/2036",2036,120,120,100,70.4844204435908,8323.35072532482,628
"2036/2037",2037,121,121,100,72.6329395569996,7358.96179924952,667
"2037/2038",2038,120,120,100,78.2394357239655,6699.69620479923,478
"2038/2039",2039,120,120,100,75.9879467977316,6985.40053172922,567
"2039/2040",2040,120,120,100,74.8637111992757,6897.39513202431,608
"2040/2041",2041,121,121,100,76.2913702512628,7012.22031811858,567
"2041/2042",2042,120,120,100,77.7528458703473,9140.25532711716,305
"2042/2043",2043,120,120,100,79.4290055448582,7160.78514742339,455
"2043/2044",2044,120,120,100,77.155910710223,6539.71747258306,741
"2044/2045",2045,121,121,100,80.6072607580327,7078.61284754938,384
"2045/2046",2046,120,120,100,81.5906808716345,4068.05851886794,683
"2046/2047",2047,120,120,100,78.9893821465548,6818.80290703243,502
"2047/2048",2048,120,120,100,72.8347259694929,8169.08750664582,512
"2048/2049",2049,121,121,100,76.9484768931125,6008.93887693575,645
"2049/2050",2050,120,120,100,77.5131291231173,5955.43593665911,605
"2050/2051",2051,120,120,100,83.1041775309413,4900.90209275344,602
"2051/2052",2052,120,120,100,67.4551621890914,7996.39266811125,747
"2052/2053",2053,121,121,100,71.153346118228,9175.15727161197,507
"2053/2054",2054,120,120,100,71.7447776615163,8170.44052251847,592
"2054/2055",2055,120,120,100,77.5328126493796,6768.65854925942,482
"2055/2056",2056,120,120,100,78.7677472833639,6065.30534908269,455
"2056/2057",2057,121,121,100,70.6508268563384,9132.7234002538,521
"2057/2058",2058,120,120,100,74.8568033394222,6715.05760498717,542
"2058/2059",2059,120,120,100,78.0738972894105,6162.82951244991,665
"2059/2060",2060,120,120,100,75.0344646598969,6337.51363329496,683
"2060/2061",2061,121,121,100,71.0668948427456,7300.20841161627,835
"2061/2062",2062,120,120,100,75.4042469527976,8481.55439334922,394
"2062/2063",2063,120,120,100,77.0384083677609,5782.27368843276,689
