"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.0774389025613,6635.9267890479,611
"2002/2003",2003,120,120,100,72.6195269032037,8233.83872195968,701
"2003/2004",2004,120,120,100,70.909349998834,6466.6050152301,875
"2004/2005",2005,121,121,100,78.9410729342375,5612.50815034704,772
"2005/2006",2006,120,120,100,75.7935268395598,6362.97051982861,696
"2006/2007",2007,120,120,100,68.4209142384893,6186.13501270156,994
"2007/2008",2008,120,120,100,78.4747299918855,6943.96608298155,432
"2008/2009",2009,121,121,100,76.3295532317456,4386.21369836095,952
"2009/2010",2010,120,120,100,81.8143167344506,5800.45643495838,500
"2010/2011",2011,120,120,100,75.9492060386854,7773.25791605026,684
"2011/2012",2012,120,120,100,76.1323952488947,7152.42246374546,515
"2012/2013",2013,121,121,100,74.2596337081166,6324.31800615438,858
"2013/2014",2014,120,120,100,72.6276532891522,8019.6987290266,681
"2014/2015",2015,120,120,100,76.6345923370438,5847.1189208841,733
"2015/2016",2016,120,120,100,70.4866989433699,8166.40066898218,676
"2016/2017",2017,121,121,100,77.9711183635795,5529.76660429966,843
"2017/2018",2018,120,120,100,74.7473856742251,7371.86192129413,569
"2018/2019",2019,120,120,100,77.3566860504432,8334.63513402641,384
"2019/2020",2020,120,120,100,74.8572683926113,6185.70203731232,774
"2020/2021",2021,121,121,100,74.654285733264,6960.43512973725,786
"2021/2022",2022,120,120,100,79.9053039162732,4832.86649290472,476
"2022/2023",2023,120,120,100,70.9180469324101,8521.06147317449,521
"2023/2024",2024,120,120,100,73.5917617405735,5850.85775318067,789
"2024/2025",2025,121,121,100,75.7226410872508,8768.8103290901,511
"2025/2026",2026,120,120,100,73.0978268054746,7741.92019439721,760
"2026/2027",2027,120,120,100,70.1084920599328,6218.52788395016,957
"2027/2028",2028,120,120,100,71.3805789553649,9677.32268090965,438
"2028/2029",2029,121,121,100,80.7348446528149,3829.5654954291,824
"2029/2030",2030,120,120,100,71.6556119410939,7653.90427407343,758
"2030/2031",2031,120,120,100,67.9634545549975,6780.20938223461,1119
"2031/2032",2032,120,120,100,74.1696722263018,5286.37090453831,887
"2032/2033",2033,121,121,100,76.461844797253,7399.81611885689,534
"2033/2034",2034,120,120,100,76.9326074827623,5323.95584048051,748
"2034/2035",2035,120,120,100,79.0508832493565,6773.62893959461,489
"2035/2036",2036,120,120,100,72.5979216570668,8315.7999813878,682
"2036/2037",2037,121,121,100,71.9567496164805,7300.40121209295,725
"2037/2038",2038,120,120,100,77.5754782907306,6601.65157669876,562
"2038/2039",2039,120,120,100,73.5626906069328,6913.75920850551,639
"2039/2040",2040,120,120,100,76.1120889081162,6783.04527841089,666
"2040/2041",2041,121,121,100,74.6431768149423,6945.4119614996,616
"2041/2042",2042,120,120,100,76.8299701287679,8973.46630896116,371
"2042/2043",2043,120,120,100,79.1553134313945,7095.703786531,520
"2043/2044",2044,120,120,100,76.2365624797421,6453.27734566946,789
"2044/2045",2045,121,121,100,81.1014463259498,6951.01695050439,462
"2045/2046",2046,120,120,100,79.8265584186893,3976.63934833463,736
"2046/2047",2047,120,120,100,78.4763236181343,6724.00049790181,568
"2047/2048",2048,120,120,100,74.6021529018699,8017.14097693563,575
"2048/2049",2049,121,121,100,77.7248874604165,5917.84783500619,708
"2049/2050",2050,120,120,100,76.8158207428942,5905.65804878622,679
"2050/2051",2051,120,120,100,81.0152387640546,4841.98015494272,670
"2051/2052",2052,120,120,100,67.7327563111221,7958.04821687937,812
"2052/2053",2053,121,121,100,70.6143479392485,9115.77493939176,568
"2053/2054",2054,120,120,100,70.2077913981802,8084.13275999716,640
"2054/2055",2055,120,120,100,77.7675121403636,6671.86356757116,544
"2055/2056",2056,120,120,100,79.5030943325573,5984.27838683408,528
"2056/2057",2057,121,121,100,71.5320115704762,9046.46783242002,565
"2057/2058",2058,120,120,100,74.2813761079815,6560.12016792316,600
"2058/2059",2059,120,120,100,77.604430603833,6130.67725000437,722
"2059/2060",2060,120,120,100,74.8501689514751,6225.32771441806,748
"2060/2061",2061,121,121,100,68.9698731267945,7327.07440644503,904
"2061/2062",2062,120,120,100,75.5984019736861,8292.13232747465,412
"2062/2063",2063,120,120,100,75.0884135348115,5705.59831494186,751
"2063/2064",2064,120,120,100,76.3685972488265,6909.21140439622,623
"2064/2065",2065,121,121,100,72.6456743957197,7365.59132037591,699
"2065/2066",2066,120,120,100,75.5527077376792,6528.1860096585,755
"2066/2067",2067,120,120,100,74.6556966990211,6475.89368320163,671
"2067/2068",2068,120,120,100,71.638803690771,5617.51041516848,931
"2068/2069",2069,121,121,100,74.7538084451926,7348.21715233196,721
"2069/2070",2070,120,120,100,78.6601405153051,5538.92716832738,753
"2070/2071",2071,120,120,100,78.6674200173466,5903.30064394791,645
"2071/2072",2072,120,120,100,73.7377222083505,8326.50336441677,383
"2072/2073",2073,121,121,100,75.4798750125301,5869.92827870697,832
"2073/2074",2074,120,120,100,76.2635886686594,6967.87014102284,561
"2074/2075",2075,120,120,100,73.6345284000827,5619.26024065074,792
"2075/2076",2076,120,120,100,73.1963676411724,6679.46950610913,695
"2076/2077",2077,121,121,100,73.9305963300731,7738.17926581204,577
"2077/2078",2078,120,120,100,78.265535923716,6539.42151744943,647
"2078/2079",2079,120,120,100,76.5585084627974,7764.66844958346,486
"2079/2080",2080,120,120,100,67.5892591192987,8927.82846453134,660
"2080/2081",2081,121,121,100,81.1040844953113,7243.79055440798,404
"2081/2082",2082,120,120,100,76.4737308524909,6124.9939435944,730
"2082/2083",2083,120,120,100,72.4840069885959,7712.57240475807,712
"2083/2084",2084,120,120,100,71.5018151863114,7055.35161192622,916
"2084/2085",2085,121,121,100,77.1857347720324,6461.6583124632,620
"2085/2086",2086,120,120,100,73.7765679986296,6610.69668011833,778
"2086/2087",2087,120,120,100,75.8543122566662,6834.1653394103,654
"2087/2088",2088,120,120,100,78.7862821685721,6555.32730066124,549
"2088/2089",2089,121,121,100,75.3269142130648,5790.19465712737,805
"2089/2090",2090,120,120,100,73.7593888699612,6629.63578690309,759
"2090/2091",2091,120,120,100,77.8492609739696,6394.10705022048,525
"2091/2092",2092,120,120,100,73.5015726391794,7150.19402590301,567
"2092/2093",2093,121,121,100,79.7854427494203,6545.40881420951,537
"2093/2094",2094,120,120,100,74.6277226918282,7244.1659180494,420
"2094/2095",2095,120,120,100,71.3614758992499,7660.95909136441,712
"2095/2096",2096,120,120,100,75.6507461163674,6423.9760847073,751
"2096/2097",2097,121,121,100,76.5100744560496,6087.92334611621,786
"2097/2098",2098,120,120,100,71.2812422450661,7156.50873955153,745
"2098/2099",2099,120,120,100,69.0226960579021,6718.61202073563,861
"2099/2100",2100,120,120,100,75.6956632247384,7358.80316501111,596
