"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.9930893870028,7671.90296666835,472
"2002/2003",2003,120,120,100,70.0778619558598,9085.46823697552,531
"2003/2004",2004,120,120,100,71.3151412333444,7266.1144257035,740
"2004/2005",2005,121,121,100,78.1020049746265,6385.85885083198,613
"2005/2006",2006,120,120,100,76.2545048910725,7318.62313863536,560
"2006/2007",2007,120,120,100,70.1413709054677,6886.33369925688,856
"2007/2008",2008,120,120,100,78.9380497944596,7926.80654398503,311
"2008/2009",2009,121,121,100,76.4648424852617,5076.28888273099,803
"2009/2010",2010,120,120,100,80.634348928583,6787.80333914235,351
"2010/2011",2011,120,120,100,74.8118454309629,8798.37589081028,564
"2011/2012",2012,120,120,100,73.7733074759342,8158.85747819592,386
"2012/2013",2013,121,121,100,74.846267300423,7125.05167893856,731
"2013/2014",2014,120,120,100,72.5226244640746,8903.68977633561,556
"2014/2015",2015,120,120,100,77.7664517963922,6603.96678323951,596
"2015/2016",2016,120,120,100,70.263990304463,9062.97151849419,549
"2016/2017",2017,121,121,100,77.4243890559487,6267.13227547775,690
"2017/2018",2018,120,120,100,71.3332697753069,8317.23790153791,443
"2018/2019",2019,120,120,100,74.6165569588602,9429.04890093999,249
"2019/2020",2020,120,120,100,75.5941472050865,7027.21771571669,629
"2020/2021",2021,121,121,100,74.5820742013591,7859.72590056551,641
"2021/2022",2022,120,120,100,81.2066544075174,5763.55681556207,361
"2022/2023",2023,120,120,100,73.0631586196732,9582.47508827248,424
"2023/2024",2024,120,120,100,74.2456794948616,6600.22021369496,631
"2024/2025",2025,121,121,100,75.4058567071893,9778.84279841371,377
"2025/2026",2026,120,120,100,72.6759974170755,8670.11999537284,638
"2026/2027",2027,120,120,100,70.8766941480994,6813.16872740118,809
"2027/2028",2028,120,120,100,69.9738111140887,10836.3207412616,329
"2028/2029",2029,121,121,100,83.599738936919,4534.58554636361,638
"2029/2030",2030,120,120,100,72.3948915971059,8441.90073692799,601
"2030/2031",2031,120,120,100,68.6211699569494,7441.21444062935,984
"2031/2032",2032,120,120,100,76.7513023713327,5980.35092723835,733
"2032/2033",2033,121,121,100,76.8344629208541,8453.80393831618,420
"2033/2034",2034,120,120,100,78.0821481218709,6220.95093795098,618
"2034/2035",2035,120,120,100,77.8741225171952,7754.53155265516,363
"2035/2036",2036,120,120,100,71.1072616542415,9224.49305986799,549
"2036/2037",2037,121,121,100,71.8687615069166,8161.69217721,569
"2037/2038",2038,120,120,100,78.2774559957766,7562.21836160729,415
"2038/2039",2039,120,120,100,75.653608385619,7767.63163889805,491
"2039/2040",2040,120,120,100,74.5649762521525,7717.41960761929,526
"2040/2041",2041,121,121,100,74.2026852291574,7784.39254950266,486
"2041/2042",2042,120,120,100,77.0694482511099,10194.256342988,244
"2042/2043",2043,120,120,100,77.1257454283518,8129.20305378735,398
"2043/2044",2044,120,120,100,75.52220811393,7292.54642021842,650
"2044/2045",2045,121,121,100,79.9884718506155,8022.63546792232,317
"2045/2046",2046,120,120,100,82.3632189448736,4709.31251906091,572
"2046/2047",2047,120,120,100,77.6979619395424,7695.55206410727,444
"2047/2048",2048,120,120,100,70.8980902466619,9008.046129758,421
"2048/2049",2049,121,121,100,77.4435169821518,6797.65431429911,551
"2049/2050",2050,120,120,100,77.0698699725026,6699.45547906775,508
"2050/2051",2051,120,120,100,82.4268948998624,5674.18651021458,491
"2051/2052",2052,120,120,100,68.9099632255993,8797.30466841301,645
"2052/2053",2053,121,121,100,69.3944666940315,10121.618425162,431
"2053/2054",2054,120,120,100,70.8727839863213,8983.53400855744,506
"2054/2055",2055,120,120,100,77.5593441234723,7629.26450975006,412
"2055/2056",2056,120,120,100,78.7035006770111,6889.67729497142,363
"2056/2057",2057,121,121,100,70.9231511157195,10111.2832347816,463
"2057/2058",2058,120,120,100,75.861963371819,7503.76855656598,468
"2058/2059",2059,120,120,100,78.856161789573,6980.97951262258,589
"2059/2060",2060,120,120,100,75.1551439747509,7079.63509302586,577
"2060/2061",2061,121,121,100,71.4583828763862,8045.82618625462,756
"2061/2062",2062,120,120,100,74.0628082548583,9477.4201084394,334
"2062/2063",2063,120,120,100,73.9742179612722,6522.35936033353,610
"2063/2064",2064,120,120,100,78.1673116083703,7754.69973684568,475
"2064/2065",2065,121,121,100,72.8414756318589,8264.49413434695,559
"2065/2066",2066,120,120,100,73.7056860752855,7299.69063946139,607
"2066/2067",2067,120,120,100,74.865287400954,7308.44630241022,536
"2067/2068",2068,120,120,100,73.4717045005209,6273.01909403317,781
"2068/2069",2069,121,121,100,74.651042248147,8234.32484129164,594
"2069/2070",2070,120,120,100,77.8734657613968,6425.71755927149,637
"2070/2071",2071,120,120,100,78.8236327887535,6885.78513080999,519
"2071/2072",2072,120,120,100,74.6148376228366,9516.89742394257,280
"2072/2073",2073,121,121,100,74.7129142758058,6659.50075639039,695
"2073/2074",2074,120,120,100,76.5917574148016,7954.01725110412,412
"2074/2075",2075,120,120,100,76.0713356192309,6364.01347736828,635
"2075/2076",2076,120,120,100,73.9226776278065,7584.0215652585,567
"2076/2077",2077,121,121,100,75.0469483717052,8796.39413493499,439
"2077/2078",2078,120,120,100,77.020106166934,7564.15050300118,529
"2078/2079",2079,120,120,100,75.7987894418202,8834.26210855041,352
"2079/2080",2080,120,120,100,67.7866672086211,9890.43423081655,544
"2080/2081",2081,121,121,100,79.9646012395588,8487.2861072123,270
"2081/2082",2082,120,120,100,79.6780839232779,6944.43400239199,584
"2082/2083",2083,120,120,100,71.163933122345,8588.83109514788,562
"2083/2084",2084,120,120,100,71.5971786353766,7805.48583965376,773
"2084/2085",2085,121,121,100,77.2580430355356,7494.11501220334,495
"2085/2086",2086,120,120,100,73.4317391679415,7449.82012494374,632
"2086/2087",2087,120,120,100,75.878660375236,7738.06270875596,498
"2087/2088",2088,120,120,100,77.4551612042869,7459.79190098122,390
"2088/2089",2089,121,121,100,75.1920361718221,6576.22831268888,649
"2089/2090",2090,120,120,100,75.3993326309192,7537.40667017736,662
"2090/2091",2091,120,120,100,79.8967508464448,7366.77267670352,394
"2091/2092",2092,120,120,100,75.1038889822303,8028.27021841705,403
"2092/2093",2093,121,121,100,79.0352130446317,7508.0126210982,406
"2093/2094",2094,120,120,100,74.9226267543909,8271.55547826365,267
"2094/2095",2095,120,120,100,69.7701290000896,8526.35584143177,573
"2095/2096",2096,120,120,100,76.7156332666473,7270.07341120578,605
"2096/2097",2097,121,121,100,77.8857209600592,6910.47787787393,653
"2097/2098",2098,120,120,100,72.7719040662105,7950.59300854709,607
"2098/2099",2099,120,120,100,68.5737104025866,7439.08817347046,684
"2099/2100",2100,120,120,100,75.6151889895173,8399.28427370824,490
