"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.1520587525713,6703.30224833498,555
"2002/2003",2003,120,120,100,74.6651000395279,8106.44897841569,605
"2003/2004",2004,120,120,100,71.5508721316443,6297.38964495907,808
"2004/2005",2005,121,121,100,79.5455401724249,5521.62046496879,709
"2005/2006",2006,120,120,100,76.6618117859504,6361.82859302952,621
"2006/2007",2007,120,120,100,70.8425855393891,6027.96181744616,935
"2007/2008",2008,120,120,100,79.0768971534497,6940.37681044207,373
"2008/2009",2009,121,121,100,76.201229063896,4303.30135947326,894
"2009/2010",2010,120,120,100,82.7955143999418,5760.53603963519,419
"2010/2011",2011,120,120,100,77.5242997072874,7617.20199419977,608
"2011/2012",2012,120,120,100,74.7250475637488,7221.06592152605,473
"2012/2013",2013,121,121,100,75.4050898353978,6229.29102638143,796
"2013/2014",2014,120,120,100,73.3882117956396,7930.32506625471,625
"2014/2015",2015,120,120,100,76.6757176212793,5741.37899699924,670
"2015/2016",2016,120,120,100,70.9760604292815,8022.30381935462,604
"2016/2017",2017,121,121,100,78.9132438284798,5431.21162839024,773
"2017/2018",2018,120,120,100,74.7667146775245,7268.36305533536,496
"2018/2019",2019,120,120,100,77.0260853952766,8337.59074983234,307
"2019/2020",2020,120,120,100,74.963307647165,6088.47621830506,704
"2020/2021",2021,121,121,100,76.5669936486861,6937.0152714164,724
"2021/2022",2022,120,120,100,81.3120187904119,4932.01026857854,423
"2022/2023",2023,120,120,100,72.6737821647221,8666.86805622093,484
"2023/2024",2024,120,120,100,73.3631279868073,5792.0694677888,714
"2024/2025",2025,121,121,100,75.3803474118208,8736.41577218962,443
"2025/2026",2026,120,120,100,76.4521520655335,7605.35275909235,691
"2026/2027",2027,120,120,100,70.5214523212248,6116.58311166661,899
"2027/2028",2028,120,120,100,71.3460729550184,9612.75569928903,373
"2028/2029",2029,121,121,100,82.886769358844,3794.99468873069,753
"2029/2030",2030,120,120,100,73.104177624065,7553.94615049427,672
"2030/2031",2031,120,120,100,69.8432503362842,6615.67326861667,1065
"2031/2032",2032,120,120,100,77.804559327195,5125.16278766282,810
"2032/2033",2033,121,121,100,77.734597158144,7417.4252427551,470
"2033/2034",2034,120,120,100,79.1124871138677,5267.34238917613,694
"2034/2035",2035,120,120,100,79.7962431972578,6854.39619639795,420
"2035/2036",2036,120,120,100,71.7928103134,8254.45209585596,617
"2036/2037",2037,121,121,100,72.9972246204525,7175.72951567732,640
"2037/2038",2038,120,120,100,80.4792040838174,6650.54071486788,500
"2038/2039",2039,120,120,100,75.1919703826088,6829.34098146297,575
"2039/2040",2040,120,120,100,77.4572951418681,6709.94457696797,599
"2040/2041",2041,121,121,100,76.5639943809033,6875.52070168359,550
"2041/2042",2042,120,120,100,76.0894005936716,8905.69878372503,295
"2042/2043",2043,120,120,100,79.141940497504,7192.41876856564,467
"2043/2044",2044,120,120,100,79.1073682641781,6255.29058217816,712
"2044/2045",2045,121,121,100,83.0759108137954,6874.66245299578,373
"2045/2046",2046,120,120,100,82.1063354613634,3911.48336347193,667
"2046/2047",2047,120,120,100,80.4443929961517,6711.16575036291,511
"2047/2048",2048,120,120,100,76.8881805424489,7952.28132147482,488
"2048/2049",2049,121,121,100,78.8722335510756,5916.37978847371,636
"2049/2050",2050,120,120,100,77.8369035071973,5772.00832582358,585
"2050/2051",2051,120,120,100,84.1488642321137,4787.45233573299,590
"2051/2052",2052,120,120,100,71.4557980789568,7788.36055206135,719
"2052/2053",2053,121,121,100,71.6217619972513,9076.84437113302,504
"2053/2054",2054,120,120,100,71.9858536737765,7988.6423341711,567
"2054/2055",2055,120,120,100,77.7013106284276,6659.55859795678,483
"2055/2056",2056,120,120,100,80.2165930783267,5997.01460972801,443
"2056/2057",2057,121,121,100,71.3884531332706,9054.10015253816,510
"2057/2058",2058,120,120,100,75.5954692154792,6668.2488241652,546
"2058/2059",2059,120,120,100,80.2839465837842,6006.28510106169,645
"2059/2060",2060,120,120,100,77.0771761510778,6129.47039149702,657
"2060/2061",2061,121,121,100,73.0933504305849,7129.07355369721,834
"2061/2062",2062,120,120,100,77.3441258571766,8277.7451042058,369
"2062/2063",2063,120,120,100,77.8916215257786,5702.37227481604,676
"2063/2064",2064,120,120,100,75.0260756711068,6940.82477824949,553
"2064/2065",2065,121,121,100,74.4580324845074,7261.55172419827,627
"2065/2066",2066,120,120,100,76.538943378182,6405.87268118467,677
"2066/2067",2067,120,120,100,75.3470550335878,6394.7063017115,604
"2067/2068",2068,120,120,100,71.8625051898962,5585.76399643254,873
"2068/2069",2069,121,121,100,75.1143294903295,7401.0827984754,671
"2069/2070",2070,120,120,100,79.1864155549592,5534.75492758956,719
"2070/2071",2071,120,120,100,79.8389720803343,5991.56257450394,596
"2071/2072",2072,120,120,100,76.2864184384107,8397.07761273906,333
"2072/2073",2073,121,121,100,77.1651915650546,5763.55807582662,776
"2073/2074",2074,120,120,100,78.5353772390836,6916.74525351729,488
"2074/2075",2075,120,120,100,75.9995994459832,5579.08740833215,726
"2075/2076",2076,120,120,100,75.2943292847112,6683.48559468612,653
"2076/2077",2077,121,121,100,76.4798794443723,7803.20693763811,520
"2077/2078",2078,120,120,100,77.8933137939503,6568.54397302493,591
"2078/2079",2079,120,120,100,76.7112828578292,7772.12211008929,413
"2079/2080",2080,120,120,100,67.3956783361909,8844.51835078653,605
"2080/2081",2081,121,121,100,82.4736475196078,7347.21849843394,341
"2081/2082",2082,120,120,100,79.1918948340663,6048.17819279153,665
"2082/2083",2083,120,120,100,73.4832342332702,7638.7305322811,641
"2083/2084",2084,120,120,100,71.5558509919902,6879.80038929917,848
"2084/2085",2085,121,121,100,78.5653534281719,6389.72698002215,554
"2085/2086",2086,120,120,100,74.9755006610449,6490.78761629481,701
"2086/2087",2087,120,120,100,76.5168701983421,6826.52252240479,567
"2087/2088",2088,120,120,100,78.415350635667,6513.27385109477,473
"2088/2089",2089,121,121,100,76.3066466571818,5723.37591048144,745
"2089/2090",2090,120,120,100,75.4877302266596,6547.88917971402,709
"2090/2091",2091,120,120,100,78.9240979359547,6380.2961547887,458
"2091/2092",2092,120,120,100,76.7274498683237,7054.03845013492,473
"2092/2093",2093,121,121,100,79.7096053896312,6553.22619610559,478
"2093/2094",2094,120,120,100,78.4733198388658,7302.4903255282,354
"2094/2095",2095,120,120,100,71.763366389454,7545.01389806252,649
"2095/2096",2096,120,120,100,77.0573736126898,6342.19279933255,679
"2096/2097",2097,121,121,100,77.7436465789015,5971.70288429502,714
"2097/2098",2098,120,120,100,72.4826940729145,7100.07330972794,694
"2098/2099",2099,120,120,100,69.822700482282,6581.12516192533,781
"2099/2100",2100,120,120,100,77.4359326526956,7292.19292347226,539
