"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,75.3202795803821,9700.05801922875,354
"2002/2003",2003,120,120,100,70.4961545524015,11050.2513970901,410
"2003/2004",2004,120,120,100,68.1413427431245,9133.75230165006,623
"2004/2005",2005,121,121,100,77.9732516521029,8134.92812694551,480
"2005/2006",2006,120,120,100,74.3714915698009,9222.99773497751,436
"2006/2007",2007,120,120,100,70.346221714451,8508.51590949099,694
"2007/2008",2008,120,120,100,74.8883801855065,9922.11389213428,202
"2008/2009",2009,121,121,100,78.1130250228287,6458.17113188072,653
"2009/2010",2010,120,120,100,78.8908705081304,8756.34495110612,223
"2010/2011",2011,120,120,100,71.3001551165089,10896.9046238465,458
"2011/2012",2012,120,120,100,73.7597324481296,10098.331029298,288
"2012/2013",2013,121,121,100,70.7165470850125,8986.89821909496,623
"2013/2014",2014,120,120,100,67.84413952369,10901.7636701253,444
"2014/2015",2015,120,120,100,72.7791616935142,8368.7792083422,479
"2015/2016",2016,120,120,100,67.6759259273008,11076.9763321502,437
"2016/2017",2017,121,121,100,74.3969042955796,8023.91925153509,546
"2017/2018",2018,120,120,100,70.9050330921771,10333.6391123852,357
"2018/2019",2019,120,120,100,72.2893702873107,11660.0894605259,171
"2019/2020",2020,120,120,100,74.4331436481966,8939.75268388703,478
"2020/2021",2021,121,121,100,70.86079153676,9617.53152236412,501
"2021/2022",2022,120,120,100,79.8769602715045,7403.05444829538,226
"2022/2023",2023,120,120,100,69.7489386190477,11511.1449714769,327
"2023/2024",2024,120,120,100,72.7535307782673,8237.56626233622,494
"2024/2025",2025,121,121,100,74.913466698496,11635.4234972841,258
"2025/2026",2026,120,120,100,66.8960431675082,10827.1444299601,531
"2026/2027",2027,120,120,100,71.7427767940881,8238.90087173297,651
"2027/2028",2028,120,120,100,67.2695266961637,13006.718596793,268
"2028/2029",2029,121,121,100,78.7196445397476,6067.25299982587,452
"2029/2030",2030,120,120,100,68.4990961134981,10381.1017743959,461
"2030/2031",2031,120,120,100,64.970949919631,8975.48647120968,830
"2031/2032",2032,120,120,100,71.7470770216428,7697.87017669436,580
"2032/2033",2033,121,121,100,75.6779372991246,10497.9890887784,308
"2033/2034",2034,120,120,100,74.9716390841713,7885.33252394944,455
"2034/2035",2035,120,120,100,71.4847653840256,9702.89091597684,254
"2035/2036",2036,120,120,100,66.5198604942643,11263.4053221382,441
"2036/2037",2037,121,121,100,68.9188901454327,10060.9538673023,413
"2037/2038",2038,120,120,100,76.4037585334845,9448.59815383237,292
"2038/2039",2039,120,120,100,69.6111736479893,9712.85480459593,363
"2039/2040",2040,120,120,100,71.7285006008324,9602.15854633693,386
"2040/2041",2041,121,121,100,72.9591613255784,9438.54692397453,360
"2041/2042",2042,120,120,100,72.5595544599278,12588.7322529424,165
"2042/2043",2043,120,120,100,73.8626144343734,10079.6436750954,296
"2043/2044",2044,120,120,100,71.6999846379717,9288.04556361586,528
"2044/2045",2045,121,121,100,75.3232885544967,10116.654257474,189
"2045/2046",2046,120,120,100,80.554419584766,6202.61595975235,399
"2046/2047",2047,120,120,100,73.908132776327,9719.98254046077,326
"2047/2048",2048,120,120,100,70.5417647523909,10988.4357291078,277
"2048/2049",2049,121,121,100,77.7523402620973,8661.66008556914,439
"2049/2050",2050,120,120,100,74.9258177636138,8495.06858337438,386
"2050/2051",2051,120,120,100,77.3040401280505,7507.63606169214,367
"2051/2052",2052,120,120,100,63.7285850760582,10800.4655990661,539
"2052/2053",2053,121,121,100,68.7647755713342,12060.1769561055,289
"2053/2054",2054,120,120,100,68.8463635648159,10783.0893209875,382
"2054/2055",2055,120,120,100,71.157028927737,9529.22594309086,299
"2055/2056",2056,120,120,100,76.2288549155046,8738.31387459766,229
"2056/2057",2057,121,121,100,69.4791191779968,12052.4086097106,361
"2057/2058",2058,120,120,100,74.8717378414758,9143.00239328947,348
"2058/2059",2059,120,120,100,74.9298344469817,8858.53136077896,471
"2059/2060",2060,120,120,100,69.8187847328718,8958.71596175898,459
"2060/2061",2061,121,121,100,68.4715982615571,9935.81976711284,633
"2061/2062",2062,120,120,100,71.2879645038684,11757.1368318573,251
"2062/2063",2063,120,120,100,73.5038389442525,8239.49607127905,452
"2063/2064",2064,120,120,100,76.3636831000995,9282.36842499021,334
"2064/2065",2065,121,121,100,68.9664341223306,10281.0309738368,444
"2065/2066",2066,120,120,100,72.4959740983995,8926.14804057498,454
"2066/2067",2067,120,120,100,74.5954051391627,9089.39453565702,404
"2067/2068",2068,120,120,100,74.0408047383025,7871.69431074895,630
"2068/2069",2069,121,121,100,73.2823053796956,9961.82438447606,456
"2069/2070",2070,120,120,100,72.7509896723286,8238.21640576515,503
"2070/2071",2071,120,120,100,74.6628274226377,8773.70736231282,380
"2071/2072",2072,120,120,100,71.1251221696784,11725.2687904136,199
"2072/2073",2073,121,121,100,74.3933493555578,8335.7270777151,543
"2073/2074",2074,120,120,100,75.8311079923187,9875.65655458253,287
"2074/2075",2075,120,120,100,73.4396831223667,8041.14484010823,466
"2075/2076",2076,120,120,100,71.1990071446799,9380.20292282663,420
"2076/2077",2077,121,121,100,72.5392715939897,10730.3094876418,315
"2077/2078",2078,120,120,100,73.55098393561,9553.9360662261,425
"2078/2079",2079,120,120,100,70.9963460379922,10960.1379570495,246
"2079/2080",2080,120,120,100,64.2288125653395,12055.2287150696,446
"2080/2081",2081,121,121,100,75.4520369187558,10568.3543496709,137
"2081/2082",2082,120,120,100,75.7626367398807,8728.66465264559,431
"2082/2083",2083,120,120,100,67.926603031091,10642.387029998,403
"2083/2084",2084,120,120,100,65.4058077526151,9653.8926923098,635
"2084/2085",2085,121,121,100,73.4037137452578,9538.58239631169,395
"2085/2086",2086,120,120,100,74.3707549202063,9215.54827245511,499
"2086/2087",2087,120,120,100,72.8042819732855,9562.58902430348,366
"2087/2088",2088,120,120,100,73.7974495294666,9418.71223072056,283
"2088/2089",2089,121,121,100,73.65599515755,8309.02885519341,477
"2089/2090",2090,120,120,100,71.7355597246451,9481.246103229,567
"2090/2091",2091,120,120,100,77.9565354014048,9211.869196794,280
"2091/2092",2092,120,120,100,74.8591376910008,9901.46728269849,261
"2092/2093",2093,121,121,100,76.2502822960596,9489.65146161709,266
"2093/2094",2094,120,120,100,73.4912320076128,10145.4251209842,145
"2094/2095",2095,120,120,100,65.7250366199842,10559.3587860474,437
"2095/2096",2096,120,120,100,72.1468497067035,9134.3181883879,468
"2096/2097",2097,121,121,100,73.5848921105317,8692.66042643692,504
"2097/2098",2098,120,120,100,70.4800690343745,9661.52289578132,458
"2098/2099",2099,120,120,100,67.03770010675,9126.88529235031,543
"2099/2100",2100,120,120,100,71.1390401265799,10486.9797578547,396
