"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.4179088795476,6358.57381948832,616
"2002/2003",2003,120,120,100,72.903364817421,7823.36336545326,704
"2003/2004",2004,120,120,100,72.2440099494261,6131.26308976722,900
"2004/2005",2005,121,121,100,78.4494266126001,5354.85262381623,792
"2005/2006",2006,120,120,100,77.3724944774428,6099.38827040442,722
"2006/2007",2007,120,120,100,72.0834834190433,5885.42082618608,1021
"2007/2008",2008,120,120,100,79.0602236940351,6630.31450089824,467
"2008/2009",2009,121,121,100,75.8148201761956,4293.16814640351,996
"2009/2010",2010,120,120,100,83.0679807369077,5601.87914717174,539
"2010/2011",2011,120,120,100,76.1157102715757,7526.65297498542,714
"2011/2012",2012,120,120,100,77.2263505033245,6853.18687955523,556
"2012/2013",2013,121,121,100,75.6769835126752,5990.60277137952,867
"2013/2014",2014,120,120,100,72.9758360426479,7604.5105201687,689
"2014/2015",2015,120,120,100,75.0619523535534,5557.39267553785,735
"2015/2016",2016,120,120,100,71.0558593103258,7767.20781988488,703
"2016/2017",2017,121,121,100,78.9516073043981,5230.17885146639,855
"2017/2018",2018,120,120,100,75.0098574639514,7079.70536820334,585
"2018/2019",2019,120,120,100,76.8739612717052,7956.27016494563,392
"2019/2020",2020,120,120,100,75.2875795830985,5873.40047264635,782
"2020/2021",2021,121,121,100,74.5232442578736,6677.68703518598,829
"2021/2022",2022,120,120,100,80.5412438079866,4693.6474558427,531
"2022/2023",2023,120,120,100,72.2531944291368,8162.9739808403,551
"2023/2024",2024,120,120,100,75.2548751755644,5570.94245092291,836
"2024/2025",2025,121,121,100,74.5445866346163,8522.45772179775,550
"2025/2026",2026,120,120,100,73.4301356074761,7326.59309316962,762
"2026/2027",2027,120,120,100,70.7295093453458,5899.70760221872,1001
"2027/2028",2028,120,120,100,71.435620738026,9381.22705005202,464
"2028/2029",2029,121,121,100,80.5141250886104,3633.41113429097,880
"2029/2030",2030,120,120,100,73.2732659986145,7178.94529185956,773
"2030/2031",2031,120,120,100,70.2806899945472,6471.89049726119,1134
"2031/2032",2032,120,120,100,78.0344533120619,4989.95432432136,908
"2032/2033",2033,121,121,100,75.8973640822314,7131.401728597,554
