"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.6290154850409,5833.87004225139,642
"2002/2003",2003,120,120,100,73.5957064267275,7284.91511674807,732
"2003/2004",2004,120,120,100,73.7947665260193,5582.29315529155,920
"2004/2005",2005,121,121,100,78.7128385119475,4842.77871629578,825
"2005/2006",2006,120,120,100,79.5655257806625,5564.00122339925,730
"2006/2007",2007,120,120,100,70.8330856112508,5410.74334724306,1049
"2007/2008",2008,120,120,100,80.6332031730562,6087.78206809191,489
"2008/2009",2009,121,121,100,75.0720595535295,3801.79860203562,1026
"2009/2010",2010,120,120,100,82.5011849285929,5004.13839760353,545
"2010/2011",2011,120,120,100,75.2115356085587,6785.4588318154,717
"2011/2012",2012,120,120,100,76.1481844785017,6337.83955215407,569
"2012/2013",2013,121,121,100,75.6028088846899,5499.35174199019,903
"2013/2014",2014,120,120,100,76.2998709583967,7079.44848569448,702
"2014/2015",2015,120,120,100,75.7456372681249,5089.0306385532,771
"2015/2016",2016,120,120,100,71.3546924713389,7198.30372296926,710
"2016/2017",2017,121,121,100,79.5600471044265,4775.9100662719,881
"2017/2018",2018,120,120,100,77.0654936546453,6460.44079258433,603
"2018/2019",2019,120,120,100,77.6998958094055,7379.32185515622,410
"2019/2020",2020,120,120,100,78.5371830352103,5335.53596494789,800
"2020/2021",2021,121,121,100,74.3939558606653,6163.70880809193,849
"2021/2022",2022,120,120,100,80.9514289859953,4218.35828322358,543
"2022/2023",2023,120,120,100,72.9411386609199,7706.7044028365,564
"2023/2024",2024,120,120,100,74.5091173645587,5118.10354727646,846
"2024/2025",2025,121,121,100,75.7450807850082,7898.21185186924,554
"2025/2026",2026,120,120,100,74.1210066534322,6754.27865744825,787
"2026/2027",2027,120,120,100,69.029676672189,5510.74713746994,1032
"2027/2028",2028,120,120,100,73.956079555001,8661.20761129865,464
"2028/2029",2029,121,121,100,81.5886216857643,3215.61466625379,904
"2029/2030",2030,120,120,100,75.64509032566,6747.10413760273,800
"2030/2031",2031,120,120,100,70.3055343140363,6018.1302116178,1164
"2031/2032",2032,120,120,100,77.3761663240948,4500.09881559201,919
"2032/2033",2033,121,121,100,77.9133822736885,6527.24615375604,564
"2033/2034",2034,120,120,100,79.4953209127243,4615.31015880685,817
"2034/2035",2035,120,120,100,79.0254711574958,5997.15175855253,536
"2035/2036",2036,120,120,100,73.2427687043673,7392.45789310848,708
"2036/2037",2037,121,121,100,74.8705492900181,6421.04945336469,765
"2037/2038",2038,120,120,100,78.6588063240224,5827.91844442114,602
"2038/2039",2039,120,120,100,79.3712316906385,6028.0000123214,691
"2039/2040",2040,120,120,100,76.6299520926468,5944.73857722431,712
"2040/2041",2041,121,121,100,75.795319185494,6174.20709064696,676
"2041/2042",2042,120,120,100,77.5605534736005,7924.87431306671,387
"2042/2043",2043,120,120,100,77.3942585888663,6333.56998089515,561
"2043/2044",2044,120,120,100,76.4618504028613,5516.55949192634,829
"2044/2045",2045,121,121,100,82.0561537123704,6056.14239659021,507
"2045/2046",2046,120,120,100,81.812811119833,3382.98379866313,805
"2046/2047",2047,120,120,100,79.8837642043518,5877.96876541665,598
"2047/2048",2048,120,120,100,75.0472030772771,7095.11021898175,620
"2048/2049",2049,121,121,100,78.7674751816312,5137.39776647976,752
"2049/2050",2050,120,120,100,78.3171333979462,5098.49744201498,735
"2050/2051",2051,120,120,100,81.9114043840964,4090.25555662485,727
"2051/2052",2052,120,120,100,71.060483914689,6996.99053610396,851
"2052/2053",2053,121,121,100,72.7608361210096,8192.54691552231,605
"2053/2054",2054,120,120,100,72.2064169818032,7203.6039401358,694
"2054/2055",2055,120,120,100,80.551857176084,5850.3532004226,593
"2055/2056",2056,120,120,100,80.5077910772216,5237.88923418056,580
"2056/2057",2057,121,121,100,72.6825540026039,8172.33292352874,591
"2057/2058",2058,120,120,100,76.8687658069039,5901.60846353509,666
"2058/2059",2059,120,120,100,79.0395430814024,5295.77272857446,759
"2059/2060",2060,120,120,100,77.3545460815685,5377.91844876856,794
"2060/2061",2061,121,121,100,71.9885341754671,6407.33395902254,942
"2061/2062",2062,120,120,100,78.875269924205,7311.38429775182,435
"2062/2063",2063,120,120,100,76.0333550646319,4971.75694474857,796
"2063/2064",2064,120,120,100,76.5347909464926,6249.27985979896,681
"2064/2065",2065,121,121,100,76.2072686758493,6423.8918977594,738
"2065/2066",2066,120,120,100,76.176986920178,5744.05604693107,806
"2066/2067",2067,120,120,100,76.2397356724305,5680.74089778494,711
"2067/2068",2068,120,120,100,71.379419768874,4912.34839410614,981
"2068/2069",2069,121,121,100,74.4289520303155,6600.38376538176,770
"2069/2070",2070,120,120,100,80.5108037913815,4777.67990934383,804
"2070/2071",2071,120,120,100,78.465048800299,5185.01619071513,690
"2071/2072",2072,120,120,100,75.719996784218,7396.02493438032,422
"2072/2073",2073,121,121,100,78.0072592040024,5107.71503219847,900
"2073/2074",2074,120,120,100,78.7352947426452,6129.06458825339,612
"2074/2075",2075,120,120,100,75.9797075476181,4896.35270593595,857
"2075/2076",2076,120,120,100,76.4504265981614,5892.10315293167,751
"2076/2077",2077,121,121,100,77.4635217050354,6904.62805661373,637
"2077/2078",2078,120,120,100,78.144677696384,5733.18276690133,682
"2078/2079",2079,120,120,100,78.4463458527807,6852.11942415591,528
"2079/2080",2080,120,120,100,69.9319231456311,7906.97302598506,690
"2080/2081",2081,121,121,100,81.8509150482041,6412.21826494392,459
"2081/2082",2082,120,120,100,77.4540500424264,5342.30987481494,769
"2082/2083",2083,120,120,100,75.2234253883944,6801.26166879665,741
"2083/2084",2084,120,120,100,72.9150797219354,6166.65591939166,952
"2084/2085",2085,121,121,100,80.902477107853,5612.25535930041,651
"2085/2086",2086,120,120,100,74.3247434454042,5802.05666442774,821
"2086/2087",2087,120,120,100,77.4908265249469,6030.71787786856,699
"2087/2088",2088,120,120,100,77.4006121929342,5708.3458942445,589
"2088/2089",2089,121,121,100,75.7572589502088,5036.81806504168,882
"2089/2090",2090,120,120,100,74.9153207003219,5807.2867069887,787
"2090/2091",2091,120,120,100,80.6364134797477,5603.84114436619,567
"2091/2092",2092,120,120,100,76.5077294981766,6289.38791368995,611
"2092/2093",2093,121,121,100,80.5738830397768,5730.12398029305,567
"2093/2094",2094,120,120,100,77.1434162463975,6443.58955785539,467
"2094/2095",2095,120,120,100,72.8142662442388,6740.0704301279,756
"2095/2096",2096,120,120,100,76.9911021836051,5604.75921390578,794
"2096/2097",2097,121,121,100,77.0241058901756,5298.75651102234,822
"2097/2098",2098,120,120,100,71.4606353483505,6358.7487692507,797
"2098/2099",2099,120,120,100,69.4474135397013,5900.08812110964,916
"2099/2100",2100,120,120,100,78.2005827559824,6463.06775575783,635
