"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,76.511394734566,8903.35470803308,387
"2002/2003",2003,120,120,100,69.3115755049503,10350.0509569842,444
"2003/2004",2004,120,120,100,68.4629681041128,8463.40195945569,656
"2004/2005",2005,121,121,100,78.6087781265895,7531.80743530649,541
"2005/2006",2006,120,120,100,73.3726693340041,8504.15720354742,476
"2006/2007",2007,120,120,100,70.4757826805235,7867.13911892002,727
"2007/2008",2008,120,120,100,75.706333874443,9195.85384774162,238
"2008/2009",2009,121,121,100,79.1570169587989,6044.20899886417,715
"2009/2010",2010,120,120,100,80.4990329449735,8062.07247407106,268
"2010/2011",2011,120,120,100,71.5473536381213,10291.0911382331,505
"2011/2012",2012,120,120,100,73.2376773326828,9388.10712988127,327
"2012/2013",2013,121,121,100,72.7886205807179,8287.80405971769,653
"2013/2014",2014,120,120,100,69.0788137479201,10182.0726252898,480
"2014/2015",2015,120,120,100,73.3966722911339,7654.1349439933,499
"2015/2016",2016,120,120,100,69.7885482438378,10342.7126010191,463
"2016/2017",2017,121,121,100,75.5863955762304,7310.73809129489,585
"2017/2018",2018,120,120,100,70.5937796368667,9652.05775917671,385
"2018/2019",2019,120,120,100,71.4495958725574,10792.5880399104,187
"2019/2020",2020,120,120,100,75.3590616983877,8268.49789494276,547
"2020/2021",2021,121,121,100,73.335766588845,8971.71114049852,556
"2021/2022",2022,120,120,100,80.3900179296163,6821.33795209741,277
"2022/2023",2023,120,120,100,68.6720621655741,10799.8278359063,349
"2023/2024",2024,120,120,100,72.4986918880954,7598.26465799939,535
"2024/2025",2025,121,121,100,74.7235287455251,11084.1852109185,301
"2025/2026",2026,120,120,100,68.6952838000316,9999.09859656426,567
"2026/2027",2027,120,120,100,70.51030901677,7751.95641675312,706
"2027/2028",2028,120,120,100,66.888219467975,12350.5273389895,297
"2028/2029",2029,121,121,100,82.3519880487047,5455.85733132809,513
"2029/2030",2030,120,120,100,70.7543582256749,9603.45323733427,503
"2030/2031",2031,120,120,100,67.5138845111146,8415.24495368311,882
"2031/2032",2032,120,120,100,75.1101887165796,7080.71339308005,644
"2032/2033",2033,121,121,100,76.2079561512669,9791.66594135156,354
"2033/2034",2034,120,120,100,75.8267439844412,7397.23911932204,530
"2034/2035",2035,120,120,100,74.922414271392,8969.41983472882,290
"2035/2036",2036,120,120,100,67.654672626948,10466.6644141469,472
"2036/2037",2037,121,121,100,69.6552175435463,9403.95229366468,468
"2037/2038",2038,120,120,100,77.1239502525868,8749.73197262827,321
"2038/2039",2039,120,120,100,71.4541033377541,9011.25991423288,402
"2039/2040",2040,120,120,100,72.2703810632347,9041.65752557945,448
"2040/2041",2041,121,121,100,72.5720785870426,8907.72496687109,413
"2041/2042",2042,120,120,100,73.2532906478182,11801.4917752878,204
"2042/2043",2043,120,120,100,74.0034639053115,9313.26944577787,318
"2043/2044",2044,120,120,100,75.501667174367,8613.59360850742,581
"2044/2045",2045,121,121,100,76.5884475602561,9403.46539835213,240
"2045/2046",2046,120,120,100,80.9483222478257,5691.01074987929,450
"2046/2047",2047,120,120,100,75.3917687931998,8974.32071734965,358
"2047/2048",2048,120,120,100,68.5526162401284,10369.5279333396,336
"2048/2049",2049,121,121,100,77.7925932623375,7958.82815546263,462
"2049/2050",2050,120,120,100,74.2604623464958,7858.60487993201,435
"2050/2051",2051,120,120,100,80.6892872103954,6821.36487381114,406
"2051/2052",2052,120,120,100,65.2892054018339,10095.6546672988,580
"2052/2053",2053,121,121,100,68.2722595711912,11425.3634404493,337
"2053/2054",2054,120,120,100,69.1882110884153,10274.7702344554,439
"2054/2055",2055,120,120,100,74.8012925257945,8887.78403075226,337
"2055/2056",2056,120,120,100,78.3701168817588,8063.51366398018,277
"2056/2057",2057,121,121,100,69.2619977178374,11339.9819815671,390
"2057/2058",2058,120,120,100,75.6266914153584,8600.10957233328,398
"2058/2059",2059,120,120,100,77.3142821903648,8200.35088900849,515
"2059/2060",2060,120,120,100,71.0894689688184,8340.51360223349,512
"2060/2061",2061,121,121,100,67.3825102345481,9227.65319602564,661
"2061/2062",2062,120,120,100,72.7336014212751,11068.1290083593,288
"2062/2063",2063,120,120,100,74.8533994153668,7601.97734847385,513
"2063/2064",2064,120,120,100,75.1853784429613,8847.67212374229,371
"2064/2065",2065,121,121,100,70.371979902945,9519.02455114573,481
"2065/2066",2066,120,120,100,73.264182838102,8439.86562855262,519
"2066/2067",2067,120,120,100,74.5123771900671,8476.6311039431,450
"2067/2068",2068,120,120,100,73.3453462818607,7168.77449129708,684
"2068/2069",2069,121,121,100,74.9968086984909,9332.45620784909,489
"2069/2070",2070,120,120,100,75.861222217336,7696.23094415106,566
"2070/2071",2071,120,120,100,78.4054271594941,8010.19510548748,400
"2071/2072",2072,120,120,100,72.2972909261916,11006.9613129785,228
"2072/2073",2073,121,121,100,73.9814778631608,7758.66273160838,600
"2073/2074",2074,120,120,100,74.1319033203181,9236.26950016059,332
"2074/2075",2075,120,120,100,73.1520537821916,7453.5338169327,530
"2075/2076",2076,120,120,100,72.2422451138955,8809.10214695707,475
"2076/2077",2077,121,121,100,73.8590415923991,10061.1048959298,365
"2077/2078",2078,120,120,100,73.594799175723,8816.73064210825,461
"2078/2079",2079,120,120,100,72.5406960730979,10176.7611191859,272
"2079/2080",2080,120,120,100,65.8257862546889,11244.6554818125,472
"2080/2081",2081,121,121,100,75.6418642625122,9966.74753909186,193
"2081/2082",2082,120,120,100,76.716858839055,8098.78617335204,478
"2082/2083",2083,120,120,100,70.1459919021318,9849.89277214371,450
"2083/2084",2084,120,120,100,69.2662580577671,9015.81043968257,694
"2084/2085",2085,121,121,100,75.8393543152251,8828.09483039938,431
"2085/2086",2086,120,120,100,73.9049146747848,8634.32563316077,550
"2086/2087",2087,120,120,100,73.0945106806339,8987.17003324069,422
"2087/2088",2088,120,120,100,74.5337428851299,8700.17008075211,311
"2088/2089",2089,121,121,100,73.3039331297841,7601.96386476606,536
"2089/2090",2090,120,120,100,72.2954835988694,8685.69998967648,586
"2090/2091",2091,120,120,100,77.8843730882018,8598.33763059508,309
"2091/2092",2092,120,120,100,73.6374719555042,9266.00720764883,315
"2092/2093",2093,121,121,100,79.4624431421144,8734.27213254292,315
"2093/2094",2094,120,120,100,74.1752305655718,9577.43503632396,200
"2094/2095",2095,120,120,100,66.9179642887048,9754.81716715265,477
"2095/2096",2096,120,120,100,75.2427362830822,8432.83097418118,503
"2096/2097",2097,121,121,100,76.2618949252228,8054.0732150916,557
"2097/2098",2098,120,120,100,71.8128213052387,9118.8158602193,509
"2098/2099",2099,120,120,100,68.5321747399812,8546.49463394564,593
"2099/2100",2100,120,120,100,73.8253349798597,9815.12940940168,425
