"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.0365939865131,6580.89253280799,582
"2002/2003",2003,120,120,100,73.5133869892772,8090.76143378922,657
"2003/2004",2004,120,120,100,70.7802684932452,6340.40703996271,864
"2004/2005",2005,121,121,100,80.0288067329483,5539.03091718553,755
"2005/2006",2006,120,120,100,77.5473115719011,6286.01507575758,658
"2006/2007",2007,120,120,100,69.2134403306314,6070.45044612873,988
"2007/2008",2008,120,120,100,78.6957269088964,6861.19134957844,409
"2008/2009",2009,121,121,100,76.0570127332547,4352.4789586683,934
"2009/2010",2010,120,120,100,82.4833645449874,5722.59325584921,465
"2010/2011",2011,120,120,100,75.6832672856935,7672.77779709431,659
"2011/2012",2012,120,120,100,74.777909893983,7106.31313099142,501
"2012/2013",2013,121,121,100,74.6172437113783,6211.87517568027,837
"2013/2014",2014,120,120,100,73.3301162775606,7886.64972092933,660
"2014/2015",2015,120,120,100,75.8350474131075,5739.84762690752,701
"2015/2016",2016,120,120,100,71.3951536442364,8020.90098120528,650
"2016/2017",2017,121,121,100,78.7049866447715,5426.52674324764,811
"2017/2018",2018,120,120,100,75.1612740987175,7269.62164569856,538
"2018/2019",2019,120,120,100,77.2572303534344,8250.29476794414,340
"2019/2020",2020,120,120,100,75.3363007018033,6067.90847397549,744
"2020/2021",2021,121,121,100,75.3506689802048,6896.3572660177,768
"2021/2022",2022,120,120,100,79.8450050672336,4860.35750074219,464
"2022/2023",2023,120,120,100,71.7005718172786,8492.60260180081,508
"2023/2024",2024,120,120,100,73.8626764693931,5773.78985483479,765
"2024/2025",2025,121,121,100,75.1242447976401,8704.25381084741,490
"2025/2026",2026,120,120,100,74.7228030240408,7577.09167740727,736
"2026/2027",2027,120,120,100,70.347160755281,6120.27607975597,946
"2027/2028",2028,120,120,100,71.3211284133677,9573.48057680577,409
"2028/2029",2029,121,121,100,82.03159430093,3786.19834159967,814
"2029/2030",2030,120,120,100,72.8943225811295,7493.48123572534,714
"2030/2031",2031,120,120,100,69.451235792128,6638.80283636786,1092
"2031/2032",2032,120,120,100,76.4432024983703,5158.83343699109,858
"2032/2033",2033,121,121,100,76.8742848706779,7350.63246123306,513
"2033/2034",2034,120,120,100,77.2005262233201,5294.71577274799,735
"2034/2035",2035,120,120,100,78.3225681701483,6727.93933093688,454
"2035/2036",2036,120,120,100,70.1971791384094,8171.62246529618,654
"2036/2037",2037,121,121,100,73.6111339081308,7181.05629020324,696
"2037/2038",2038,120,120,100,78.8216942405252,6540.7898714901,534
"2038/2039",2039,120,120,100,73.6026830693713,6812.21112865116,613
"2039/2040",2040,120,120,100,75.9213431262674,6701.30649381177,640
"2040/2041",2041,121,121,100,75.5312847343516,6861.20270654326,591
"2041/2042",2042,120,120,100,75.7638025724814,8863.18009403162,336
"2042/2043",2043,120,120,100,78.888377722602,7057.14576692879,501
"2043/2044",2044,120,120,100,77.6104876651198,6311.83085790044,764
"2044/2045",2045,121,121,100,81.3060442108144,6869.30286617018,418
"2045/2046",2046,120,120,100,81.564506107643,3924.01743371226,723
"2046/2047",2047,120,120,100,79.9284405787239,6643.59771491447,532
"2047/2048",2048,120,120,100,75.0033702898081,7934.65318219829,537
"2048/2049",2049,121,121,100,77.3556329058129,5855.38580169342,683
"2049/2050",2050,120,120,100,78.2363948387629,5793.48896412551,638
"2050/2051",2051,120,120,100,82.4699748170342,4746.50548617588,642
"2051/2052",2052,120,120,100,68.970938622595,7785.31436507823,769
"2052/2053",2053,121,121,100,71.226528836125,9006.662662738,542
"2053/2054",2054,120,120,100,71.4310886589183,7977.36544764554,621
"2054/2055",2055,120,120,100,78.5707378482057,6599.11403455306,517
"2055/2056",2056,120,120,100,80.2826666421033,5929.13221434597,491
"2056/2057",2057,121,121,100,70.6178839412005,8942.80781228375,540
"2057/2058",2058,120,120,100,75.8650996619854,6559.28665816039,575
"2058/2059",2059,120,120,100,78.8273017180045,6011.39098434988,687
"2059/2060",2060,120,120,100,76.557532404966,6131.28084329329,714
"2060/2061",2061,121,121,100,70.3815220338147,7146.88036548719,872
"2061/2062",2062,120,120,100,77.0365519732104,8207.91137396544,404
"2062/2063",2063,120,120,100,75.6732280446913,5638.36078568362,713
"2063/2064",2064,120,120,100,76.4312258529199,6872.89772985876,602
"2064/2065",2065,121,121,100,73.7147769900248,7240.22588410042,659
"2065/2066",2066,120,120,100,74.8086952399617,6437.88352378272,734
"2066/2067",2067,120,120,100,74.8311104279819,6396.85913609434,642
"2067/2068",2068,120,120,100,71.5657073011698,5531.39189628698,905
"2068/2069",2069,121,121,100,74.5994775236813,7284.03977877833,702
"2069/2070",2070,120,120,100,78.3225831726222,5499.99765100516,740
"2070/2071",2071,120,120,100,78.8584776457765,5887.40025535785,625
"2071/2072",2072,120,120,100,74.4383216507931,8278.04346282966,356
"2072/2073",2073,121,121,100,75.7501007461933,5789.22105073556,810
"2073/2074",2074,120,120,100,77.7946756175334,6874.14487340767,532
"2074/2075",2075,120,120,100,74.931393464266,5541.12821711227,766
"2075/2076",2076,120,120,100,73.9843936188208,6640.01873944234,679
"2076/2077",2077,121,121,100,75.1201233568245,7687.63834858965,549
"2077/2078",2078,120,120,100,78.2026165125735,6465.6596567221,626
"2078/2079",2079,120,120,100,76.4474225955064,7676.10571929254,451
"2079/2080",2080,120,120,100,67.3056960570948,8784.49585643411,636
"2080/2081",2081,121,121,100,80.2195492774617,7259.41211212054,389
"2081/2082",2082,120,120,100,77.9859837139475,6011.04895858653,693
"2082/2083",2083,120,120,100,74.2968857435626,7562.69483293686,685
"2083/2084",2084,120,120,100,71.5277219877062,6903.453481921,891
"2084/2085",2085,121,121,100,79.2609105578558,6345.93851923663,589
"2085/2086",2086,120,120,100,73.6782805479179,6491.15055718087,748
"2086/2087",2087,120,120,100,75.6554416282706,6780.4907227084,627
"2087/2088",2088,120,120,100,78.6315243956469,6458.55926192272,511
"2088/2089",2089,121,121,100,75.4706551318213,5707.03747791983,791
"2089/2090",2090,120,120,100,73.5917467581639,6510.86802259646,743
"2090/2091",2091,120,120,100,78.887602661187,6344.76617371663,497
"2091/2092",2092,120,120,100,73.140201058688,7053.99909503013,533
"2092/2093",2093,121,121,100,81.1055488810816,6465.21562389843,514
"2093/2094",2094,120,120,100,76.917442912898,7214.324511691,389
"2094/2095",2095,120,120,100,71.4595179787466,7487.94984366186,683
"2095/2096",2096,120,120,100,75.6399788862745,6320.26050351746,721
"2096/2097",2097,121,121,100,78.2992852255156,5981.2289294377,761
"2097/2098",2098,120,120,100,71.0191565749155,7055.69699415751,713
"2098/2099",2099,120,120,100,68.6630365262372,6590.64287072979,826
"2099/2100",2100,120,120,100,76.0572172356842,7252.05743649323,565
