"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,76.6705779716258,7977.81466135806,450
"2002/2003",2003,120,120,100,69.8661229194316,9428.0760415557,505
"2003/2004",2004,120,120,100,71.8311023319918,7517.93494977726,718
"2004/2005",2005,121,121,100,78.2568916583119,6618.35798684112,580
"2005/2006",2006,120,120,100,76.5246141181067,7561.39730192983,527
"2006/2007",2007,120,120,100,70.5869672686847,7091.43138181948,809
"2007/2008",2008,120,120,100,78.5333947095744,8214.34763265098,288
"2008/2009",2009,121,121,100,77.5160698499145,5176.39078659704,762
"2009/2010",2010,120,120,100,81.3954142698647,7024.74554521823,319
"2010/2011",2011,120,120,100,72.9781741835021,9024.43029093533,541
"2011/2012",2012,120,120,100,73.9555510336686,8450.03258558444,367
"2012/2013",2013,121,121,100,75.9177642676586,7398.04937264603,705
"2013/2014",2014,120,120,100,72.4074022151929,9241.16031193035,536
"2014/2015",2015,120,120,100,75.4172990281845,6860.97939364729,581
"2015/2016",2016,120,120,100,69.719784940417,9372.19119292125,527
"2016/2017",2017,121,121,100,76.5026500045576,6529.89125457569,660
"2017/2018",2018,120,120,100,73.0180966657567,8585.2962829899,422
"2018/2019",2019,120,120,100,74.5521026427634,9792.81396918558,244
"2019/2020",2020,120,120,100,75.3589450954853,7297.09840056114,594
"2020/2021",2021,121,121,100,73.1060274061324,8099.73969492712,607
"2021/2022",2022,120,120,100,79.938879587954,5945.085637799,321
"2022/2023",2023,120,120,100,72.0719162347791,9900.36741719604,397
"2023/2024",2024,120,120,100,74.0275362496382,6815.7691190727,597
"2024/2025",2025,121,121,100,74.5987038576172,10008.0560213618,340
"2025/2026",2026,120,120,100,71.45592300505,9031.00391502492,623
"2026/2027",2027,120,120,100,70.2428438467277,7028.35177807417,780
"2027/2028",2028,120,120,100,71.2830934229751,11140.2095208359,311
"2028/2029",2029,121,121,100,83.2571647506229,4713.23539496586,592
"2029/2030",2030,120,120,100,70.3593212575925,8803.16448164498,580
"2030/2031",2031,120,120,100,68.8349756192306,7671.30453912914,950
"2031/2032",2032,120,120,100,76.2505962821074,6203.04523189878,699
