"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.8145193772859,7408.46739710792,518
"2002/2003",2003,120,120,100,72.1213324597572,8893.66230796603,589
"2003/2004",2004,120,120,100,71.4243639058406,7058.60855397081,784
"2004/2005",2005,121,121,100,78.4021888460421,6189.51356926153,668
"2005/2006",2006,120,120,100,76.4210291288103,7062.10706688219,590
"2006/2007",2007,120,120,100,68.1702563040271,6706.34959300869,896
"2007/2008",2008,120,120,100,78.128352289826,7673.83039831242,342
"2008/2009",2009,121,121,100,76.7138654508753,4819.12237969751,850
"2009/2010",2010,120,120,100,82.1551768982408,6463.42002800223,394
"2010/2011",2011,120,120,100,76.8736780708671,8430.1774972711,587
"2011/2012",2012,120,120,100,73.7487692919208,7901.35374748637,435
"2012/2013",2013,121,121,100,74.5066136415405,6951.6482587033,769
"2013/2014",2014,120,120,100,72.0923873242114,8713.67363929574,601
"2014/2015",2015,120,120,100,76.2449186459546,6413.28298862418,642
"2015/2016",2016,120,120,100,71.1268074883785,8836.66776439268,581
"2016/2017",2017,121,121,100,77.349392795707,6096.77890808391,735
"2017/2018",2018,120,120,100,72.0704261024471,8051.42466077209,479
"2018/2019",2019,120,120,100,74.4358689442395,9147.20701898704,287
"2019/2020",2020,120,120,100,75.6262410701067,6814.78429061733,669
"2020/2021",2021,121,121,100,74.0982134726564,7612.19766008295,686
"2021/2022",2022,120,120,100,82.4026328551349,5458.58973738016,383
"2022/2023",2023,120,120,100,71.9184080230016,9352.74091869546,457
"2023/2024",2024,120,120,100,73.8621906452095,6423.31436634855,674
"2024/2025",2025,121,121,100,75.2208204990934,9437.10473367455,409
"2025/2026",2026,120,120,100,72.3599462526731,8452.27739858348,674
"2026/2027",2027,120,120,100,71.1277695149247,6708.87323720963,865
"2027/2028",2028,120,120,100,69.9882967389162,10423.8481154693,356
"2028/2029",2029,121,121,100,82.6997208912398,4343.8932729261,698
"2029/2030",2030,120,120,100,71.6604885505244,8318.49625975825,651
"2030/2031",2031,120,120,100,67.9256312205148,7265.0484279152,1036
"2031/2032",2032,120,120,100,74.7514363943296,5821.64382991893,776
"2032/2033",2033,121,121,100,76.6240744631409,8147.42249891115,454
"2033/2034",2034,120,120,100,77.2762464378925,5864.2013351107,653
"2034/2035",2035,120,120,100,76.3692072528283,7523.34694964159,395
"2035/2036",2036,120,120,100,69.0785958964443,9035.88596412307,592
"2036/2037",2037,121,121,100,70.7052195131068,7928.79158946918,608
"2037/2038",2038,120,120,100,77.5300775866176,7316.69126378233,467
"2038/2039",2039,120,120,100,73.5151397023837,7573.42721222341,536
"2039/2040",2040,120,120,100,74.566396874091,7416.2207118636,560
"2040/2041",2041,121,121,100,75.0310378097038,7522.51682021422,524
"2041/2042",2042,120,120,100,77.0932165195368,9779.63848256832,274
"2042/2043",2043,120,120,100,76.6139715337731,7862.13875627285,438
"2043/2044",2044,120,120,100,75.5607782507313,7057.00026489841,689
"2044/2045",2045,121,121,100,80.4064011796054,7645.11311902944,353
"2045/2046",2046,120,120,100,81.4511218142834,4442.24894498754,617
"2046/2047",2047,120,120,100,77.6842714870982,7442.9814663548,490
"2047/2048",2048,120,120,100,70.6137807948417,8704.47050478542,452
"2048/2049",2049,121,121,100,76.4378447341569,6586.02226898214,603
"2049/2050",2050,120,120,100,75.9059821256324,6470.43601531396,561
"2050/2051",2051,120,120,100,81.4833627366561,5458.85960413422,544
"2051/2052",2052,120,120,100,67.2110749823933,8594.31377467699,699
"2052/2053",2053,121,121,100,70.6056256787579,9825.69544655224,471
"2053/2054",2054,120,120,100,70.5363670319857,8714.94109590957,541
"2054/2055",2055,120,120,100,77.2964094353592,7350.79463705234,444
"2055/2056",2056,120,120,100,77.4216022326054,6649.6047307495,403
"2056/2057",2057,121,121,100,70.419985180607,9783.08050389495,488
"2057/2058",2058,120,120,100,75.0746910877233,7233.26547002234,497
"2058/2059",2059,120,120,100,78.2719171933104,6733.71132755466,625
"2059/2060",2060,120,120,100,73.676400387878,6857.6094305506,624
"2060/2061",2061,121,121,100,69.630129266071,7916.55320292898,810
"2061/2062",2062,120,120,100,74.9551175648357,9081.81538699195,349
"2062/2063",2063,120,120,100,75.3721021334495,6332.90660893731,639
"2063/2064",2064,120,120,100,76.6868149365127,7488.31533308793,509
"2064/2065",2065,121,121,100,72.5747311634477,8068.0539382007,605
"2065/2066",2066,120,120,100,73.709363062123,7064.77198085003,646
"2066/2067",2067,120,120,100,73.2212105823546,7065.06543259602,573
"2067/2068",2068,120,120,100,72.1307620801654,6192.21970481612,826
"2068/2069",2069,121,121,100,74.6803822691518,8023.68537977617,644
"2069/2070",2070,120,120,100,76.4242085800852,6170.62443983462,680
"2070/2071",2071,120,120,100,78.3785589092422,6612.89409531094,569
"2071/2072",2072,120,120,100,73.918254069581,9193.03158818465,314
"2072/2073",2073,121,121,100,73.7703531041643,6428.35323779192,728
"2073/2074",2074,120,120,100,75.9652789883567,7628.72737533879,447
"2074/2075",2075,120,120,100,74.7050315724018,6204.90583108179,685
"2075/2076",2076,120,120,100,73.6279970765727,7347.82605557702,618
"2076/2077",2077,121,121,100,75.1996247382285,8510.34307853971,478
"2077/2078",2078,120,120,100,75.9295507350325,7291.58150113281,562
"2078/2079",2079,120,120,100,77.3014331605054,8554.94284385163,393
"2079/2080",2080,120,120,100,66.0614088048515,9689.64024312701,584
"2080/2081",2081,121,121,100,78.6320666994297,8034.10466428008,299
"2081/2082",2082,120,120,100,77.7790279864885,6718.10073695984,630
"2082/2083",2083,120,120,100,72.4515019867085,8415.71417025663,612
"2083/2084",2084,120,120,100,70.6959570664476,7631.63514334429,819
"2084/2085",2085,121,121,100,77.3558151418692,7132.29482781608,533
"2085/2086",2086,120,120,100,74.2034804793602,7188.77673537284,677
"2086/2087",2087,120,120,100,74.5986317905572,7493.69257682189,533
"2087/2088",2088,120,120,100,78.1516219810437,7246.47807706706,437
"2088/2089",2089,121,121,100,74.4086755688222,6387.38535643928,694
"2089/2090",2090,120,120,100,75.326627054128,7282.51904871128,690
"2090/2091",2091,120,120,100,80.4301594397093,7043.14798209444,429
"2091/2092",2092,120,120,100,74.7973850038652,7772.23452115059,445
"2092/2093",2093,121,121,100,79.3590633201857,7262.6245816499,449
"2093/2094",2094,120,120,100,74.2836202782564,7973.5788430078,310
"2094/2095",2095,120,120,100,69.8793489672116,8339.89436985366,621
"2095/2096",2096,120,120,100,75.7553932109295,7052.38065460417,649
"2096/2097",2097,121,121,100,78.2636633796847,6665.42060724553,682
"2097/2098",2098,120,120,100,70.51684356642,7761.3957567662,667
"2098/2099",2099,120,120,100,67.4288411420112,7266.53406687174,743
"2099/2100",2100,120,120,100,76.1313586384549,8039.5400629323,513
