"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,77.9973371094637,5972.52068643236,650
"2002/2003",2003,120,120,100,73.3675943950978,7465.80658078412,741
"2003/2004",2004,120,120,100,71.681869547676,5756.10933949071,935
"2004/2005",2005,121,121,100,78.3002598505215,4980.39628529956,840
"2005/2006",2006,120,120,100,79.409673087698,5708.85151255113,730
"2006/2007",2007,120,120,100,72.5791813640727,5562.15556109528,1054
"2007/2008",2008,120,120,100,79.2644127679158,6240.07056883036,495
"2008/2009",2009,121,121,100,76.2236187853848,3896.95681129664,1017
"2009/2010",2010,120,120,100,82.3699879354542,5137.97989583656,546
"2010/2011",2011,120,120,100,76.6893014323904,6935.64807090804,714
"2011/2012",2012,120,120,100,76.315905734223,6494.0090889798,568
"2012/2013",2013,121,121,100,75.3629360563375,5651.73253460391,905
"2013/2014",2014,120,120,100,74.6253415379879,7250.36334488296,714
"2014/2015",2015,120,120,100,74.7775833431183,5213.48956273729,779
"2015/2016",2016,120,120,100,70.1769377996372,7383.51633314369,721
"2016/2017",2017,121,121,100,79.3807246439842,4916.61577553861,894
"2017/2018",2018,120,120,100,76.9836093154622,6624.97077406873,621
"2018/2019",2019,120,120,100,77.4326036747796,7540.45896684681,413
"2019/2020",2020,120,120,100,76.1041564687393,5479.95268384297,810
"2020/2021",2021,121,121,100,74.2605516698814,6327.16079603974,853
"2021/2022",2022,120,120,100,80.4252018078746,4343.25682986923,545
"2022/2023",2023,120,120,100,72.8689378667077,7882.4865912362,571
"2023/2024",2024,120,120,100,74.6996912916993,5262.90537288925,846
"2024/2025",2025,121,121,100,75.543133396835,8056.07626872486,566
"2025/2026",2026,120,120,100,73.8250980736279,6926.95067492151,799
"2026/2027",2027,120,120,100,68.9144108016208,5645.64205824817,1033
"2027/2028",2028,120,120,100,73.3634405589532,8814.78145169094,466
"2028/2029",2029,121,121,100,80.021486153209,3344.14019897068,912
"2029/2030",2030,120,120,100,72.7759578223008,6922.67324705701,805
"2030/2031",2031,120,120,100,70.051429807088,6153.25005016522,1165
"2031/2032",2032,120,120,100,75.2881054571767,4641.06566922227,925
"2032/2033",2033,121,121,100,78.0984386894525,6668.16565138707,573
"2033/2034",2034,120,120,100,79.5258181206877,4717.4648144599,818
"2034/2035",2035,120,120,100,80.8324634960973,6124.01641678717,538
"2035/2036",2036,120,120,100,70.6928250379483,7546.3148670895,718
"2036/2037",2037,121,121,100,74.080252544974,6582.58654973563,768
"2037/2038",2038,120,120,100,78.9634319548759,5964.639831746,600
"2038/2039",2039,120,120,100,78.7537559850393,6197.12439297792,709
"2039/2040",2040,120,120,100,76.1987556832614,6085.44626793405,719
"2040/2041",2041,121,121,100,75.4302590245006,6318.05650182115,681
"2041/2042",2042,120,120,100,77.0522926950007,8069.1130913184,390
"2042/2043",2043,120,120,100,77.7367920036722,6478.30084912619,572
"2043/2044",2044,120,120,100,76.2818510184989,5666.34593966138,838
"2044/2045",2045,121,121,100,81.7069608562551,6194.14297399856,509
"2045/2046",2046,120,120,100,81.4358272439767,3471.50529752253,811
"2046/2047",2047,120,120,100,80.9793868530242,6016.74798976257,600
"2047/2048",2048,120,120,100,74.1537601696227,7262.30276444228,615
"2048/2049",2049,121,121,100,77.9627705756848,5275.02864650171,762
"2049/2050",2050,120,120,100,78.2165908077795,5243.07081165304,742
