"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,76.3706238536508,7227.90324875274,496
"2002/2003",2003,120,120,100,70.8990456667527,8724.21474009624,584
"2003/2004",2004,120,120,100,70.4492459016556,6970.36856086823,774
"2004/2005",2005,121,121,100,79.2567658343185,6174.91560122836,655
"2005/2006",2006,120,120,100,77.3590655482028,6904.7818804842,596
"2006/2007",2007,120,120,100,70.415628180884,6574.68718784401,883
"2007/2008",2008,120,120,100,77.2154229045726,7520.08632280258,345
"2008/2009",2009,121,121,100,74.4009924281311,4987.57642083243,856
"2009/2010",2010,120,120,100,80.1187852235482,6475.68054267124,376
"2010/2011",2011,120,120,100,75.3628013732196,8628.57543326612,633
"2011/2012",2012,120,120,100,74.8136210188468,7679.10046852194,433
"2012/2013",2013,121,121,100,72.823781989478,6812.49816207716,769
"2013/2014",2014,120,120,100,73.5067705526858,8504.76032212947,586
"2014/2015",2015,120,120,100,76.0931791012454,6327.11711451225,641
"2015/2016",2016,120,120,100,70.4874333349676,8653.62845098204,587
"2016/2017",2017,121,121,100,75.9567232530608,5938.68684100569,713
"2017/2018",2018,120,120,100,73.1900575985903,8051.34970211331,469
"2018/2019",2019,120,120,100,75.2678624224795,8981.07230014936,287
"2019/2020",2020,120,120,100,74.2503265457506,6736.86816582666,675
"2020/2021",2021,121,121,100,74.2928400125909,7432.91089255852,684
"2021/2022",2022,120,120,100,81.7748502694935,5396.00706295576,405
"2022/2023",2023,120,120,100,70.1449043877528,8994.70230047638,443
"2023/2024",2024,120,120,100,72.9482388013125,6248.71047585062,676
"2024/2025",2025,121,121,100,74.0200523455305,9424.24013526738,406
"2025/2026",2026,120,120,100,72.3998769260111,8286.41109487531,675
"2026/2027",2027,120,120,100,70.2502530080196,6564.45116174663,856
"2027/2028",2028,120,120,100,69.7824510918331,10480.0034451019,388
"2028/2029",2029,121,121,100,81.706042477881,4229.61864497373,686
"2029/2030",2030,120,120,100,72.2456184305242,7963.2788537289,640
"2030/2031",2031,120,120,100,67.0574725880215,7175.21014385018,1023
"2031/2032",2032,120,120,100,75.207965123836,5770.11285053287,786
"2032/2033",2033,121,121,100,76.2990512673264,8108.98418895854,458
"2033/2034",2034,120,120,100,76.1617155683884,6066.29342524661,678
"2034/2035",2035,120,120,100,77.2125835032639,7358.29370299913,402
"2035/2036",2036,120,120,100,71.2567263123233,8814.10802014032,588
"2036/2037",2037,121,121,100,70.3309296485636,7874.49110658094,631
"2037/2038",2038,120,120,100,76.7402963850718,7140.17523997277,446
"2038/2039",2039,120,120,100,75.9697734351394,7397.78538454976,507
"2039/2040",2040,120,120,100,73.8676970190886,7517.07015832327,583
"2040/2041",2041,121,121,100,74.1093960295702,7489.51929884544,525
"2041/2042",2042,120,120,100,75.4688368046955,9877.19728559395,291
"2042/2043",2043,120,120,100,77.4919463724336,7666.25196280191,420
"2043/2044",2044,120,120,100,74.3100258021104,7108.23049861472,700
"2044/2045",2045,121,121,100,78.075718387473,7751.179802645,356
"2045/2046",2046,120,120,100,79.8504291124236,4573.36242050352,625
"2046/2047",2047,120,120,100,77.3549452591596,7347.08239330677,470
"2047/2048",2048,120,120,100,72.4958491670513,8664.65147721441,468
"2048/2049",2049,121,121,100,76.922666038542,6447.03943185648,587
"2049/2050",2050,120,120,100,75.7786534299994,6443.60729312385,581
"2050/2051",2051,120,120,100,82.2956197748963,5392.51186266122,556
"2051/2052",2052,120,120,100,66.917000606325,8502.41784221679,707
"2052/2053",2053,121,121,100,71.2218706625108,9680.77303195279,483
"2053/2054",2054,120,120,100,68.251514561487,8678.46859755926,559
"2054/2055",2055,120,120,100,75.8675353872886,7266.07319050375,440
"2055/2056",2056,120,120,100,78.4881190366286,6561.24866115768,414
"2056/2057",2057,121,121,100,71.1058253700003,9545.37717681751,486
"2057/2058",2058,120,120,100,74.1210674068443,7127.68851456326,513
"2058/2059",2059,120,120,100,78.741708920923,6698.72864250001,613
"2059/2060",2060,120,120,100,74.3946895917352,6867.07349328604,636
"2060/2061",2061,121,121,100,70.7705309161493,7750.25578694791,795
