"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.0441658736811,6548.5211960546,585
"2002/2003",2003,120,120,100,73.2992444132495,8052.05887177013,657
"2003/2004",2004,120,120,100,70.6733576339327,6319.55027418266,873
"2004/2005",2005,121,121,100,79.0846554702417,5503.83038162405,767
"2005/2006",2006,120,120,100,76.6848915594118,6283.80646982527,666
"2006/2007",2007,120,120,100,71.0849841680423,6052.16571613995,986
"2007/2008",2008,120,120,100,77.8718257379959,6845.93355797895,419
"2008/2009",2009,121,121,100,76.5438867640609,4346.0451961162,942
"2009/2010",2010,120,120,100,82.3972894667323,5710.32120742986,475
"2010/2011",2011,120,120,100,77.2709529393094,7671.45289791247,667
"2011/2012",2012,120,120,100,76.4190042552411,7084.39577448717,505
"2012/2013",2013,121,121,100,75.1401058029296,6201.24687619088,845
"2013/2014",2014,120,120,100,73.0893065545583,7860.48468166764,661
"2014/2015",2015,120,120,100,78.2694813973426,5702.51400482398,702
"2015/2016",2016,120,120,100,71.4360819604674,7992.30021820916,655
"2016/2017",2017,121,121,100,78.5354451451456,5381.06318140565,815
"2017/2018",2018,120,120,100,74.9433209621745,7260.94850744633,543
"2018/2019",2019,120,120,100,76.5151798878073,8195.26555290865,344
"2019/2020",2020,120,120,100,75.8349695914565,6059.29107879824,748
"2020/2021",2021,121,121,100,74.7650234394694,6859.77075706515,774
"2021/2022",2022,120,120,100,81.4371365600605,4825.11650097999,466
"2022/2023",2023,120,120,100,72.431363470113,8498.08270222624,514
"2023/2024",2024,120,120,100,73.6274651848767,5747.59084151429,767
"2024/2025",2025,121,121,100,75.3407697621974,8697.34076800547,503
"2025/2026",2026,120,120,100,75.2621176138878,7542.59740879922,734
"2026/2027",2027,120,120,100,70.7408358468792,6118.17776445323,961
"2027/2028",2028,120,120,100,72.3562906135712,9564.83017221605,418
"2028/2029",2029,121,121,100,82.1026087537243,3751.33445003442,810
"2029/2030",2030,120,120,100,72.989440288145,7470.02016657917,720
"2030/2031",2031,120,120,100,69.1699794046972,6630.50001600711,1098
"2031/2032",2032,120,120,100,75.0697575045374,5163.11367517011,869
"2032/2033",2033,121,121,100,78.7047877539139,7311.64016742352,515
"2033/2034",2034,120,120,100,77.1186812548567,5288.01271095639,741
"2034/2035",2035,120,120,100,78.386614345925,6703.89486102201,467
"2035/2036",2036,120,120,100,71.2524740309154,8129.1434132834,657
"2036/2037",2037,121,121,100,72.1043436073764,7171.06344222929,709
"2037/2038",2038,120,120,100,79.9723241171996,6528.61210247874,540
"2038/2039",2039,120,120,100,76.1401517264981,6786.39615473803,619
"2039/2040",2040,120,120,100,77.4815946865288,6715.3935091882,644
"2040/2041",2041,121,121,100,76.0812814637848,6858.10055617383,600
"2041/2042",2042,120,120,100,76.0292060152551,8857.27361434558,345
"2042/2043",2043,120,120,100,78.7004747629289,7019.1022969,512
