"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,48.0774637050369,320.050233320412,61.5862238288597,57.5250719640593,92.0810423659029,1753.03861952135,1536,1400.09715539968,1602.5,1541,1337,1466,78.0075931309542
"2002/2003",2003,120,120,100,42.7996101342256,270.658879402679,62.3490001066951,55.9960045281486,90.706073824435,1593.38458988385,1296,1119.5823094082,1343.5,1332,1241,1184,73.3301132470598
"2003/2004",2004,120,120,100,44.4645940995166,260.347718424566,69.8847332104948,57.3641347886799,93.233826381017,1478.9921283006,1230,1092.65500339153,1321,1221,1121,1132,71.2096796712692
"2004/2005",2005,121,121,100,43.9758036831602,293.101008756755,67.8815943652075,59.9768704864251,96.3559108201278,1681.66366114746,1401.5,1234.86640573973,1506.5,1385,1328,1315,80.0284172681542
"2005/2006",2006,120,120,100,47.3684727327647,308.796766122934,62.0151554723525,62.0226092438901,94.7172195103572,1685.77194798069,1439.5,1278.37204401217,1537,1439,1322,1362,76.801583010407
"2006/2007",2007,120,120,100,39.0465562244895,249.743940972409,71.5953992547353,57.6210798421806,95.5800015766388,1420.33301941399,1109.5,919.474107817559,1240,1086.5,1138,981.5,71.3659079875715
"2007/2008",2008,120,120,100,56.8847805046463,318.793227776292,60.4510898958944,67.9171712725274,92.6576602354371,1864.69181706495,1590.5,1415.6517460798,1650.5,1602,1444,1495.5,79.0814844378358
"2008/2009",2009,121,121,100,45.6188920788547,275.551705721518,73.369293923155,62.3918886841392,98.5946857228127,1590.19071643554,1305.5,1129.73676466956,1426,1282.5,1314,1216.5,75.112961530853
"2009/2010",2010,120,120,100,56.1262890038628,350.536609023383,60.7853666739456,65.2497176045801,93.9401929279238,1885.05497886492,1652,1499.81900686034,1745,1624,1475,1575.5,81.6782575421422
"2010/2011",2011,120,120,100,36.8131064761493,257.717911158365,61.592519540736,50.8325613327416,91.2405453920385,1528.27798287862,1287,1159.50857673577,1346.5,1320,1098,1204.5,75.8266354154051
