"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,47.5339122188524,312.783563101745,65.5311908546439,61.2847450414109,95.4581589075652,1693.59827917353,1474.5,1332.87974970218,1543.5,1459,1307,1407.5,79.655594689591
"2002/2003",2003,120,120,100,38.9386496120485,258.088315385327,66.1156446160266,55.7639430615105,94.3878101419823,1513.71155758671,1210.5,1070.49500377172,1297,1239.5,1150,1122.5,71.600774096284
"2003/2004",2004,120,120,100,43.6265929043195,240.965270428133,74.0412084556623,59.4066786899342,96.168513237429,1420.93512804226,1152.5,1056.61928098711,1270,1167.5,1055,1098,73.8630779536044
"2004/2005",2005,121,121,100,43.597335605926,282.317723400822,71.9604675992175,61.3686687586678,98.9037246990052,1589.59765688815,1291,1143.07218630339,1437.5,1259,1279,1211,76.5772816976032
"2005/2006",2006,120,120,100,46.0004092410611,298.766338177153,65.9266211120508,62.6842799385368,97.6176841837982,1603.08239102057,1344,1201.07580768853,1464.5,1312.5,1260,1261,77.8660312593966
"2006/2007",2007,120,120,100,35.5219557901095,232.570080275866,76.0366069572816,53.992126173621,97.0111684173087,1313.0115419828,1024,875.828087819031,1162.5,995.5,1058,919.5,68.9508559153242
"2007/2008",2008,120,120,100,57.6291511183235,310.192083805998,64.1878568431524,73.1042659577598,97.1568964135766,1782.77121533031,1448.5,1305.46882745527,1581,1449.5,1380,1371.5,78.6282254730736
"2008/2009",2009,121,121,100,44.6500902200007,261.797003823839,77.6584910348446,64.1994507931575,101.499302394413,1493.11862612245,1184.5,1011.42960688737,1351,1156,1237,1107.5,74.9092840512845
"2009/2010",2010,120,120,100,57.807625420429,345.790067560107,64.5294610086539,72.0730821099476,98.4614822071884,1821.53954118383,1567,1399.87319146446,1703.5,1514,1429,1487,82.3031030173477
"2010/2011",2011,120,120,100,40.6314099399574,275.688629972347,65.1307688900702,56.0479733632626,94.8028378759949,1541.74323598623,1346,1189.94190207024,1401.5,1319,1152,1246,76.780195158912
"2011/2012",2012,120,120,100,54.3272855972715,305.07807725037,65.2527114300017,68.6532741787575,95.6296265170885,1699.0593178799,1401,1256.87917620352,1517.5,1409.5,1335,1317,77.1348910108568
"2012/2013",2013,121,121,100,36.3742801145626,256.710680128839,73.9525975737693,52.6024368397449,96.6539556369777,1488.83354595745,1261,1090.51924658378,1355,1221.5,1180,1164.5,75.2034080530743
"2013/2014",2014,120,120,100,39.3801330582734,252.062420582402,67.6926542783604,54.6267694121903,93.5619663691859,1536.9235084333,1274,1106.77214416141,1349.5,1293,1193,1186.5,74.8637036469393
