"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,49.2719354246079,329.649227463048,63.1187204660128,60.3896745411342,94.1074483234662,1705.28490101948,1491,1351.48860629814,1567.5,1479.5,1282,1421,80.2894269804002
"2002/2003",2003,120,120,100,41.0019180089235,275.547945555529,63.6801177075458,56.483996173629,93.1408870863725,1542.17925252189,1241.5,1099.01821655665,1319,1280.5,1168,1159,73.8109053742167
"2003/2004",2004,120,120,100,44.7301839725361,259.537057012183,71.491307105667,59.081239359301,95.1897226386785,1447.29452645148,1191.5,1088.98919412481,1290,1200,1068,1127.5,73.4983157602853
"2004/2005",2005,121,121,100,45.2966993810105,305.800386198344,69.3767241397624,61.9300204950501,98.0991280747054,1633.84590936364,1348,1186.42229271728,1476,1315,1310,1265,79.0284148831264
"2005/2006",2006,120,120,100,47.5638565796713,316.630331040142,63.391926520818,63.7104891131884,96.9437004695249,1633.8689045589,1388,1233.68820458086,1482.5,1350.5,1260,1296.5,78.3071021716559
"2006/2007",2007,120,120,100,37.5734341794144,248.864162374569,73.2881414611022,55.7078170310669,96.5785198741477,1353.23129864913,1070,909.340142087345,1197.5,1034.5,1085,952.5,68.6531384446131
"2007/2008",2008,120,120,100,59.317654006773,330.241901909705,61.8303688355076,72.0679876201887,95.6403411956211,1811.34644084376,1498.5,1357.17431399502,1604.5,1510.5,1414,1427,80.2337280416039
"2008/2009",2009,121,121,100,47.3989893535482,278.441247661594,74.9377340071579,65.7398263674958,100.796491524057,1530.82764478409,1237,1057.19687327199,1395.5,1198,1254,1145,74.9495410575192
"2009/2010",2010,120,120,100,59.0728807598903,363.365287306866,62.2183951754936,71.2904724114804,96.8047562146799,1838.36226233889,1587.5,1421.91690563672,1710.5,1541.5,1425,1505.5,82.4620645202336
"2010/2011",2011,120,120,100,38.9302576965413,282.561954207687,62.7814338356222,54.4657084426053,93.8252740574719,1544.32598426269,1339.5,1191.41241806428,1396,1334,1151,1251,76.9994968332003
