"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,47.2076568762976,310.857014111692,63.0048719325062,59.4457395250801,93.8996935516354,1663.39165554657,1460,1328.29109455875,1524.5,1455.5,1248,1394.5,78.4346608924304
"2002/2003",2003,120,120,100,39.3682397510916,260.936572342128,63.846433516696,55.4186592571774,92.4342241628637,1468.73024052381,1174.5,1029.30547874971,1238,1211.5,1100,1075,72.85820916854
"2003/2004",2004,120,120,100,43.4227020429521,248.630455964699,71.5520435916984,57.4306787022825,94.3575573747805,1384.3931172674,1138,1024.61501897378,1231.5,1138,1038,1056,72.8061885444491
"2004/2005",2005,121,121,100,42.5791344718783,282.473669258034,69.4363357524201,59.3032921374596,97.4497548680699,1578.2941836463,1295,1151.45766594173,1419,1266,1233,1207.5,78.4107463526864
"2005/2006",2006,120,120,100,45.5237775329618,299.312011303168,63.415926299853,61.4899241205719,96.3459988817934,1576.45690845702,1339.5,1189.98204056304,1433,1317.5,1212,1250.5,76.6375966666898
"2006/2007",2007,120,120,100,36.4409740662275,235.4437819505,73.3312393314214,54.4165623559378,95.8451392044261,1319.15654275577,1039,862.196138838315,1157.5,1014.5,1042,920.5,70.2748937039973
"2007/2008",2008,120,120,100,57.0897746992521,315.220405700501,61.9140810477184,70.5351978252237,95.2248136777522,1745.39961621283,1433,1289.39722757303,1534,1438,1328,1344.5,77.2583506377401
"2008/2009",2009,121,121,100,44.1098981093911,268.518393772802,75.1218420642337,62.3478762502797,99.838302685683,1493.06210009813,1203,1037.72691333088,1336,1180,1218,1121.5,74.9776982636753
"2009/2010",2010,120,120,100,55.5799117440196,342.368772165031,62.2099652148477,68.5925315520533,96.3453165246769,1782.31626196526,1536,1394.70925793814,1648,1510,1349,1467,80.869228123712
"2010/2011",2011,120,120,100,36.0841451249702,267.739905422155,62.9911613237344,51.3393125195607,92.7902895360477,1475.8353599076,1274.5,1120.99794080957,1317.5,1281,1071,1184.5,75.1361269524136
"2011/2012",2012,120,120,100,54.2985303193855,311.922138998513,62.7938758356131,67.5903086934144,94.0062536773052,1675.33794322818,1382,1232.66020622178,1490,1391,1329,1284.5,75.868032512926
"2012/2013",2013,121,121,100,35.9991192616219,253.587329054925,71.337498335056,51.7284823854341,95.4022949004084,1464.66750723729,1242,1081.65601701686,1309.5,1219,1096,1145.5,75.0840000439352
"2013/2014",2014,120,120,100,39.6357864229095,254.435468563553,65.2563640371302,53.5260620962719,91.8214204711485,1501.71057182524,1233,1079.77528286655,1292.5,1290,1130,1158,74.8077900597564
"2014/2015",2015,120,120,100,40.8831871435695,271.699255474196,69.8606767638002,56.7456659049447,96.3124650370255,1614.97685425471,1332,1141.38846590319,1457,1314,1312,1232,75.3337012684747
"2015/2016",2016,120,120,100,42.1937442400561,272.5308810725,64.1821286281019,54.982823149354,92.3777610827855,1471.23991286993,1180,1031.56835089948,1246,1215.5,1112,1076.5,68.2230808286668
"2016/2017",2017,121,121,100,40.9748822694444,273.765369751812,69.1918868239851,61.1693362313425,98.8704901303153,1551.70965633866,1281.5,1138.02622186142,1393,1258.5,1216,1188.5,78.4942870812961
"2017/2018",2018,120,120,100,46.2737251490726,299.895545602569,64.3225216474693,58.112157502273,92.720690292803,1597.64514952266,1320.5,1147.25688677278,1423.5,1315,1255,1215.5,74.6244743769553
"2018/2019",2019,120,120,100,46.7248821927515,303.2377794706,59.9662636992109,60.2110912685692,91.9584316029675,1749.54504550492,1491,1298.37224443383,1558.5,1484.5,1337,1373.5,76.8238399227175
"2019/2020",2020,120,120,100,42.567700199188,259.976486648478,67.1027499213714,58.5922211832541,95.7901263711585,1526.09669945556,1271.5,1160.33985386795,1354.5,1281.5,1125,1210.5,76.0046252977443
