"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.623710654335,302.832438380438,62.8487946585045,56.6823661464576,92.3910975336741,1691.11638012318,1480.5,1351.84612122758,1534,1481.5,1247,1406,78.4010562644477
"2002/2003",2003,120,120,100,39.9521321718838,253.916540359162,63.5132086969484,55.0733790617453,91.5344803579069,1514.84928232624,1194.5,1053.95963504913,1263,1260.5,1142,1109.5,73.0717778456882
"2003/2004",2004,120,120,100,42.7272385336724,249.323106206281,71.1556017571266,56.6207962286432,93.6803798162885,1434.82441311737,1186.5,1065.58134522501,1278.5,1194,1073,1107.5,71.1248627341324
"2004/2005",2005,121,121,100,43.629294650381,286.51187402876,69.0431067661631,59.6960210192085,96.6318766423279,1639.97290089629,1350,1191.24353866265,1467.5,1335,1301,1266.5,78.2120282531905
"2005/2006",2006,120,120,100,45.0344268540156,296.111664710242,63.170069503893,60.6843773061311,95.2608609405178,1626.76483261178,1384.5,1224.89431364922,1459.5,1368,1230,1293.5,78.0035806385476
"2006/2007",2007,120,120,100,36.9732224240801,238.24211689644,73.0289361212702,54.0770138197472,95.0062368151139,1364.34939005488,1071.5,895.219621352062,1189.5,1050.5,1083,946,69.9657398962557
"2007/2008",2008,120,120,100,56.9837719280958,314.301117729419,61.4902268352774,69.2351790766236,93.9124581164142,1804.30319463391,1481,1342.33991763444,1574.5,1510.5,1398,1408,78.5778860535576
"2008/2009",2009,121,121,100,47.1637951143005,273.761330446873,74.3998258858728,64.7040194856986,99.6410739412589,1568.69176812101,1269.5,1096.06751125886,1406,1241,1292,1177,75.6999732056884
"2009/2010",2010,120,120,100,54.5584328609069,339.002841475408,61.8543969476042,66.6325806566186,95.1262000251073,1835.76813254897,1586,1440.62138956246,1688.5,1570,1402,1526,83.1665363889588
"2010/2011",2011,120,120,100,36.5143042244444,265.178871201265,62.484067453099,51.6844872986833,92.2553003136406,1528.7812242231,1321.5,1172.14801727255,1360,1341,1108,1237.5,75.3068157201686
"2011/2012",2012,120,120,100,53.9568088986496,306.504595856021,62.4242664032216,65.4168153731453,92.8037934140648,1724.88696840481,1439.5,1288.66762227873,1516,1463,1354,1347.5,76.6733877476076
"2012/2013",2013,121,121,100,36.598665302706,249.878224529539,70.9536667322826,51.703303362962,94.496105554857,1511.8584906906,1268,1105.15161725916,1335,1274,1150,1183,75.1024852337716
"2013/2014",2014,120,120,100,39.1643470975981,246.781238410219,64.9764520938702,52.6917129095088,90.9543417918883,1540.0871462814,1265,1099.48275656664,1316,1316,1182,1170.5,73.796626291082
"2014/2015",2015,120,120,100,38.6909215900716,261.328544824423,69.38991942384,54.5219988431057,95.3979158706085,1645.58273105119,1363.5,1170.49412068666,1472,1352,1330,1254,74.9465095282021
"2015/2016",2016,120,120,100,41.2340142839358,267.363031657004,63.9250504945737,53.1988125266269,91.2192622511024,1519.66870389735,1229,1067.77229265127,1271.5,1272.5,1151,1124.5,71.5333879598393
"2016/2017",2017,121,121,100,41.0307765048337,273.161065929707,68.9234752493808,60.4605197022819,97.7909003796958,1588.02576248596,1294,1155.6073836303,1416,1278,1242,1202.5,77.6698389194769
