"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,44.2599298279493,303.732572014251,60.0238157575365,53.8109697098833,90.3968450868132,1653.81530080856,1438,1317.34346611795,1478,1465,1209,1369.5,76.5405890363335
"2002/2003",2003,120,120,100,40.03949546842,259.420845172877,60.7804729726375,53.8126572972707,89.4203632464593,1484.20069166689,1160.5,1004.06288803281,1215.5,1230.5,1129,1047.5,71.5235922309598
"2003/2004",2004,120,120,100,42.2853191204829,260.04809949598,68.1582041917264,54.9103327988801,91.8428604688158,1404.04623547973,1174,1027.90677521879,1226.5,1161,1044,1052.5,70.9185331912123
"2004/2005",2005,121,121,100,43.821102720981,291.37268974425,66.1043970383303,57.7905806904446,94.7686468686909,1619.77349246959,1336,1182.13927660216,1420.5,1333,1246,1238.5,77.9489354548515
"2005/2006",2006,120,120,100,44.424961438908,303.614678376691,60.1838721466449,59.5810954917566,93.5099781015231,1608.32145371496,1376,1206.28767525961,1439.5,1371.5,1209,1271.5,75.9807009867604
"2006/2007",2007,120,120,100,37.3256018638486,250.235971920675,69.8541210073613,53.7106797459777,93.7319329964418,1375.62839816021,1073,882.51933578569,1185.5,1088.5,1081,962.5,69.8063870477447
"2007/2008",2008,120,120,100,55.5858202373988,321.846180979825,58.7717303822923,66.2039344062089,91.4484657932172,1773.91394791081,1462.5,1324.48353950577,1531.5,1514,1357,1388,77.6632995908695
"2008/2009",2009,121,121,100,47.5577561983485,285.04463889679,71.2280402304915,62.8426890489288,97.9733426478047,1576.29375910925,1285,1122.32068637566,1397.5,1281,1278,1206,74.8944285803436
"2009/2010",2010,120,120,100,52.8795802996582,342.492433731254,59.0829584352168,62.2656120288118,92.6700859453165,1794.30280448061,1548,1416.39019466637,1640.5,1549,1355,1488,79.9876364471726
"2010/2011",2011,120,120,100,33.8159519566401,265.878268803603,59.7706739705572,48.7655165618398,90.2357235529201,1481.65191259827,1245.5,1102.01731702836,1278.5,1292,1072,1154.5,73.883827979002
"2011/2012",2012,120,120,100,52.3589864310577,313.206575167191,59.6037117691553,61.8881901317132,90.7122461142529,1702.99609032935,1424.5,1265.88424520518,1476.5,1458,1332,1327.5,75.4257615392942
"2012/2013",2013,121,121,100,36.8868444961029,252.463446299508,67.8274851631414,51.4917842254987,93.0635849068948,1489.51853814366,1220,1080.73664775789,1285.5,1262,1118,1144.5,73.478346555602
"2013/2014",2014,120,120,100,39.3470634545174,252.270364404773,62.1648213981078,51.174447095088,88.9648435471419,1512.26167062256,1235.5,1062.67602842159,1252.5,1301,1138,1119.5,72.8454422560412
"2014/2015",2015,120,120,100,38.4851982132555,263.54560278526,66.4587201541531,53.7594169433206,93.5934764372299,1643.41990196257,1355,1170.73637806206,1440,1383.5,1299,1255,74.8784899744419
"2015/2016",2016,120,120,100,39.4170615339595,273.589716300762,61.1728163232034,51.0956305306712,89.2221728712209,1483.5453473224,1186,1017.01451088807,1212,1247,1106,1073.5,69.6166727506093
"2016/2017",2017,121,121,100,41.605306714396,277.758774651295,65.8749970241603,59.4811358040857,96.0980018779915,1577.64173894227,1283,1148.28675086401,1381.5,1293.5,1200,1200.5,77.3712957814025
"2017/2018",2018,120,120,100,44.8967050093793,295.292889801608,61.1803164091675,54.3211717974302,89.6231836542817,1622.01167335971,1353,1166.88880332137,1404.5,1383,1262,1232,72.0395162255254
"2018/2019",2019,120,120,100,42.7281754406766,291.403604554776,57.0684991478508,54.0619021655136,88.1210496526024,1730.22537742536,1473.5,1276.66385291462,1503,1521,1308,1349,74.7939342754348
"2019/2020",2020,120,120,100,43.6495585975037,266.079515944049,63.7878396822455,57.6626651983229,92.9682937991433,1549.20551019007,1283,1164.74262745422,1350.5,1315,1138,1209,74.4366800283519
"2020/2021",2021,121,121,100,45.9267699679151,293.354450740731,63.264407347034,59.1243456277935,92.8810146932121,1499.69443057168,1208,1056.84852935713,1249.5,1232,1126,1099,73.3501576031167
"2021/2022",2022,120,120,100,58.691166923621,332.489368727442,62.6980195127211,69.3457062150282,95.1805754207861,1915.25625266067,1635.5,1465.57127392424,1727,1629,1507,1566.5,81.2832900531198
"2022/2023",2023,120,120,100,42.9254698844838,274.53462223238,59.2737158528415,53.8974519655472,87.9681294166697,1593.99520354743,1328,1124.47111147762,1313.5,1376.5,1221,1188,72.0311017456897
"2023/2024",2024,120,120,100,51.191461294297,313.990532832724,64.1260918000207,65.979001740418,95.0764454531972,1569.4579326177,1222,1071.82128787282,1355.5,1253,1253,1134.5,73.2943481595617
"2024/2025",2025,121,121,100,51.1024491205178,315.330786057162,57.4521494616118,61.8020315066987,89.2577975536207,1636.79862562379,1288.5,1106.68118108587,1288.5,1387,1265,1183,76.2608079340216
"2025/2026",2026,120,120,100,33.6290050112594,241.797773298185,61.5265212826394,47.9421228848164,90.2798985431932,1409.65663852636,1176,1041.73084720609,1212.5,1216,1000,1072,71.6388878483694
"2026/2027",2027,120,120,100,42.888079940857,233.81579152841,71.6639422808711,61.9561585004557,95.1543860519767,1448.91665367468,1059,880.816200937588,1143.5,1124.5,1202,957,70.3347769279976
"2027/2028",2028,120,120,100,37.3958603598408,269.824881940104,55.7725504442287,47.213380226705,85.033270551329,1565.7587871099,1309.5,1131.13892492071,1274,1393,1158,1186.5,69.0528631849079
"2028/2029",2029,121,121,100,56.9528071853005,319.24383653079,67.9717471846883,72.8330590958918,99.7382259181807,1712.11486146288,1402.5,1265.85053104573,1585.5,1351,1367,1315,80.4737818873632
"2029/2030",2030,120,120,100,38.07120151552,238.887356680647,63.4419705151967,54.216437261142,91.2974077446984,1476.77518976553,1152.5,983.348740758665,1215,1203.5,1132,1034.5,71.8355333426189
