"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.806094916414,309.861984275631,61.4782474675049,56.3735776383694,91.8441304355238,1699.32226694615,1484,1358.11501934537,1543,1497.5,1261,1420.5,78.0441658736811
"2002/2003",2003,120,120,100,41.7197684291764,264.964415633649,62.1118971620964,56.4385725431375,90.9794682427811,1539.84968582783,1220.5,1069.06054718662,1287.5,1280,1186,1125.5,73.2992444132495
"2003/2004",2004,120,120,100,43.9098920077699,257.909719033392,69.5543562620612,57.6927801211308,93.5071143612717,1442.94539726868,1192.5,1065.784809311,1274,1199.5,1070,1105.5,70.6733576339327
"2004/2005",2005,121,121,100,44.0720185944431,291.717157983154,67.5885453760348,60.0233881134308,96.4380827188901,1648.42461580366,1365,1203.17566137175,1463.5,1348.5,1282,1276.5,79.0846554702417
"2005/2006",2006,120,120,100,46.2307721696454,306.035214969679,61.8084867646139,60.7392200448326,94.651548936507,1642.65806919305,1398,1240.64250676326,1489.5,1392.5,1254,1309.5,76.6848915594118
"2006/2007",2007,120,120,100,38.2952809709165,247.268536794099,71.3978345709545,56.267846864214,95.2177647018202,1387.92415941906,1091.5,904.443868978353,1205.5,1080,1097,972,71.0849841680423
"2007/2008",2008,120,120,100,57.5594309969148,321.081179398519,60.2254596592661,68.7407943331536,92.9556438688724,1817.77158921805,1510.5,1364.37890621449,1590.5,1535,1403,1424.5,77.8718257379959
"2008/2009",2009,121,121,100,47.6141483767169,282.116683302883,72.8886221373578,64.6558749855057,99.2230698378149,1586.27013235811,1281.5,1115.46125439524,1416,1261,1289,1191.5,76.5438867640609
"2009/2010",2010,120,120,100,55.3802936518526,348.046858892183,60.520291447016,66.1223228522167,94.2520690306755,1848.27576531946,1605.5,1463.01727770918,1701.5,1591.5,1407,1545,82.3972894667323
"2010/2011",2011,120,120,100,38.0597076934989,272.68720347128,61.1625820996344,52.1781196478514,91.6128660735874,1535.87580641926,1307,1166.8635332018,1352.5,1335.5,1116,1222,77.2709529393094
"2011/2012",2012,120,120,100,54.095770654679,312.371502576113,61.1591786013942,64.0670847053634,91.9864232367601,1733.07657114519,1458,1302.29610304252,1519,1477,1360,1354,76.4190042552411
"2012/2013",2013,121,121,100,37.1373264681814,255.043635007533,69.3755923153478,52.6137943081371,94.3764265091321,1521.17207205202,1274,1116.14082936348,1329.5,1287,1153,1193.5,75.1401058029296
"2013/2014",2014,120,120,100,40.1440545293319,253.983941341442,63.5963301300762,52.9862513883594,90.4986888293805,1550.94745453157,1278.5,1112.52389316721,1316,1334.5,1176,1178,73.0893065545583
"2014/2015",2015,120,120,100,40.9612349765584,270.518775549051,67.8817058530805,56.5933181411598,95.1165047807013,1682.02851257392,1399.5,1194.13380507635,1501.5,1390,1362,1283.5,78.2694813973426
"2015/2016",2016,120,120,100,42.448528054733,277.364844553599,62.4881093212074,54.4839390289735,90.9860649154324,1535.48974476321,1239,1072.77227474041,1293,1277.5,1170,1124.5,71.4360819604674
"2016/2017",2017,121,121,100,43.0718379497421,282.808228514178,67.3810355199165,62.3720849605053,97.6433704464538,1618.80628294164,1323.5,1177.37698667269,1437,1318.5,1258,1239,78.5354451451456
"2017/2018",2018,120,120,100,46.9698187835068,301.322712269322,62.5408971002625,57.2670851214144,91.2445896236767,1666.37844679647,1393.5,1210.68504598669,1465.5,1401.5,1313,1278.5,74.9433209621745
"2018/2019",2019,120,120,100,46.0070073916974,299.157305173206,58.355664184288,57.2708658672069,89.7289621049058,1788.44559726047,1536.5,1338.34260217413,1592.5,1563.5,1375,1425,76.5151798878073
"2019/2020",2020,120,120,100,44.9416894085007,268.105489421456,65.3557855285221,59.7124190627065,94.3259348038755,1593.4774963551,1314.5,1206.32363067322,1411,1334.5,1172,1247,75.8349695914565
"2020/2021",2021,121,121,100,46.9426519003151,288.372037727634,64.8420052177659,61.3763132481855,94.3086263462784,1525.73434745101,1224.5,1088.99724201709,1301.5,1254,1152,1138,74.7650234394694
"2021/2022",2022,120,120,100,60.5696106030003,331.804600421392,64.2676078386398,72.418081449878,96.6175653820724,1937.66610788272,1648.5,1470.47037710522,1761.5,1621.5,1553,1572,81.4371365600605
"2022/2023",2023,120,120,100,42.3394916490385,271.00344304064,60.7966286730931,54.605316629607,89.178339790292,1612.3676906648,1348,1150.32401733651,1355.5,1380,1243,1213.5,72.431363470113
"2023/2024",2024,120,120,100,53.7721969696933,313.085241708158,65.7231306862874,68.1067790812821,96.3611754632596,1591.9072061015,1237,1087.26029003583,1378,1252.5,1273,1148,73.6274651848767
"2024/2025",2025,121,121,100,52.7586195758906,316.71300021279,58.8225620616553,65.2690706289533,90.8745564547166,1672.34594528805,1333.5,1148.93024222911,1351.5,1401.5,1299,1223.5,75.3407697621974
"2025/2026",2026,120,120,100,36.5463586881225,250.094897315172,62.8908894539412,51.0722464588364,91.879656690169,1469.19110024528,1244,1108.46566645645,1295,1252,1071,1133,75.2621176138878
"2026/2027",2027,120,120,100,42.1635008219273,227.037090299589,73.3744271270475,62.3810280978785,96.3092639453375,1445.19114385465,1052.5,875.855552391979,1162.5,1100.5,1187,949.5,70.7408358468792
"2027/2028",2028,120,120,100,40.8742144578337,276.995850222996,57.0082838429504,50.562217888105,86.6909733850856,1625.03891590167,1377.5,1202.78566891926,1362.5,1446.5,1193,1275.5,72.3562906135712
"2028/2029",2029,121,121,100,58.1045542531777,316.319146508386,69.6314218131956,75.3875106281347,101.164614830919,1733.79625420326,1414,1270.54370934952,1614.5,1358,1399,1335.5,82.1026087537243
"2029/2030",2030,120,120,100,38.189899338988,241.380838528543,64.9407390714561,55.022550576746,92.5614253117125,1516.76409870855,1205.5,1037.15362050215,1280,1227,1176,1092.5,72.989440288145
"2030/2031",2031,120,120,100,30.1689985997988,209.338559651858,72.4832116444032,49.121294125195,94.0526043571854,1259.21112173748,926.5,795.498970012799,993,985.5,941,836,69.1699794046972
"2031/2032",2032,120,120,100,39.8792576826052,260.627172831307,69.4392728102639,60.1560612595067,97.6405939998733,1559.05242929303,1254,1108.54051739372,1380.5,1246,1219,1171,75.0697575045374
"2032/2033",2033,121,121,100,47.0510667114499,312.77208530217,61.1396755778478,56.9289222344082,91.7173906801671,1717.48529677655,1494,1319.36587531428,1538.5,1497.5,1315,1391,78.7047877539139
"2033/2034",2034,120,120,100,51.6425355255764,291.774336962279,67.7654283894577,65.5387672758586,95.7798336235404,1642.11869198465,1360,1236.71505781342,1475,1365.5,1253,1311,77.1186812548567
"2034/2035",2035,120,120,100,49.3920743431871,293.030719803147,62.8490762284603,60.7751043347542,92.3280563611219,1792.18451074434,1488.5,1322.65677730086,1574,1504.5,1400,1387,78.386614345925
"2035/2036",2036,120,120,100,37.9997531443589,257.661629924193,62.4782860542999,54.5588199740516,91.136721981077,1525.27308837039,1236.5,1078.02632267728,1280,1287.5,1151,1130.5,71.2524740309154
"2036/2037",2037,121,121,100,46.6061329542578,289.639563764159,64.1629625856075,60.6928187346544,93.7498252572495,1596.99715344359,1280,1105.33381423343,1379,1312,1233,1173.5,72.1043436073764
"2037/2038",2038,120,120,100,46.9977606823282,289.219460082031,63.5988346211132,58.3972546957037,92.1405784189857,1754.31119486527,1507,1341.61637010347,1572.5,1505.5,1338,1420,79.9723241171996
"2038/2039",2039,120,120,100,50.5072036777861,292.138725834999,62.3921346350897,66.1318759500304,94.3355041788503,1646.98386058817,1337.5,1175.06547069491,1457.5,1346,1289,1229.5,76.1401517264981
"2039/2040",2040,120,120,100,49.627877234642,322.312545428424,60.9222116118475,62.5704096008476,93.6938890954947,1639.05912303423,1326,1186.27967641145,1415,1337.5,1235,1235.5,77.4815946865288
"2040/2041",2041,121,121,100,54.0372579534992,329.619386748637,63.1274376555959,67.8911155543858,94.8859437865826,1698.51181548971,1341.5,1150.38890179283,1422.5,1360,1393,1222,76.0812814637848
