"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,46.3633493138319,310.580868276171,60.8964187707307,55.9324797015374,91.1917386949256,1729.76929685331,1516.5,1403.15944525849,1577.5,1536,1278,1461.5,78.2738388301268
"2002/2003",2003,120,120,100,43.1286564481919,266.212619651734,61.5331456430994,56.3021184230877,90.3211533280883,1577.66387855852,1274,1114.90691032731,1330,1328.5,1217,1177,73.6839662648378
"2003/2004",2004,120,120,100,44.1902348606357,260.0387799731,68.9449531990028,57.4533578655759,93.0742886014028,1483.81486926634,1247.5,1107.08069878383,1323.5,1236.5,1126,1146.5,72.1821527943294
"2004/2005",2005,121,121,100,45.1315317727556,295.665633196342,66.9670751271561,60.0289830267989,95.9847308286265,1699.07679784946,1422,1257.78969740804,1525.5,1407.5,1334,1336.5,80.9068144408961
"2005/2006",2006,120,120,100,46.8825559866159,307.288484416396,61.3114263216873,61.1250452522121,94.1179708422246,1678.03651118705,1447,1281.18328457525,1523.5,1434.5,1279,1354.5,78.001440390877
"2006/2007",2007,120,120,100,39.082903579734,249.949810253619,70.7250955404952,56.9642572749808,95.0521527268526,1433.87584855574,1140.5,945.642249047065,1261,1132.5,1141,1027,71.9043701453385
"2007/2008",2008,120,120,100,57.4335360439833,320.457687156354,59.6715341091254,67.534446065676,92.0710030403802,1852.37341030253,1580.5,1419.87609478345,1640.5,1598,1426,1491.5,78.8096331229815
"2008/2009",2009,121,121,100,48.5244013249791,283.484546122795,72.3133060144814,64.8322038001592,98.7460398428916,1622.28491428141,1328.5,1152.29853078246,1461,1302.5,1336,1236,76.0037951628133
"2009/2010",2010,120,120,100,55.8825034269225,348.138305179057,60.0377225792322,65.0756573896531,93.3799281566139,1884.56700568504,1655,1510.44426145016,1749.5,1629,1451,1578.5,82.0076136020109
"2010/2011",2011,120,120,100,37.8201187360262,268.254323958115,60.7135786449167,51.7238464049647,90.997207981849,1555.20984341393,1318,1190.05449279417,1376,1354,1121,1239.5,75.9301385185455
"2011/2012",2012,120,120,100,53.8453223219525,309.894777678888,60.57136985737,62.8193833296038,91.3331829425419,1768.04338275133,1506,1349.45742479612,1554,1523,1386,1404,75.9995699036117
"2012/2013",2013,121,121,100,38.2383157845844,255.241667709937,68.7346910950728,53.1794876805939,94.0789917617914,1558.17636489322,1302,1162.00957279811,1373,1326.5,1174,1234.5,75.2390233463552
"2013/2014",2014,120,120,100,40.7280739937788,253.540155628573,62.9585482347192,52.7303810201117,89.9944067520754,1583.88420063707,1318,1158.71115760618,1362.5,1385,1198,1235,72.8299128639189
"2014/2015",2015,120,120,100,42.0861464595108,268.268098062752,67.1961790779913,57.3698467020064,94.6731164030609,1722.79996725207,1445.5,1246.16107301879,1535,1447.5,1370,1344,76.6432109469804
"2015/2016",2016,120,120,100,41.8426839169718,275.618382021196,61.9029237762009,53.7252785414549,90.3912137559361,1570.44489428995,1287,1121.82663572327,1319,1333.5,1191,1181.5,73.1876319150199
"2016/2017",2017,121,121,100,45.4739370696349,286.464322389594,66.760912956015,63.3904443310435,97.2908639615325,1672.43811846168,1373.5,1228.19814516935,1501,1380,1306,1302,78.0058959732826
"2017/2018",2018,120,120,100,46.484276117761,298.458919838621,61.9697869844256,55.8879070795485,90.6217715877128,1699.60953930816,1443.5,1262.6144169241,1512.5,1461,1346,1345.5,76.4546739868649
"2018/2019",2019,120,120,100,46.4128431393799,294.265725214787,57.7672898472342,56.0436484267962,88.8577568266152,1813.75980077751,1586.5,1390.66664692054,1619.5,1611.5,1380,1477.5,76.8573147777929
"2019/2020",2020,120,120,100,45.7079818655295,271.354412439137,64.7751127943791,59.3784960391261,93.7953708341613,1630.7545312329,1366,1248.63647552971,1460,1376,1202,1293,74.9638448002247
