"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,46.6861128162253,320.35872994294,59.8411508174109,56.4724460089636,91.3100109659427,1710.90067216811,1498.5,1367.98486361654,1553.5,1511.5,1271,1427.5,76.7812604139107
"2002/2003",2003,120,120,100,44.684972416949,279.149505699899,60.4937340940314,57.5781457392551,90.3828068634324,1580.21861386644,1281.5,1114.70972525565,1318,1328.5,1227,1171,72.6688062528224
"2003/2004",2004,120,120,100,44.7454856044988,265.172095698553,67.7226019419872,58.4766453799208,93.2966265115689,1472.65205120774,1222,1090.83764352548,1292.5,1226,1090,1130,71.8263992137742
"2004/2005",2005,121,121,100,44.7778413109191,300.774476947493,65.7163318881685,60.7414598547848,96.3081618380014,1674.87603826577,1393,1237.15789991718,1483.5,1393,1298,1318,80.5744182188105
"2005/2006",2006,120,120,100,46.40369611646,315.553028194564,60.3687573128694,60.043799137045,93.8387211974328,1639.3470895713,1402.5,1242.74465092899,1478.5,1398,1250,1311.5,76.9415132658144
"2006/2007",2007,120,120,100,39.681880475535,257.466328077114,69.4961627285066,58.0025718730185,95.3528633640531,1418.32660215,1108.5,928.215492289164,1222.5,1107,1120,996,71.0250268819352
"2007/2008",2008,120,120,100,57.1092645409232,328.847887535479,58.8310854048275,67.3541487226785,91.9888319852736,1820.91662456188,1544,1383.14493370566,1604.5,1556.5,1412,1444,79.4026839502163
"2008/2009",2009,121,121,100,46.8902348982654,287.265366457154,71.126675444637,63.9213849201975,98.7401990653075,1598.68390888633,1306,1139.22380129471,1440,1292,1308,1221,77.029477342015
"2009/2010",2010,120,120,100,55.5201939333493,358.490287573026,59.045095174176,65.2310153706254,93.3611984621176,1853.48642868884,1621,1483.21361548252,1709.5,1607,1428,1555.5,81.6369746448026
"2010/2011",2011,120,120,100,39.0885828080652,274.681104759285,59.6278110464172,52.1054635980418,90.8383436565989,1525.69788130044,1303.5,1174.37697961275,1339.5,1331.5,1085,1211,75.0989632390139
"2011/2012",2012,120,120,100,53.9402157834953,323.099614126201,59.7248598954547,62.8298264029279,91.197819113921,1739.701693068,1471,1310.89120635148,1509.5,1485.5,1366,1361,76.1765156697202
"2012/2013",2013,121,121,100,37.7750946550381,262.291904497538,67.6931803479293,53.1088181568324,94.1008343508338,1540.66645191126,1292,1139.82830325057,1353.5,1311.5,1158,1213.5,74.9725389818623
"2013/2014",2014,120,120,100,40.9828777634694,264.247271433921,61.8837036627884,53.1838321119434,90.0857708848245,1564.2070427061,1292.5,1134.40789524729,1334,1355.5,1184,1195.5,73.5236181748862
"2014/2015",2015,120,120,100,43.7374971107986,283.060720795445,66.1319959528084,58.8807251963757,94.8065623908926,1721.57970511859,1421.5,1228.88608889811,1526,1439,1377,1325.5,76.1874778257054
"2015/2016",2016,120,120,100,43.4357346637919,285.603539531845,60.7901979262675,55.7070226084782,90.7270498835432,1562.62501136951,1260.5,1103.27804655925,1309,1319.5,1195,1158.5,72.1067786225938
"2016/2017",2017,121,121,100,45.4702092075986,296.403046088028,65.622550384797,64.4838347913875,97.5337310921656,1664.10990375727,1372,1221.6532020852,1486.5,1374,1310,1294.5,78.8375675374307
"2017/2018",2018,120,120,100,46.1934291681585,305.920458816277,60.9470277214769,56.6304829933115,90.7062671504852,1680.97846338521,1410,1232.61190262088,1484,1429.5,1326,1302,76.163387129958
"2018/2019",2019,120,120,100,48.8708434621165,310.242592826647,56.8222835105964,57.5597184402298,88.8802855006903,1814.17176077004,1566.5,1376.3360995506,1603.5,1610,1374,1466.5,75.2642883846231
"2019/2020",2020,120,120,100,45.538524244769,277.72645624614,63.7970966075098,59.2281138997297,93.7146934777686,1600.09614783809,1338.5,1224.37576008433,1423.5,1351,1181,1259,76.0793006981896
"2020/2021",2021,121,121,100,47.4113320288721,298.555847386578,63.1322770598115,61.7920257568745,93.9657201267914,1541.34921130099,1248.5,1110.53866121793,1306,1271.5,1156,1154.5,75.5233350158396
"2021/2022",2022,120,120,100,60.1009425097257,337.944144924104,62.7974562181902,71.5837063983601,95.9939834385361,1955.62599157356,1696,1505.61784641386,1790,1662,1555,1611,81.9142677729351
"2022/2023",2023,120,120,100,41.8195590098656,276.482890664854,59.3479940934374,54.2750669635236,88.6019144484653,1620.02449095041,1352,1150.16844801942,1353,1400.5,1244,1228,72.6107641538365
"2023/2024",2024,120,120,100,55.3830900640016,324.528532524167,64.0818175813309,68.2469209308823,96.1163942970846,1606.57312027764,1259,1112.87746549959,1383,1267.5,1278,1159.5,72.9332995100526
"2024/2025",2025,121,121,100,53.2929154805166,323.606133759986,57.359592710929,64.4041353737208,90.0431768220648,1666.19060700681,1351,1156.38124102047,1350,1404,1284,1222,74.9174883848377
"2025/2026",2026,120,120,100,38.2494981345199,260.347285128212,61.1407245202343,52.955846026791,91.7323225681377,1503.69552767983,1276,1140.30210236646,1321,1289.5,1086,1167,76.2656133021173
"2026/2027",2027,120,120,100,44.1661092220429,239.369426231946,71.667667471671,63.5557390654784,96.0362392841162,1461.863937737,1068.5,897.59943579109,1172,1116.5,1183,961.5,71.1034757839811
"2027/2028",2028,120,120,100,40.8123694586281,279.273639133153,55.5140589753878,49.8693250031432,85.9152220473023,1614.43322691885,1378,1207.25159681216,1336,1450,1171,1269.5,72.5194534000598
"2028/2029",2029,121,121,100,60.70939970345,330.113569049773,67.9094891307917,76.8807691653237,100.832950613126,1775.32049763527,1461.5,1313.02304387933,1646,1404,1425,1377,82.5049492495536
"2029/2030",2030,120,120,100,40.5570158189259,254.140383700465,63.3070358349634,55.6426965766561,92.1149890319727,1549.43898733301,1242.5,1081.65216781122,1305,1280,1186,1139.5,74.5224930919621
"2030/2031",2031,120,120,100,31.8186465722589,218.789071150647,70.6967936040897,50.9133723868935,93.9242629553883,1286.0783773093,953,822.174446577548,1016.5,1022.5,963,869.5,71.1675338493355
"2031/2032",2032,120,120,100,41.1730978675488,269.167772280087,67.8464080291197,60.664357633379,97.2624269977904,1575.79192087954,1272,1129.82279475995,1403.5,1270,1232,1190,76.4406159202058
"2032/2033",2033,121,121,100,47.0018999540196,319.583954342234,59.6120540834825,56.7802060931929,91.0754610263837,1722.25797048965,1505,1328.7334996181,1544,1506.5,1314,1396.5,78.6073124136656
"2033/2034",2034,120,120,100,51.6105816140837,299.093546187349,66.133925457602,65.0743354853665,95.3540045018776,1647.39760497033,1371,1245.43093187746,1476,1366.5,1239,1306,77.6483886091432
"2034/2035",2035,120,120,100,48.7892261663895,300.160047190357,61.3351954322111,59.6840221225299,91.6339813745249,1798.53823133581,1509.5,1335.4028702158,1579.5,1528,1378,1403.5,77.2541646557825
"2035/2036",2036,120,120,100,40.2243074969233,270.495006483504,60.8157931285717,55.2860294429566,90.7287371880216,1547.28008119224,1274.5,1107.47135200741,1303.5,1311.5,1153,1152.5,71.4994035815607
"2036/2037",2037,121,121,100,46.9495962670714,297.813402675107,62.52579742489,60.6071795704053,93.2038930788816,1619.51791466016,1304,1133.44056226117,1398,1340,1246,1199,73.0806046811308
"2037/2038",2038,120,120,100,47.2508422971525,298.229310140373,62.0791807349306,57.9072977146385,91.5076494226588,1763.08980626593,1523,1356.27753467155,1570,1528,1342,1438,79.6164545732954
"2038/2039",2039,120,120,100,53.0140052088143,305.590890306011,60.8200008565988,67.0990595621736,93.7807317920983,1668.7582941398,1369,1207.01424882938,1474.5,1377,1298,1257.5,77.899386758063
"2039/2040",2040,120,120,100,48.6399154256407,327.014302404633,59.4627370867377,60.8998937298523,92.911609135211,1637.47397302349,1337.5,1196.37478656706,1419,1365,1219,1259,75.4281180192306
"2040/2041",2041,121,121,100,53.8445766534118,335.703202671988,61.6009857618154,67.2576214598045,94.246328448777,1702.79804966488,1358,1165.90297851233,1425,1383,1379,1242.5,76.494344717154
"2041/2042",2042,120,120,100,42.8035523799981,305.099067083933,54.1452968004233,50.4955189151478,86.3949434867361,1726.99872427125,1501,1369.78846768443,1509,1558.5,1231,1410.5,77.4493579358523
"2042/2043",2043,120,120,100,49.1303622046957,347.897120029614,57.4870136076364,58.382946628814,91.2215483083335,1735.09177082288,1489,1306.54850543535,1553.5,1492,1351,1382,79.3012010092343
"2043/2044",2044,120,120,100,38.330902781562,262.819218296513,64.546299653678,55.7666182627418,94.2363980310473,1556.93828893798,1348.5,1190.26650463525,1420,1327,1159,1254,76.5581200076549
"2044/2045",2045,121,121,100,50.8414193883719,357.622128383176,57.5964561042662,60.624961865938,92.2510311252779,1812.73231343458,1605,1411.47497608305,1682.5,1557,1405,1487.5,80.9857727239214
"2045/2046",2046,120,120,100,55.8501648129399,332.932090716705,67.1119788933814,72.7227679619723,98.8933544723963,1797.67939818013,1492.5,1312.07165860028,1658,1425,1481,1392.5,81.1850854441873
"2046/2047",2047,120,120,100,43.8893854792587,289.001011114296,61.401510927022,54.2441446709832,91.2722650741973,1763.77120517954,1538.5,1368.21120586011,1580,1547,1307,1448.5,79.5135936982615
"2047/2048",2048,120,120,100,50.8617234490878,279.763684654446,60.5517471937411,61.5029410982274,90.2133398533907,1642.72737807293,1329.5,1170.68119569671,1401,1381.5,1243,1224,75.1087795319672
"2048/2049",2049,121,121,100,51.1484598491883,326.591784926185,64.2338590373082,61.7064534964317,94.2997184021349,1695.04727398956,1423.5,1286.5802582348,1522.5,1419.5,1287,1340.5,77.0146005223633
"2049/2050",2050,120,120,100,53.3257037291023,308.206711033921,63.7125108857704,66.859730625351,95.0641844119824,1745.36954979043,1451.5,1285.58898775262,1522.5,1451,1357,1357,78.3024415427435
"2050/2051",2051,120,120,100,51.3397361691754,311.242564020344,65.7200685426633,64.3745584332456,95.7458887999266,1764.36442675733,1500.5,1376.04725683808,1647.5,1453,1354,1425.5,83.006703532451
"2051/2052",2052,120,120,100,39.095030976132,240.178353659663,63.8018232643528,53.8694722154062,91.268744162594,1461.18033899511,1125.5,1014.23698984127,1209.5,1219,1067,1042,68.7242797130411
"2052/2053",2053,121,121,100,56.0641013054809,313.973963138828,58.0568272299259,62.8266978793379,88.7739742157281,1615.77320283523,1282,1128.4121449084,1306.5,1364,1196,1168.5,71.3499208886869
"2053/2054",2054,120,120,100,47.2694435591362,300.057894581218,59.9176020517817,60.9736777688789,91.3497806833352,1583.12225054577,1237,1067.44025077601,1275.5,1303.5,1229,1125.5,72.3297521793438
"2054/2055",2055,120,120,100,54.6718031531669,340.120089011156,58.4915545104351,64.7692225837743,92.6684564336134,1747.81694758522,1466,1314.67257815208,1535.5,1483.5,1312,1384,77.2814400071511
"2055/2056",2056,120,120,100,57.7990288133124,341.36430425152,60.2255995642028,69.820382449621,94.3874903877383,1858.20182075938,1563,1393.67984446847,1664.5,1562,1448,1469.5,80.9058738264666
"2056/2057",2057,121,121,100,41.7512085905591,272.047433721964,59.3672543919012,52.6603873546745,87.7708534788691,1595.81958766771,1304.5,1146.58545534604,1282.5,1397.5,1184,1206,70.8960494605153
"2057/2058",2058,120,120,100,56.0950453253603,309.912978545209,62.2934685997489,67.7914241515014,93.2581804473027,1687.0490168634,1371,1194.88006634777,1458,1403,1357,1278,76.2789595527138
"2058/2059",2059,120,120,100,51.1059874257728,311.679180671372,61.5211663579287,64.3564477477638,94.5629405447862,1663.6436279272,1403,1268.52613383812,1469.5,1417.5,1238,1333.5,79.1461420367814
"2059/2060",2060,120,120,100,45.1983917924553,274.65506525927,67.1230594992193,57.2222073410161,92.3970506747824,1594.71975852485,1315.5,1168.74206334264,1424,1304,1206,1223,76.3132335347755
"2060/2061",2061,121,121,100,39.5216726353079,249.352365932847,66.211166869062,54.2202372237347,93.2939506428877,1480.56415928845,1150.5,1005.60091598338,1225.5,1211,1130,1055,70.3444396923587
"2061/2062",2062,120,120,100,40.855186958125,294.295298199374,55.8753164120027,47.0986563919361,86.3625661478367,1717.08874295757,1528,1411.88097107579,1494.5,1604,1199,1470,74.3925386750589
"2062/2063",2063,120,120,100,52.8424242802131,294.48760561092,66.0942849065214,66.9140391131697,95.2849904350179,1637.67631949246,1340.5,1180.36407577503,1456,1326.5,1275,1239,76.7995612545192
"2063/2064",2064,120,120,100,53.2159243182412,316.197357016658,62.8809091582028,65.0129115711604,92.5239109868666,1697.53761833688,1321.5,1154.73818958108,1403,1387.5,1355,1220.5,77.4541876560052
"2064/2065",2065,121,121,100,47.9420264407145,306.243509748485,62.7472589007478,60.5534907675691,93.0657866859825,1562.36686031372,1339,1124.81428827238,1416,1284,1233,1195,73.6184373424585
"2065/2066",2066,120,120,100,55.2488162945375,320.204457480883,62.6257301981047,73.4776933438372,96.2942630400871,1609.65962079549,1269.5,1078.88266793435,1372,1287,1270,1156.5,74.2697479752751
"2066/2067",2067,120,120,100,47.9210095237566,303.049932151979,62.2321899325162,63.3633260340601,94.324916084242,1689.20675561926,1386,1196.49036610575,1475,1409,1341,1287,75.7612051819588
"2067/2068",2068,120,120,100,44.0239050141834,252.465486782787,71.011235596756,61.6896052792107,95.891137227625,1535.65929090724,1235,1054.34736577442,1337,1235,1211,1129,72.6557139330544
"2068/2069",2069,121,121,100,47.6259462012012,308.813463971179,63.1303858409916,60.2715635765333,92.5277277767715,1605.25796705263,1304,1117.29050155598,1348.5,1349,1255,1199.5,75.9527491529998
