"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,40.3251182982444,274.315094755845,55.3128953660549,45.8981378789464,84.7189401809049,1625.83622031158,1427.5,1309.08918638712,1388,1480,1134,1333,75.3202795803821
"2002/2003",2003,120,120,100,41.6667568738015,256.239057997653,55.9409311562641,51.620914841548,84.378625804781,1539.60323771151,1211.5,1020.40095189861,1154.5,1323.5,1139,1072.5,70.4961545524015
"2003/2004",2004,120,120,100,40.9064406016217,261.001994344732,62.6232628255456,50.9954597523266,87.7698641697418,1465.70105456864,1221,1043.4074964837,1212.5,1254,1081,1097,68.1413427431245
"2004/2005",2005,121,121,100,43.0765782082781,283.764715754243,60.7803275789876,54.6035489626159,90.1830540851097,1682.89223919655,1421,1263.42588753081,1453,1471.5,1268,1332,77.9732516521029
"2005/2006",2006,120,120,100,42.9088652092941,298.588071454393,55.5932873860204,54.1960992465722,88.1495226878739,1633.170731402,1377,1224.56839302764,1393.5,1446.5,1191,1288,74.3714915698009
"2006/2007",2007,120,120,100,39.4973903242333,257.832756426023,64.307584101468,53.8086104457297,90.6926973092912,1490.28038692825,1157,952.455808400866,1183.5,1227,1180,1038,70.346221714451
"2007/2008",2008,120,120,100,51.1008972469321,304.81301506811,54.1422557736067,55.9915569366254,84.9614398992541,1785.31628076803,1565,1377.34334046198,1531.5,1633,1340,1455.5,74.8883801855065
"2008/2009",2009,121,121,100,47.9621059631646,287.402599415767,65.4833647071673,60.7734628043472,94.0611951019539,1694.36507128167,1404.5,1248.04309722125,1472.5,1437.5,1333,1331,78.1130250228287
"2009/2010",2010,120,120,100,46.7127825010298,315.788281487287,54.4066798420011,51.3576967615988,86.4278345527894,1800.89886039572,1626,1477.0586648858,1633,1634,1340,1532,78.8908705081304
"2010/2011",2011,120,120,100,35.7656205770045,256.573941413611,55.0032138260386,47.303422198384,85.1040078276991,1500.84991584297,1235.5,1077.69853479804,1219,1317.5,1054,1112,71.3001551165089
"2011/2012",2012,120,120,100,44.5335527436454,290.822095004446,54.9417233381005,50.8213249826248,84.6311104683741,1715.00281316446,1483,1301.847100677,1401.5,1552.5,1239,1366,73.7597324481296
"2012/2013",2013,121,121,100,37.2490064890406,238.702106911628,62.4450750157028,49.6575715771256,89.045802571271,1526.71073872717,1251.5,1103.43874130711,1272.5,1320,1099,1147,70.7165470850125
"2013/2014",2014,120,120,100,38.7395462245333,242.495558412499,57.2311504195005,47.8536088021782,84.1300897568937,1534.018453859,1244,1058.64340420753,1189,1356.5,1144,1102.5,67.84413952369
"2014/2015",2015,120,120,100,38.8857564251352,242.758000382183,61.1080659634509,52.6783268220101,89.2099855705675,1706.00782197378,1404,1250.88188603763,1448,1493.5,1283,1321,72.7791616935142
"2015/2016",2016,120,120,100,37.0237568347082,260.967827260466,56.296719010691,48.4608189525175,84.4773171984964,1521.66891470299,1221,1027.78700343589,1169,1335,1130,1087,67.6759259273008
"2016/2017",2017,121,121,100,43.9558801997017,276.071319934457,60.6606776756014,57.830265688568,91.7518003879006,1667.59246863713,1383.5,1216.55704674905,1432.5,1398,1241,1268,74.3969042955796
"2017/2018",2018,120,120,100,39.6752391317882,267.211466903453,56.2735303681567,46.8950095081323,84.4619240218172,1641.02729235683,1389.5,1204.88099657251,1340.5,1493,1203,1271.5,70.9050330921771
"2018/2019",2019,120,120,100,39.6490217566647,257.920299520384,52.501158406221,46.2424702778519,81.6388683396511,1699.60008273727,1461.5,1281.05711737899,1405,1586.5,1237,1339,72.2893702873107
"2019/2020",2020,120,120,100,45.5231293609951,270.748928552324,58.7945942155012,55.1737331369632,87.9218764982079,1588.18945638013,1328.5,1189.13595440175,1360,1382.5,1172,1226,74.4331436481966
"2020/2021",2021,121,121,100,44.9781157821242,295.760939681727,58.3390302876907,54.2627702998724,87.9642378832008,1565.40440164636,1295.5,1095.52886028927,1273.5,1337.5,1193,1158.5,70.86079153676
"2021/2022",2022,120,120,100,51.7591357497655,312.643332200939,57.7176675080343,58.5476793378514,89.2301066242454,1950.76298199075,1752.5,1593.19305194051,1774.5,1776,1475,1676.5,79.8769602715045
"2022/2023",2023,120,120,100,40.3741267463283,250.672164616991,54.6689585069127,47.3343358008352,82.1587213470824,1585.19510761548,1316.5,1113.93717830348,1226,1456.5,1166,1203.5,69.7489386190477
"2023/2024",2024,120,120,100,48.7601465306579,318.906361605359,59.1578898661155,59.5575768169999,90.3831930003661,1671.76400274884,1389.5,1176.80718398993,1385,1424,1313,1255,72.7535307782673
"2024/2025",2025,121,121,100,48.35168410769,300.592861585709,52.9120376566642,52.987166575265,82.9558762836157,1671.67244883196,1329.5,1146.1948177062,1229.5,1489,1260,1208,74.913466698496
"2025/2026",2026,120,120,100,35.5879198446885,239.756527114984,56.6213284036273,47.8132766626392,85.6627904592391,1432.30824078942,1164.5,999.221232194439,1171.5,1242,991,1035,66.8960431675082
"2026/2027",2027,120,120,100,48.21887346529,257.087469248802,65.924321935587,62.8870630432408,91.7382851859376,1592.66630093618,1204,988.807034414902,1216,1297,1304,1076,71.7427767940881
"2027/2028",2028,120,120,100,32.8328674635338,238.802805723605,51.2840546356261,39.9727762828916,79.3120458936056,1533.21251641267,1266,1085.84054762432,1165.5,1430.5,1070,1148.5,67.2695266961637
"2028/2029",2029,121,121,100,56.9963731256494,331.799354774415,62.5916908923061,66.6101391824074,94.4703652651775,1843.92901511243,1588.5,1414.89535120405,1688,1548.5,1433,1490.5,78.7196445397476
"2029/2030",2030,120,120,100,42.5003280933713,241.897504706747,58.4817432113669,54.3058305206133,86.3042144455256,1547.16258562928,1214.5,1005.36067950015,1217.5,1311,1178,1077.5,68.4990961134981
"2030/2031",2031,120,120,100,36.2473272421326,229.979478088526,65.2759931880366,53.0488116673561,89.8125561366073,1340.23183925818,963.5,795.359850983281,991.5,1070,1026,841,64.970949919631
"2031/2032",2032,120,120,100,46.1911334790307,269.589067765343,62.5018989933918,60.3609580259328,91.9468009932896,1620.31007776872,1330.5,1157.44382202964,1403.5,1358,1234,1214.5,71.7470770216428
"2032/2033",2033,121,121,100,38.3748632775163,279.018575632246,54.97387689056,45.6939495547307,84.6604362573061,1666.10649911157,1439,1279.4140786419,1400.5,1519,1204,1333,75.6779372991246
