"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.1846294373054,265.311925834803,52.6259399477331,40.6477518990424,82.127105101923,1629.84577010225,1474,1338.72140366054,1390,1532.5,1085,1370,74.8850747239855
"2002/2003",2003,120,120,100,41.206643033192,259.705557418194,53.0815406339497,47.9215246945845,81.9064403269611,1595.53978158475,1298.5,1106.81554784415,1202,1441.5,1162,1178,69.5166642536437
"2003/2004",2004,120,120,100,41.1161408565559,273.756685963745,59.4311865264743,49.0579714502701,86.0802592310416,1536.53364971469,1285,1107.00266670837,1293.5,1331,1134,1171,69.2490737874797
"2004/2005",2005,121,121,100,43.0579018903484,285.694015201424,57.8132843509594,52.9799215962698,88.1524092540012,1732.92206311824,1500.5,1339.82810648847,1490.5,1555,1283,1402,79.1833512436796
"2005/2006",2006,120,120,100,42.4950821843902,296.760678513112,52.9347863584323,50.5241040690363,85.4553655928285,1669.46380145333,1454,1291.45063797557,1433,1514,1195,1342.5,73.0381067724264
"2006/2007",2007,120,120,100,42.8031478518117,275.429801315553,61.0278591057823,55.4485907453825,89.222794636167,1586.18902720613,1245.5,1041.38709945969,1280.5,1324.5,1241,1128,72.4910031320477
"2007/2008",2008,120,120,100,45.4021904430083,293.146304210573,51.508457544431,47.8169286961484,81.6117391562822,1787.01777855005,1615.5,1445.04153824744,1533,1694,1312,1508,74.7825745941848
"2008/2009",2009,121,121,100,47.7879089586915,297.210093835716,62.3588531726893,58.9708968806431,92.4767056039715,1767.55279768752,1507,1330.44361791333,1536,1536.5,1373,1419,78.5262694878151
"2009/2010",2010,120,120,100,41.0127481047811,304.557194205564,51.7822393702768,44.2099650859333,83.4232747311829,1816.30527611003,1694.5,1546.46498673501,1652,1742,1297,1623.5,78.1816205924314
"2010/2011",2011,120,120,100,37.8698854747343,264.273015962915,52.3308393245103,45.4884831424615,82.3071581989289,1553.81773569518,1293,1121.78124917454,1247.5,1384.5,1075,1157.5,71.3016558120643
"2011/2012",2012,120,120,100,39.3709254319204,272.097631532679,52.3617190240135,43.8396746108584,81.5179124495155,1702.98522263188,1493.5,1341.27310764347,1371,1607,1171,1408,74.0127734463505
"2012/2013",2013,121,121,100,37.6085064299952,244.916977062112,59.3022396559709,48.689122936853,87.2688274924162,1585.38505773351,1316,1167.7083255353,1321,1400.5,1136,1213.5,72.47271365694
"2013/2014",2014,120,120,100,37.5883587733897,240.806027931869,54.372117583274,44.7045579942613,81.81309737629,1565.28993016255,1281.5,1118.59736508985,1195,1427,1124,1161,67.5164537275307
"2014/2015",2015,120,120,100,42.0742079714149,253.8750305299,57.9812503114819,51.7433976055597,87.0834173064552,1784.1481501043,1483.5,1346.59151897518,1503.5,1587.5,1298,1404.5,73.948320353036
"2015/2016",2016,120,120,100,37.4406829559815,261.745390598452,53.4009293543609,46.2013735280227,82.3788176229408,1577.16117065183,1293,1102.71543750016,1211.5,1427.5,1152,1167.5,67.8629239807365
"2016/2017",2017,121,121,100,47.3911186502225,296.772030743174,57.6508853476134,57.0113402238772,89.3031442337743,1765.27054168232,1494.5,1323.52119379654,1519,1529.5,1325,1389,77.0352040747962
"2017/2018",2018,120,120,100,35.4912313394273,260.533282911547,53.4509677018259,42.0038109664125,82.2016587468584,1663.97719332042,1428.5,1262.81766100483,1364,1573,1178,1337,70.2026405488984
"2018/2019",2019,120,120,100,37.0750805274027,244.823644918576,49.8974818323409,40.5552630782434,78.2877546466964,1690.47630101011,1492.5,1323.33220967101,1372,1643,1173,1370.5,68.9150813203157
