"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,29.9944168045383,224.271637192256,49.5547427556746,33.8020962370488,77.2099152909841,1475.05685329538,1289.5,1155.73272664569,1160.5,1428.5,925,1182,68.238220170791
"2002/2003",2003,120,120,100,37.4852175239843,240.409670752755,50.0155282697669,42.9765041504318,77.2463611036213,1500.61649842846,1168.5,952.562967644231,1005.5,1380,1079,1022,63.5782215393134
"2003/2004",2004,120,120,100,36.0192049869066,250.776823701461,55.9992221430301,41.6894977996621,81.4480124689784,1471.97152526215,1205,995.75735970938,1143,1295,1053,1051.5,69.281128917368
"2004/2005",2005,121,121,100,38.7618797605834,253.526237905873,54.3971792103189,45.6248079214479,83.3163346031554,1645.378677576,1444,1264.04555980985,1351.5,1549,1164,1331.5,68.4648992160706
"2005/2006",2006,120,120,100,38.5302836718052,269.099166982004,49.7852736191752,43.9723799903382,80.471122045494,1578.98401058097,1342,1169.54882365518,1258,1474.5,1095,1216,69.5396092051743
"2006/2007",2007,120,120,100,39.5005366677841,256.356506000691,57.5565646457808,50.2515020545418,84.6396535334761,1557.08506903046,1195.5,994.676536073126,1160,1346.5,1173,1063.5,68.146093342267
"2007/2008",2008,120,120,100,36.3282925652932,256.738169340262,48.3861159624724,37.8141388814454,76.4308138237195,1660.06222827247,1482.5,1308.46756378704,1314.5,1631.5,1163,1367,70.602081154374
"2008/2009",2009,121,121,100,43.9140784348567,279.615529416707,58.4982447119796,52.2170056657372,88.1670407412484,1755.47417691296,1488.5,1345.451329871,1458.5,1578.5,1279,1417,76.4203891928696
"2009/2010",2010,120,120,100,32.8798176399403,255.117896863645,48.6746642721656,35.0818320344939,78.4141533307992,1671.41531863968,1558.5,1398.30866085724,1446,1648.5,1131,1448.5,72.0872752185983
"2010/2011",2011,120,120,100,34.7738210491201,244.9173052613,49.1591838736644,40.0259764873965,77.6043626605615,1485.91809689927,1165.5,991.978432680597,1080.5,1353,1012,1034.5,67.9021188261771
"2011/2012",2012,120,120,100,32.3084064016352,240.033357765447,49.1910607271455,34.973828637822,76.5278889692914,1580.95317196309,1350.5,1207.99850565406,1190,1531,1058,1256,71.0259079139948
"2012/2013",2013,121,121,100,35.6987802889712,223.294240574802,55.8702595111253,44.8725496728609,82.8428862815633,1517.93156436748,1205.5,1062.52438086854,1147.5,1370.5,1059,1099.5,66.9819385787042
"2013/2014",2014,120,120,100,34.6774889476784,216.160077073579,51.2020170058133,40.3749865234112,77.1971873699094,1479.34239798472,1140.5,976.842579007913,988,1364.5,1028,1010.5,65.8089631603557
"2014/2015",2015,120,120,100,38.2063151562355,222.092054674526,54.6467336764627,46.2311249759531,82.3313133496009,1676.11262206536,1348.5,1237.4714504268,1307.5,1510,1175,1268.5,69.7469144619402
"2015/2016",2016,120,120,100,31.802323196903,230.505810888732,50.3443601909093,39.1538752962273,77.6396468282427,1478.21819051794,1160,959.287520807549,992.5,1369,1055,1013,64.0887707923764
"2016/2017",2017,121,121,100,43.1465134964662,268.486482110719,54.3439907798689,50.6381957073706,84.2904986817694,1680.98484409388,1399.5,1224.511515178,1352,1499,1231,1290,70.78870732357
