"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,43.808513737854,276.50833663199,70.3467261915674,60.4011722628606,96.6249967568672,1664.25117110268,1427,1292.64009947508,1516,1416,1293,1372.5,77.5709230293008
"2002/2003",2003,120,120,100,34.1642304684384,220.186699062666,71.256531757735,52.0405207322505,94.4949350953633,1424.70437413915,1124.5,990.265489696177,1217,1150.5,1097,1038.5,72.4829146062836
"2003/2004",2004,120,120,100,39.5305034125383,207.418233272813,79.6626236739808,55.6299981969625,95.6227565847988,1352.76343608462,1084,982.370214775213,1203.5,1088,1034,1021.5,70.5076497272765
"2004/2005",2005,121,121,100,39.5882358593074,238.927149334752,77.3323317032243,57.6261175654709,98.8125289590603,1514.65411103944,1209,1073.42217947932,1365.5,1193,1200,1151.5,74.1073397454826
"2005/2006",2006,120,120,100,40.8457185913873,254.937640845675,70.9077321114837,58.9257448425668,98.2103480781026,1532.02005843973,1282,1126.71522891611,1403,1242,1223,1195.5,76.3023939762787
"2006/2007",2007,120,120,100,31.5209082354633,195.379171433102,81.8005740595554,48.5431692770451,96.1562496364252,1223.82033181264,924.5,788.871800607752,1075,908.5,962,834,65.3997464256606
"2007/2008",2008,120,120,100,51.7166800976801,265.524577508265,68.9162738378751,70.7549491151575,98.6317957431187,1705.40742442661,1354,1203.03512010417,1523.5,1342,1351,1269,77.2809455430072
"2008/2009",2009,121,121,100,38.2774386196853,223.997033057022,83.3953178763054,58.4894939626147,100.683625273774,1416.08033242082,1114,942.232437941546,1283.5,1072,1200,1022.5,71.8793275297386
"2009/2010",2010,120,120,100,51.9754391175413,298.666798624934,69.3102700691383,69.4963710983918,99.7221595421727,1763.11167171532,1487,1340.11903302373,1624,1452,1390,1431.5,81.6005733600293
"2010/2011",2011,120,120,100,35.9713620361162,235.364305533374,70.1632147809527,51.4540462801364,94.5908009369801,1477.38751626714,1287,1139.23297698996,1343,1274.5,1112,1204,76.5135931117331
"2011/2012",2012,120,120,100,52.0157223021207,268.026705309704,69.9090783557407,68.1705248222619,97.1605819264591,1644.77354709155,1320.5,1165.35988962332,1468.5,1330,1317,1240,74.008426537509
"2012/2013",2013,121,121,100,32.8139724128461,217.450987569733,79.4657899997695,48.4919945928795,96.3720379274564,1409.22401591573,1182,1028.23437394302,1279.5,1140,1133,1090,73.1347234466211
