"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.2106101337278,231.502391994093,49.8354122152196,34.8967996342141,77.76981016152,1496.5390779581,1305,1168.36129253134,1182,1446,962,1199.5,66.5348542025217
"2002/2003",2003,120,120,100,37.5276583455254,242.666959550311,50.3974059796864,43.3262899564928,77.61042367442,1503.23551725994,1167,948.205275964061,1012.5,1378,1092,1014.5,64.4665464506567
"2003/2004",2004,120,120,100,35.8646823759412,254.785164233922,56.3992696469214,42.4044209439869,81.7917544522234,1468.56146458899,1193,981.239676415653,1136.5,1293,1078,1045,69.3907442863023
"2004/2005",2005,121,121,100,39.6134491952692,259.296635940331,54.7667871708177,46.8582825627621,83.7113789206674,1639.33707528339,1433.5,1242.68961095154,1344.5,1529.5,1181,1306,69.8297831957706
"2005/2006",2006,120,120,100,39.4302526613361,274.186515237118,50.0711827284238,45.1357377729855,81.0029891239914,1580.61680292404,1335.5,1158.88966191035,1255,1463,1113,1206.5,69.1919010194113
"2006/2007",2007,120,120,100,39.9429677870884,261.446096862002,57.9089755490625,50.995134081122,85.0776427416032,1558.16271700179,1193,980.760504683865,1161.5,1343.5,1198,1056.5,67.8554683374128
"2007/2008",2008,120,120,100,37.5652762399448,263.335372032641,48.7425221032526,39.1044624565563,76.9561568546371,1673.72483514374,1490.5,1304.19718381515,1318,1631,1188,1368,71.203489964581
"2008/2009",2009,121,121,100,43.5940159119155,277.814285407543,58.9561154209703,52.5301151576708,88.4329497947429,1728.40010646738,1452,1309.75435747214,1429,1544.5,1260,1380,76.7283063134441
"2009/2010",2010,120,120,100,34.0961587186332,260.652629117036,48.9865911284243,36.4929138924535,78.8800558788357,1675.06741781024,1558,1389.92312300348,1449,1636,1145,1441,72.4523917885683
"2010/2011",2011,120,120,100,35.0870908983582,242.939288117113,49.536955098954,41.0319294767475,77.9953687553763,1463.66779774339,1140.5,955.539412792274,1048,1318.5,994,998,65.6922544710416
"2011/2012",2012,120,120,100,33.3022247836481,248.826099518913,49.4869518723526,36.3630484327343,77.0992056876799,1601.57759798855,1359.5,1211.18262012269,1199,1541.5,1091,1267.5,71.4665071772131
"2012/2013",2013,121,121,100,35.8935508050942,226.163895604468,56.2470138860553,45.387381823973,83.1991565418516,1509.17074283136,1203.5,1041.71796963591,1141,1360,1041,1090.5,66.8684156494913
"2013/2014",2014,120,120,100,34.63943963373,218.019911290159,51.5652207574361,40.7202026612503,77.5717761241265,1480.24652482168,1140.5,968.490295263939,979,1362.5,1016,1009.5,65.9287230704376
"2014/2015",2015,120,120,100,38.1699002822047,225.493709540097,55.0210001309701,46.5002048312499,82.8134447711545,1681.53099473098,1353.5,1235.57241584801,1304,1521,1176,1280,69.4060456419995
"2015/2016",2016,120,120,100,32.9163516355174,236.618259570497,50.7038473118768,40.4084438022944,78.0582252557591,1483.42993337946,1156.5,949.15285118563,998,1362,1072,1005.5,64.4280804779542
"2016/2017",2017,121,121,100,43.6634257508926,273.55204969662,54.6482953898297,51.6159080650032,84.7917500807276,1674.86523797278,1390,1212.60135016948,1360,1480.5,1234,1276.5,72.009508922393
"2017/2018",2018,120,120,100,30.7620251416815,229.331823268617,50.6750187913448,36.157495250061,77.8043214876063,1548.60531179112,1276,1116.93870144827,1129,1478.5,1064,1166.5,65.6263288444125
"2018/2019",2019,120,120,100,33.0672116463834,207.609994404678,47.2895583885814,34.7270426662966,73.637764210971,1551.19131998551,1287,1136.23851086874,1094.5,1538,1011,1181.5,65.1106657215735
"2019/2020",2020,120,120,100,40.1319256480374,258.746692649342,52.9418272689059,45.5222280821895,81.2856303035692,1553.94971779284,1322,1132.38555282602,1240,1418,1122,1181.5,69.4188062138583
"2020/2021",2021,121,121,100,38.5809710597477,280.849186637734,52.5593244768486,44.8038006191827,81.4918270064893,1551.85263429268,1271.5,1055.92300798839,1167,1409,1166,1134.5,70.5301294209335
"2021/2022",2022,120,120,100,38.8885350470983,262.909216200169,51.959287875493,42.4896148538728,81.3030959711313,1833.18285923464,1706,1579.02263584953,1608,1783,1295,1621.5,78.8748279613708
"2022/2023",2023,120,120,100,32.5085257580058,218.789070043646,49.2434016259324,37.2747066741017,74.9834454478364,1492.71849372824,1182,999.559193364214,982.5,1415,1042,1045.5,65.1886161356404
"2023/2024",2024,120,120,100,41.0010244706169,299.609443975113,53.2943411153921,49.2566318522857,83.682680540293,1681.90205659642,1398,1205.037341801,1327,1520.5,1278,1286,73.6741492347121
"2024/2025",2025,121,121,100,36.2170106569293,256.402432694027,47.6681079805014,38.4586655037959,75.2733593359807,1581.02304780365,1244.5,1073.68114470976,1013.5,1542.5,1069,1142.5,69.5216601311124
"2025/2026",2026,120,120,100,34.8996738725807,245.330198911238,51.0089196573522,42.9863219917014,79.1603609846787,1409.5540482217,1066.5,872.495043838077,1005.5,1223.5,1015,900,62.3443575981132
"2026/2027",2027,120,120,100,47.5947068121849,265.287505909699,59.3623442324885,57.8082588818556,85.6967530324857,1672.06625018862,1276,1078.54701835058,1187,1450.5,1292,1167.5,72.470244170453
"2027/2028",2028,120,120,100,27.3995308118045,200.488281632108,46.1796936321821,31.0356573484654,71.8774878275444,1414.51949938505,1093.5,909.67359427108,865,1356,941,928.5,61.0453252325856
"2028/2029",2029,121,121,100,47.2294950263774,315.085621242977,56.3736776486912,53.3822440902473,87.4809286128833,1847.65646360098,1673,1478.06580418091,1673.5,1677,1392,1568.5,77.3958231491724
"2029/2030",2030,120,120,100,42.2764714503939,239.765112012986,52.6842121611574,49.2000970035809,79.6864619788681,1545.26237686533,1196,969.451641271793,1086.5,1388.5,1164,1038.5,62.5668427637966
"2030/2031",2031,120,120,100,40.9267376444994,250.171477949538,58.7742704255036,52.4768406012823,85.2074239397534,1431.74380405227,1019,808.73743515907,979.5,1179,1110,874.5,64.2752554755134
"2031/2032",2032,120,120,100,47.8938814703517,274.901880526063,56.2787336836446,55.3049754228123,85.2671914644521,1639.22824302987,1367,1179.21917155727,1352,1455,1251,1244.5,69.5219767180338
"2032/2033",2033,121,121,100,29.0778570431252,230.519641186939,49.5241836936519,34.1681813588532,77.6458352278432,1561.88841421693,1329,1158.80013637309,1165,1471,1050,1178,69.7938123341519
"2033/2034",2034,120,120,100,38.3259447597389,274.117216291946,54.8219452022611,43.6673157222152,82.7542211087412,1647.94117354306,1473.5,1272.98161634398,1430,1515,1226,1342,72.4007284290292
"2034/2035",2035,120,120,100,36.5803381234742,218.860528454355,50.8593739393098,40.1077771892757,77.8260374871768,1643.819482131,1435,1282.18093259595,1286.5,1604.5,1141,1336,66.8802251880397
"2035/2036",2036,120,120,100,39.2933889327864,233.501693445741,50.6748602282441,44.5492019853037,77.3424049617413,1479.32321915672,1110,916.402692911084,979.5,1338,1050,969.5,63.4737682354566
"2036/2037",2037,121,121,100,38.0469545752752,266.347505948872,52.0219644514647,43.7547975678697,80.0726698781037,1635.94262720812,1330,1100.16523917721,1189,1482.5,1251,1185,70.6263582204656
"2037/2038",2038,120,120,100,31.2953690450983,210.605108710524,51.4707085767118,37.7485624501845,78.7184154524825,1614.94714958462,1429.5,1252.22334382632,1276.5,1559.5,1069,1310,70.9302254061668
"2038/2039",2039,120,120,100,42.5796805259719,278.018476161556,50.5804544154554,47.3176532546496,79.7503237192515,1645.59034463826,1364,1155.48003635125,1240,1519.5,1205,1235.5,66.8569455622528
"2039/2040",2040,120,120,100,37.3383816422423,291.834724304365,49.3507752312796,42.2240508600391,79.4840249996433,1626.96330700607,1369.5,1158.81405888322,1285,1487,1230,1204,68.9404567393985
"2040/2041",2041,121,121,100,40.4944194165228,284.744143654686,51.1447535987908,45.59310849795,80.5472861057747,1710.10131740042,1412.5,1237.93854237029,1252.5,1605,1260,1300,71.5146900929931
"2041/2042",2042,120,120,100,26.995487674068,199.687182969783,44.9980024365574,28.9150653303491,71.4987573276511,1442.86971012017,1202.5,1043.41517502356,997,1451,895,1075,60.4500010797037
"2042/2043",2043,120,120,100,31.9172896294213,256.92429674275,47.8043409616169,35.912993734663,77.3948257399525,1577.6338563054,1358,1180.89987306128,1208,1521,1069,1235,65.5167829376087
"2043/2044",2044,120,120,100,41.3101482127275,244.655503901916,53.6328094600307,49.1059926671214,81.990466560592,1547.19910637656,1242,1045.73894881562,1225.5,1358.5,1127,1083,68.0421462931126
"2044/2045",2045,121,121,100,34.8548228366302,255.775133884282,47.85785762919,36.5838965255804,77.2805660498202,1663.66838410203,1474,1276.19631829037,1353,1621,1156,1347,68.9826855022343
"2045/2046",2046,120,120,100,42.9349657373111,282.300689473819,55.7798779245772,48.6163361246505,85.6227182732612,1842.96304557755,1684,1512.43124877324,1632,1732,1340,1600,78.4932227580862
"2046/2047",2047,120,120,100,34.0015403480974,212.50796093675,50.9375798887464,39.3334060839129,78.1986855510927,1581.01770377126,1358.5,1211.12496392525,1238.5,1496.5,1056,1223.5,66.7064259118015
"2047/2048",2048,120,120,100,36.4001378051861,236.192870848204,50.1212997204295,40.3475798407651,76.4385744822668,1592.37682665768,1308.5,1089.06743513103,1115.5,1520.5,1135,1171.5,67.077989118929
"2048/2049",2049,121,121,100,33.4136736899262,254.608272631534,53.3864049484542,40.0367151255439,81.6849896565444,1601.72546033992,1405.5,1231.97404198124,1311,1508.5,1114,1283,70.7395176312698
"2049/2050",2050,120,120,100,41.8963478793008,272.645948710227,52.9153140240139,47.3579191729194,81.8543900972506,1719.39905931219,1471,1289.43239700771,1394.5,1581,1279,1356.5,71.6493168984907
"2050/2051",2051,120,120,100,38.9637134362051,251.376689922885,54.4234436650512,44.4094144749755,82.8331413999229,1699.85383518848,1573.5,1382.55305316861,1523.5,1617,1224,1459.5,72.4108895988184
"2051/2052",2052,120,120,100,38.130326695782,230.924605150424,53.0541577522347,46.8831332818038,79.6663587728392,1454.45992964151,1096,888.607273059577,936.5,1302.5,1054,948,64.3088932390774
"2052/2053",2053,121,121,100,32.1329245171208,261.412408077014,48.3629521972002,34.786019617123,74.5472346328869,1507.16888709493,1195,975.334332412313,958.5,1433.5,1079,1042.5,65.8784173131062
"2053/2054",2054,120,120,100,40.6448630636524,285.2679635595,49.613807690969,45.4794943792115,78.0459454191349,1604.00614758267,1249,1043.05307456217,1089.5,1474.5,1206,1118,66.9128630926198
"2054/2055",2055,120,120,100,37.4700253275457,277.459577682833,48.6015456278421,40.8392007034246,78.5818185988844,1639.2128447244,1417,1243.09508280439,1311.5,1551,1168,1293.5,69.3780654998209
"2055/2056",2056,120,120,100,43.2671245919573,274.557351072542,49.9636872584371,44.5875213798278,79.5279411432026,1752.49265722847,1557,1393.43189895351,1448.5,1694.5,1235,1471.5,71.0319422753346
"2056/2057",2057,121,121,100,30.1738733671859,204.172430086167,49.3874856947639,34.6193323247371,74.6876437250346,1439.43038601993,1121.5,946.645908578241,899,1364.5,959,976.5,66.3844601985093
