"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.0161702244695,260.105273590273,51.90465144602,39.4861882137523,81.22831253268,1576.41547315809,1402,1267.78318249368,1316.5,1479,1035,1292.5,72.7610928783682
"2002/2003",2003,120,120,100,40.6213989176051,259.357622230257,52.3874106222817,47.5619421866184,81.1547313018907,1546.2172650036,1227,1034.06562614985,1135.5,1385.5,1117,1096.5,64.9489753828371
"2003/2004",2004,120,120,100,39.7149329783985,267.782500465946,58.6518866092492,47.8513611940993,85.1720776909541,1493.9847595364,1240,1054.88958067174,1223,1293.5,1102,1115.5,69.0759955379355
"2004/2005",2005,121,121,100,42.1885268271338,281.670734454323,56.963913824492,51.7396278038396,87.2576229206768,1690.44179860924,1470.5,1297.47357820569,1441,1526.5,1246,1357.5,76.7362251752676
"2005/2006",2006,120,120,100,41.2761886275767,295.863877271234,52.1803197561201,49.6324882294807,84.6354223833902,1622.93789929356,1382,1224.8481965911,1361.5,1468.5,1166,1272.5,73.1163352315414
"2006/2007",2007,120,120,100,41.0914389239702,268.821983350903,60.2682128403203,53.3479433785684,88.2745604344953,1547.05010611411,1217.5,1003.24898558028,1220.5,1303,1189,1089.5,69.5486405470452
"2007/2008",2008,120,120,100,44.2561551935479,292.615458692087,50.7944688718385,46.9390292482577,80.8282339066885,1744.37890126707,1566.5,1378.69459317022,1466,1657.5,1277,1449.5,72.5234374883689
"2008/2009",2009,121,121,100,47.0993049644302,297.286438069387,61.394553647212,57.995742390179,91.6785299319474,1745.45944961375,1485.5,1314.05591250061,1495,1524,1344,1396,77.6281110804287
"2009/2010",2010,120,120,100,39.9670043602784,299.460658505613,51.0489690763691,43.314719927997,82.6090402965624,1766.0754880038,1640.5,1478.1166948543,1580,1676.5,1247,1532,76.5403733633666
"2010/2011",2011,120,120,100,36.8632892892367,263.214724939424,51.5218623669548,44.553400834004,81.5713529068307,1511.40103418365,1231.5,1064.92918983807,1178,1349.5,1036,1103.5,70.364384034446
"2011/2012",2012,120,120,100,38.3812821065767,274.764050281082,51.623862722288,42.8596770462266,80.7082245949472,1666.43568973518,1444,1285.10545033597,1318.5,1579.5,1157,1363.5,73.3437370683233
"2012/2013",2013,121,121,100,36.5850792330961,240.853529531048,58.5660189039835,47.7233776479688,86.470186607239,1547.07323312579,1263,1115.39093719166,1257,1366.5,1104,1154,71.7558201981926
"2013/2014",2014,120,120,100,37.1769800800319,239.775715771215,53.6269322643919,44.3969406177422,81.0320762477091,1526.85009145861,1216,1054.51007324886,1119,1387,1089,1094.5,68.3047193543771
"2014/2015",2015,120,120,100,40.3712344821768,244.928062783141,57.2837613002529,50.3104776484521,86.2466609115878,1729.1691738967,1421.5,1288.59292392471,1410,1541,1244,1338.5,72.5342062211303
"2015/2016",2016,120,120,100,35.7627926912101,258.42814623184,52.7140404898854,44.7872282545925,81.4921078513094,1527.71867498427,1223,1036.18142457411,1131,1389,1119,1103.5,65.798459462899
"2016/2017",2017,121,121,100,45.3857970959169,288.983812818302,56.912977162605,55.4199750903955,88.4529990094004,1708.4229550345,1422.5,1259.28303173404,1438.5,1467.5,1261,1315.5,73.2127736849725
"2017/2018",2018,120,120,100,34.7798871582339,257.177776229945,52.7062700514976,41.2549040822471,81.3471930861316,1620.12067146009,1370.5,1206.84686546197,1287.5,1533,1145,1273,68.0319551277521
"2018/2019",2019,120,120,100,36.0940791250251,239.829288749277,49.262429756116,39.8437150118597,77.5031668514323,1639.30541270851,1420,1246.83301337769,1279.5,1584,1134,1290,66.8225765300058
"2019/2020",2020,120,120,100,44.0886786402674,277.922849416877,55.1313188562702,50.2414184892261,84.6531717765029,1598.14705818889,1377.5,1206.2772330223,1345,1431.5,1160,1250.5,70.349841043585
"2020/2021",2021,121,121,100,41.9066133399833,297.42697676274,54.7309099787126,49.9855723156689,84.9135983125204,1570.39633457428,1319,1104.78201313948,1258.5,1398,1184,1182.5,73.2511601339568
"2021/2022",2022,120,120,100,45.5723125386098,299.027082261408,54.2639530974246,50.0663438742994,85.1150630506783,1905.57072593071,1746.5,1611.44789289517,1722.5,1803,1402,1679,79.0779554345904
"2022/2023",2023,120,120,100,35.8653438453509,238.487040208371,51.3324394945723,41.5366021974354,78.4939821710006,1545.05418575948,1275,1083.09620089732,1133,1448.5,1104,1145.5,65.5323658802508
"2023/2024",2024,120,120,100,45.0614731964251,320.142683347482,55.5108577126621,54.4339192499096,87.0426403462605,1693.88906777155,1444.5,1227.15947691543,1404.5,1511.5,1296,1323,73.4183474541674
"2024/2025",2025,121,121,100,41.6976799715615,287.22837795278,49.5979616512629,44.4894353942027,79.0449267860436,1646.32400931726,1337,1148.23286556944,1170.5,1538.5,1175,1214.5,70.9055445533536
"2025/2026",2026,120,120,100,36.0412993733459,252.807010625378,53.0556368930416,46.2295206290235,82.5906127943143,1445.50119617462,1155.5,979.451048373157,1135.5,1257,1005,1002,64.9338596110592
"2026/2027",2027,120,120,100,49.1743405841358,272.860236246412,61.8221225275342,61.2609288863826,89.0774395213669,1653.94329196498,1272.5,1067.75440378513,1257.5,1405,1337,1165.5,72.9344237943233
"2027/2028",2028,120,120,100,29.9282598115574,229.668611994198,48.0212718428524,35.2987089698371,75.6541630945281,1496.01635944944,1230,1039.24524169376,1066.5,1426,1016,1089,66.508082050666
"2028/2029",2029,121,121,100,52.2214761325735,334.964967089457,58.8024301581039,59.9634423525835,91.0105913641094,1873.54492689799,1677,1484.41434744098,1718.5,1641.5,1423,1562,79.9187792152352
"2029/2030",2030,120,120,100,43.1066483699615,250.128075227593,54.8659746738288,52.1535753064833,82.9943939656846,1571.6659736093,1238.5,1035.44684382343,1196.5,1387.5,1186,1109.5,66.9831014215033
"2030/2031",2031,120,120,100,40.3295621934982,251.663918506141,61.1055779099418,55.0543741140318,88.0046589584894,1413.55279270749,1029.5,838.697576219332,1041.5,1151,1090,891.5,64.8964722922574
"2031/2032",2032,120,120,100,48.5080199939629,284.487657476126,58.6001064360509,59.0808792709155,88.7191724103291,1661.48105472021,1383,1221.50457114085,1412.5,1442.5,1256,1274,70.6199082975804
"2032/2033",2033,121,121,100,32.7854907790827,264.791885795099,51.5855467034613,38.9502243878522,81.1942227050023,1632.97359151255,1415,1253.38875398865,1330.5,1519.5,1160,1293,71.6293136134077
"2033/2034",2034,120,120,100,43.3309278284617,297.880329662246,57.1194117794123,49.6979009901319,86.2868180018671,1686.26682776005,1501,1318.5550710605,1495.5,1504,1273,1375,75.5582609546109
"2034/2035",2035,120,120,100,40.3823593498015,244.988349215155,53.0439063155967,44.8805968389963,81.4480593928408,1721.05314768157,1509,1351.2723806827,1413,1638.5,1224,1415,71.6154932656355
"2035/2036",2036,120,120,100,41.7573246055428,250.035448236244,52.7320725497116,48.020282618204,80.9771719978205,1517.81512821338,1190.5,1000.95174569184,1106.5,1347,1101,1056.5,65.5560774780392
"2036/2037",2037,121,121,100,42.318813311262,292.701800465319,54.1120624019836,48.8287631062079,83.7203055670545,1666.33585998174,1372.5,1157.21622841971,1319.5,1464.5,1301,1219.5,70.7072708308124
"2037/2038",2038,120,120,100,34.5973080134385,242.612728286215,53.6766729466212,41.806320197498,82.342772937712,1683.58100146809,1501.5,1335.31609776097,1415.5,1585.5,1197,1397.5,75.2121125024737
"2038/2039",2039,120,120,100,46.7981706505021,293.271552542633,52.6600258436765,52.8415479080615,83.5369329862772,1683.8206760757,1433,1215.08430301356,1377.5,1525,1245,1297,69.6491079107436
"2039/2040",2040,120,120,100,41.8671691044783,321.307574287733,51.3307491653707,47.2731468100651,83.2014060582254,1666.89363048803,1407,1213.52432152825,1387.5,1495.5,1254,1277,70.3948388761501
"2040/2041",2041,121,121,100,45.1248579322691,314.601306547097,53.2430880352895,51.3070029320842,84.2310171018325,1755.4566348619,1465.5,1271.74442429123,1389,1615.5,1338,1361.5,72.1216574523182
"2041/2042",2042,120,120,100,31.214242147203,233.321749909658,46.815304217528,33.4388456177391,75.359168559405,1551.89585623574,1328.5,1189.34154936767,1180.5,1514,996,1221,63.5298627135089
"2042/2043",2043,120,120,100,36.0696756375592,286.93857370714,49.8208008242212,40.9814507906557,81.0273910627328,1644.17473270149,1440.5,1256.60861851613,1342,1551,1175,1317.5,68.4942141012707
"2043/2044",2044,120,120,100,41.6416352469056,261.716539605838,55.8021900988724,52.0402237967239,85.5820164812194,1581.82698393195,1322.5,1132.8092602543,1339.5,1382,1153,1182,72.0382108686431
"2044/2045",2045,121,121,100,39.6035956986289,299.675027963336,49.8172888898906,42.3488832765901,81.1463881036009,1746.44966367816,1582,1370.37771082949,1501,1643.5,1271,1433,72.1195024628109
"2045/2046",2046,120,120,100,48.8110916463938,316.737526830833,58.0993835321381,55.2627700232038,89.1582655355779,1889.22689571993,1699.5,1520.57426595334,1721,1706.5,1439,1618,78.3938097786622
