"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.922223856926,291.832141528885,71.0925736612396,59.9908265262394,97.3994964293304,1634.72174044341,1404.5,1255.34693015292,1502.5,1380,1300,1340.5,78.2762124964475
"2002/2003",2003,120,120,100,32.3552343405158,228.033555229487,71.5764900266058,51.4859291326898,95.8265597619554,1428.34729766494,1140,1005.63365478408,1223,1156,1084,1064,71.1330180448685
"2003/2004",2004,120,120,100,38.9297884497925,210.749923271506,80.1052931082425,55.7558656999257,96.8114562738977,1365.41080614754,1096.5,1004.8683626603,1213.5,1097,1027,1042.5,71.1799898214064
"2004/2005",2005,121,121,100,40.9802722810196,253.858407752941,77.7718776670367,58.9884562395142,99.7728557847491,1492.56461086457,1190.5,1047.48866167592,1347,1152,1199,1118,76.1375473370873
"2005/2006",2006,120,120,100,42.2362617049105,267.842343585353,71.3645987543367,59.266246970672,99.1236184081265,1517.42255312904,1255,1118.30284951839,1385.5,1218.5,1203,1183.5,79.4747173801272
"2006/2007",2007,120,120,100,30.4613244443684,208.638771061334,82.3882474471421,47.7205901097632,96.753397402958,1215.31902455474,944.5,815.908672723966,1090.5,910.5,955,855.5,67.6347178430381
"2007/2008",2008,120,120,100,49.2602803785109,271.134210676647,69.3817041626042,70.6999907038736,100.06514043762,1687.20338501669,1346,1194.10882814941,1499,1323,1344,1259.5,77.6945627406935
"2008/2009",2009,121,121,100,38.177588211185,226.905929421035,83.6448825431707,60.1052323060162,102.572651052667,1385.43399152575,1068.5,899.607489656883,1264.5,1021.5,1181,983,72.4437300664505
"2009/2010",2010,120,120,100,52.8200774713943,314.626937719846,69.7879415242572,71.9746051272305,101.346612905282,1732.66598130158,1451,1291.60230972479,1598.5,1392.5,1411,1375,82.9553053082327
"2010/2011",2011,120,120,100,40.7846402809118,264.335384338029,70.1902715279254,56.4906652316488,96.7388117249457,1523.1084076517,1310,1167.66125210414,1397.5,1278.5,1187,1231,77.4060855710848
"2011/2012",2012,120,120,100,50.1063360499899,273.918217667823,70.6029673337099,67.3487106715978,98.1428116385966,1623.58470208194,1311,1165.89627607695,1441.5,1313.5,1283,1238.5,75.5083378472461
"2012/2013",2013,121,121,100,34.1350640008656,234.522080279385,80.0416236873901,49.3834516954713,97.3183162903556,1404.92716628134,1164,1007.36233209458,1290.5,1121,1145,1077,73.8198796163701
"2013/2014",2014,120,120,100,34.4176242681074,228.28695112493,73.2519325051346,51.4865213807734,95.0083367299044,1453.69896994045,1175,1020.65241459382,1270.5,1165,1135,1083,73.1768467690188
"2014/2015",2015,120,120,100,35.6788006193344,254.42142553734,78.2535661120548,52.0726670124741,98.0839641109846,1485.39441947939,1191.5,1013.6885035807,1362.5,1156,1233,1114.5,76.2340187590723
"2015/2016",2016,120,120,100,40.1666978060911,245.956950333425,72.0564574300239,54.5891059229858,95.0560544179536,1437.2719791281,1150.5,1010.17143236471,1255.5,1147,1116,1058,73.6778705845409
"2016/2017",2017,121,121,100,35.8848408450557,247.365026694933,77.8687399783288,54.392465481971,100.370810882991,1439.42284166233,1169,1017.61734955675,1303,1132.5,1139,1092.5,76.2087647771111
"2017/2018",2018,120,120,100,45.2434843821625,280.714589587956,71.9408841285269,60.7058959604774,96.9835142930006,1573.06165299717,1284.5,1115.48095599818,1429,1243.5,1254,1191.5,75.2404762182266
"2018/2019",2019,120,120,100,44.1300400236899,281.536714333527,67.3490677722025,59.2705928475111,95.8654095736897,1689.24058112149,1405.5,1242.14450594398,1541,1376.5,1323,1327,79.5005096933824
"2019/2020",2020,120,120,100,36.1694114202721,237.506010365589,75.3675724119954,57.8676655733394,98.9240942072606,1494.74379928898,1229.5,1092.31823057291,1348.5,1205,1182,1167,75.3610636177327
"2020/2021",2021,121,121,100,39.5118535857072,234.040722450264,74.8828495422866,58.6507523147232,98.2708657639152,1411.98279611731,1100,1001.52959250159,1222.5,1119,1068,1040.5,72.6338101049623
"2021/2022",2022,120,120,100,53.8029692841007,291.162073249211,74.0853306348667,74.7571517432517,102.86659223347,1735.41652573563,1380,1203.5819945974,1592,1321,1442,1298.5,76.8428283867875
"2022/2023",2023,120,120,100,40.3541087606982,257.040596190434,70.1760996501087,56.330018252229,94.5261477258852,1532.43634257427,1205.5,1069.50882230029,1328.5,1224.5,1189,1126.5,74.6369249085201
"2023/2024",2024,120,120,100,43.1391669489683,249.748302259659,75.9852518369375,62.963159841522,100.034243292885,1397.15212194172,1060.5,925.736065204721,1232,1037,1113,974,75.4587870857458
"2024/2025",2025,121,121,100,46.4752613848507,276.896509662662,67.7087810513585,66.5334718075498,98.0257473657095,1581.62994104376,1248.5,1066.14867536687,1356,1267.5,1284,1152,74.5984048068553
"2025/2026",2026,120,120,100,34.2131092287343,230.310877165211,72.5782848760484,48.6732581563079,95.4690653933033,1417.834271553,1196.5,1103.81888099093,1288.5,1196.5,1040,1151.5,76.343053119373
"2026/2027",2027,120,120,100,28.7685873373438,162.255514328146,84.2972461956646,50.8975351700966,98.1741669875854,1214.98139173384,855,703.848508693758,1021,857,995,758.5,66.6879017806527
"2027/2028",2028,120,120,100,43.6794878966955,272.81868107451,65.4626106065901,56.757407937757,93.505703906378,1619.60238913442,1351,1197.04171409072,1402,1356,1247,1254,73.2329185010562
"2028/2029",2029,121,121,100,44.1410917783417,250.58662328554,80.421827141947,68.2013035606843,104.961467203174,1503.47184496402,1187,1049.52882296147,1364.5,1137,1198,1132.5,77.1857278916505
"2029/2030",2030,120,120,100,26.3650395184702,205.44395629748,75.0980712798059,45.8991424826561,95.9164452309522,1363.5076799196,1092,947.018534339237,1193,1071.5,1046,997.5,71.9673004037095
"2030/2031",2031,120,120,100,22.3675985678575,168.587462668267,83.4318066728983,39.006816231338,94.5501242952424,1113.24365620827,837.5,732.715260175435,928,865.5,837,781.5,68.8863399092384
"2031/2032",2032,120,120,100,30.8947285577793,224.476701808808,80.0675584575644,51.6460960993932,99.8552620747363,1387.14955828633,1095.5,963.929407209092,1281.5,1060,1125,1036,74.2325757123863
"2032/2033",2033,121,121,100,50.2850740890643,296.65002519483,70.4791212787989,64.9848214340038,97.8355725484239,1641.56774794089,1348.5,1209.79892548217,1472,1330,1279,1277.5,80.3489718171331
"2033/2034",2034,120,120,100,44.7545439838652,252.789712589199,77.8802069277687,65.195087482498,100.820742605847,1529.85992017805,1228,1109.4912489656,1389.5,1184,1237,1157.5,78.0953139511539
"2034/2035",2035,120,120,100,40.088627295576,268.671327693194,72.5049069961836,59.7037959224384,98.2976714628435,1643.89551553753,1321.5,1157.27865527416,1478,1300.5,1327,1243,76.8490186579979
"2035/2036",2036,120,120,100,30.4507475963483,222.629796480921,72.11607702317,49.2675727137355,95.472816186112,1415.28806462693,1143.5,1007.54443444541,1242,1145,1073,1059,73.0922875037913
"2036/2037",2037,121,121,100,40.8216473339335,252.475757772462,73.8667355254516,59.6970406446975,98.638072690414,1460.66851964316,1125.5,992.137841933509,1280.5,1122.5,1146,1041.5,72.7143898273157
"2037/2038",2038,120,120,100,47.4148240271861,268.393157364906,73.3191366381988,62.1862511575406,97.6492906135421,1635.90877243476,1358.5,1187.39448815596,1477.5,1322,1317,1266.5,76.4406826250702
"2038/2039",2039,120,120,100,37.4940023512368,242.63984766048,71.9652406557147,58.5249027998284,99.4703025781746,1501.24288529156,1194,1047.7266128527,1339.5,1181.5,1159,1128.5,75.6947254706711
"2039/2040",2040,120,120,100,44.7886319618929,292.501932531526,70.0275554960569,64.7122601342083,99.9585135463835,1526.56557189567,1235.5,1094.34986869666,1370,1208,1200,1158.5,78.7121049173466
"2040/2041",2041,121,121,100,45.2968918384148,275.40695356045,72.7138704851523,66.2773709573346,100.271316533538,1520.06983368033,1160,984.33504937937,1327,1153.5,1237,1067,75.1702550865693
"2041/2042",2042,120,120,100,46.2254042975413,304.182535214651,63.8729512937439,61.4315258760326,95.5386875068939,1743.80300751231,1512.5,1347.22764002887,1620,1484.5,1362,1423.5,80.509467266862
"2042/2043",2043,120,120,100,45.6534120719936,313.252779090695,68.292191239749,61.5831658397988,97.7291432960859,1589.12376057601,1295.5,1147.56188171021,1439,1262,1235,1216,79.2516112894591
"2043/2044",2044,120,120,100,33.0578479695511,224.554505762164,76.070035804777,51.4110559760277,98.306645078373,1445.22582228589,1220,1089.82233561914,1330,1165,1114,1149.5,76.9437029252849
"2044/2045",2045,121,121,100,47.5176709211844,320.132386895678,68.0246839384808,67.6232120969214,100.524439416909,1704.56699362876,1449.5,1272.12096035898,1587,1359,1337,1344.5,82.9921306905799
"2045/2046",2046,120,120,100,46.5706993181719,279.78648853133,79.326202863303,67.8338011860329,103.391089577432,1547.09156270666,1234.5,1061.69489030633,1422,1146,1289,1141,76.7507136370959
"2046/2047",2047,120,120,100,40.1226557168391,273.57697943089,72.4265235068167,56.7429179791372,97.5799106652414,1637.9933906972,1388.5,1219.88697826823,1509.5,1346.5,1339,1312,75.638165299868
"2047/2048",2048,120,120,100,43.3589539180087,245.359087560414,71.1769578005251,62.7132235487451,97.2915016713272,1541.31746198593,1235,1078.31332595996,1364,1231,1202,1150,75.318284496313
"2048/2049",2049,121,121,100,45.989165080764,274.222645215961,76.1541588582053,63.9238226022272,99.7791347670618,1550.61594787675,1267.5,1132.16120961092,1415,1246.5,1258,1212.5,77.0290609896447
"2049/2050",2050,120,120,100,41.2054126647727,237.852724141826,75.1766559641623,63.347739819627,100.95061907799,1528.43680563502,1204.5,1057.29069577389,1365,1182.5,1238,1131,75.4198682642982
"2050/2051",2051,120,120,100,45.2924382936709,263.050761424772,77.5857978102751,65.4345179111045,101.272467442646,1605.90738181669,1310.5,1184.44390725472,1471,1266.5,1276,1263.5,81.4590150976874
"2051/2052",2052,120,120,100,29.3118726063749,203.727039664645,75.315564549766,46.6080433835834,95.2452064892388,1364.84266997404,1084.5,949.272737241408,1169,1101.5,1020,1006.5,71.486562651633
"2052/2053",2053,121,121,100,48.0061018048752,263.147135141163,68.7434725585523,66.4845564935441,96.375239129681,1526.34352019042,1181,1055.58383656667,1271.5,1223.5,1178,1100,72.7176973074183
"2053/2054",2054,120,120,100,41.3707701693235,244.2372289884,70.3901685539214,62.4601110338939,98.1734359039841,1448.69296122226,1091.5,948.518010157291,1236,1118.5,1161,1007,73.8822005273778
"2054/2055",2055,120,120,100,44.6525938475569,290.693487041869,69.1094940755075,65.2593520739547,99.924728178927,1618.83068806953,1311.5,1159.18267431394,1445.5,1271,1285,1230.5,81.145842092933
"2055/2056",2056,120,120,100,41.4886037852973,281.616852716146,71.1180991451819,66.1576427902271,101.794283813492,1653.81724916009,1317,1149.81417267094,1516.5,1276.5,1379,1236.5,80.1022807964
"2056/2057",2057,121,121,100,41.3652080859917,250.623684773514,70.3392709624384,55.4677335006926,93.449059355817,1545.04101800747,1234,1090.67462061509,1302.5,1263.5,1193,1145,74.0186933103732
"2057/2058",2058,120,120,100,45.8988090357625,240.930609253182,73.2666446885687,67.9359023686512,100.307683209829,1518.05845307282,1160,1008.29931345924,1325.5,1144,1227,1075.5,75.8618746331231
"2058/2059",2059,120,120,100,42.4119348556293,265.278548000218,72.8577368347937,60.8042791009443,99.5873929184363,1541.94285564809,1288.5,1127.60195941837,1393.5,1254,1233,1216.5,76.3046002684277
"2059/2060",2060,120,120,100,39.9795549399653,234.154795579058,78.8210988547302,58.029539098001,97.8744779822264,1449.22907405274,1173,1044.11128827314,1325,1118.5,1134,1094.5,75.7218445881281
"2060/2061",2061,121,121,100,25.7305325272407,206.184891421459,78.5222977882623,44.444770981757,96.2416230184786,1309.57065969598,1039.5,898.891695417857,1143.5,1037,1036,957,71.2339668094401
"2061/2062",2062,120,120,100,53.3309761908269,323.988862366815,65.878429365488,63.8336736158255,94.764673888145,1771.13888169892,1509.5,1347.46273353053,1609.5,1503,1427,1432.5,80.3420138276178
"2062/2063",2063,120,120,100,42.1162755410217,227.875133510637,78.1111941425618,63.1594228844433,100.074161245051,1457.45956872456,1152,1004.44939382923,1313.5,1101,1158,1063.5,75.4380599668557
