"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.2762124964475,4054.4388761656,873
"2002/2003",2003,120,120,100,71.1330180448685,5485.79760627318,1011
"2003/2004",2004,120,120,100,71.1799898214063,3963.04162043752,1169
"2004/2005",2005,121,121,100,76.1375473370873,3364.13571302453,1140
"2005/2006",2006,120,120,100,79.4747173801272,3878.11083825072,1005
"2006/2007",2007,120,120,100,67.634717843038,3999.55397128494,1330
"2007/2008",2008,120,120,100,77.6945627406938,4325.71750341926,829
"2008/2009",2009,121,121,100,72.4437300664505,2579.76062604645,1309
"2009/2010",2010,120,120,100,82.9553053082326,3273.20247023413,830
"2010/2011",2011,120,120,100,77.4060855710848,4713.05923054274,909
"2011/2012",2012,120,120,100,75.5083378472459,4571.36196763348,859
"2012/2013",2013,121,121,100,73.8198796163699,3951.59517430735,1139
"2013/2014",2014,120,120,100,73.1768467690188,5304.58191022289,962
"2014/2015",2015,120,120,100,76.2340187590726,3661.90343276679,1071
"2015/2016",2016,120,120,100,73.6778705845409,5381.21099476656,979
"2016/2017",2017,121,121,100,76.2087647771111,3395.62937307963,1183
"2017/2018",2018,120,120,100,75.2404762182266,4613.01392512722,906
"2018/2019",2019,120,120,100,79.5005096933824,5336.19655593392,699
"2019/2020",2020,120,120,100,75.3610636177327,3728.99077235628,1061
"2020/2021",2021,121,121,100,72.6338101049623,4503.31525262143,1128
"2021/2022",2022,120,120,100,76.8428283867875,2756.12493971922,912
"2022/2023",2023,120,120,100,74.6369249085196,5791.16034557461,840
"2023/2024",2024,120,120,100,75.4587870857458,3734.27040592744,1192
"2024/2025",2025,121,121,100,74.5984048068558,5971.04699333198,833
"2025/2026",2026,120,120,100,76.343053119373,4840.01140799536,1023
"2026/2027",2027,120,120,100,66.6879017806527,4290.89901253371,1351
"2027/2028",2028,120,120,100,73.2329185010567,6359.67887021671,679
"2028/2029",2029,121,121,100,77.1857278916509,2048.02446286101,1260
"2029/2030",2030,120,120,100,71.9673004037099,5128.38113612728,1090
"2030/2031",2031,120,120,100,68.8863399092388,4603.50677344622,1413
"2031/2032",2032,120,120,100,74.2325757123863,3120.07871621568,1235
"2032/2033",2033,121,121,100,80.3489718171331,4610.28668928519,825
"2033/2034",2034,120,120,100,78.0953139511544,2995.003861384,1083
"2034/2035",2035,120,120,100,76.8490186579984,4277.46554940753,877
"2035/2036",2036,120,120,100,73.0922875037913,5572.73739679391,993
"2036/2037",2037,121,121,100,72.7143898273157,4705.31997589394,1038
"2037/2038",2038,120,120,100,76.4406826250706,4138.76115761744,870
"2038/2039",2039,120,120,100,75.6947254706702,4366.72843342833,1016
"2039/2040",2040,120,120,100,78.7121049173466,4117.3568414948,1001
"2040/2041",2041,121,121,100,75.1702550865693,4574.64998646593,1025
"2041/2042",2042,120,120,100,80.509467266862,5573.45311657898,630
"2042/2043",2043,120,120,100,79.2516112894591,4517.74188230373,893
"2043/2044",2044,120,120,100,76.9437029252849,3795.75419924362,1076
"2044/2045",2045,121,121,100,82.9921306905799,4090.28224275121,808
"2045/2046",2046,120,120,100,76.7507136370969,2122.59661103226,1148
"2046/2047",2047,120,120,100,75.638165299868,4094.04220991209,860
"2047/2048",2048,120,120,100,75.318284496313,5171.87739751721,906
"2048/2049",2049,121,121,100,77.0290609896447,3567.50449941261,1038
"2049/2050",2050,120,120,100,75.4198682642991,3597.0582849076,1054
"2050/2051",2051,120,120,100,81.4590150976874,2625.93436311977,1048
"2051/2052",2052,120,120,100,71.486562651633,5224.10363999521,1099
"2052/2053",2053,121,121,100,72.7176973074183,6219.25286813872,857
"2053/2054",2054,120,120,100,73.8822005273787,5376.87887704466,990
"2054/2055",2055,120,120,100,81.145842092933,4097.78826986114,900
"2055/2056",2056,120,120,100,80.1022807963991,3653.124226443,903
"2056/2057",2057,121,121,100,74.0186933103732,6189.6093229847,838
