"Season","End_year","Season_days","Data_days","Interpolated_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"1973/1974",1974,120,120,0,100,76.6712423776464,2606.22557667032,1252
"1976/1977",1977,121,121,0,100,68.8208713318956,3002.69166926632,1282
"1977/1978",1978,120,120,0,100,78.0553333499936,4560.28224131331,934
"1978/1979",1979,120,120,0,100,74.6600270525823,6345.13951898273,708
"1979/1980",1980,120,120,0,100,70.3935926118515,4650.88514737471,1157
"1980/1981",1981,121,121,0,100,70.6726980500603,3854.13924966333,1281
"1981/1982",1982,120,120,0,100,79.2427457397803,2286.87908385973,1118
"1982/1983",1983,120,120,0,100,75.1330013867223,4659.37769419828,986
"1983/1984",1984,120,120,0,100,72.3145526556161,3060.98182882217,1301
"1984/1985",1985,121,121,0,100,72.986084327265,4593.31437731686,1080
"1985/1986",1986,120,120,0,100,71.1115297464582,2868.51761470339,1315
"1986/1987",1987,120,120,0,100,79.963469402714,3868.47073856951,849
"1987/1988",1988,120,120,0,100,73.7428194833212,4846.1458438416,978
"1988/1989",1989,121,121,0,100,81.7105912375084,4113.82086341246,725
"1989/1990",1990,120,120,0,100,77.4293438134928,5083.28860255377,688
"1990/1991",1991,120,120,0,100,74.0968603012095,6109.84644798283,790
"1991/1992",1992,120,120,0,100,79.1074902538476,4353.61995029217,772
"1992/1993",1993,121,121,0,100,79.3258476006354,4172.63088803017,886
"1993/1994",1994,120,120,0,100,74.5473454678777,5337.62196394429,915
"1994/1995",1995,120,120,0,100,72.0186945281257,5905.97528329538,856
"1995/1996",1996,120,120,0,100,77.1909606731742,3237.64957052702,1124
"1996/1997",1997,121,121,0,100,77.8644740721311,4534.51619935851,1022
"1997/1998",1998,120,120,0,100,78.1993838087801,6455.82983023138,612
"1999/2000",2000,120,120,0,100,75.8496579192647,4229.72378640063,946
"2000/2001",2001,121,121,0,100,79.6338354670452,4140.95225797314,952
"2001/2002",2002,120,120,0,100,80.3258861623967,4138.49459821079,739
"2002/2003",2003,120,120,0,100,79.5383170653508,3126.68499827618,910
"2003/2004",2004,120,120,0,100,72.1832438246938,5748.26013271138,866
"2004/2005",2005,121,121,0,100,73.5883077143199,5192.46454875264,956
"2005/2006",2006,120,120,0,100,73.6541258277266,4702.83264670568,1046
"2006/2007",2007,120,120,0,100,77.716921850461,6153.44753300166,548
"2007/2008",2008,120,120,0,100,79.3234056004953,4144.23390279151,779
"2008/2009",2009,121,121,0,100,76.9221935705432,6147.16360364016,694
"2009/2010",2010,120,120,0,100,73.0282635663825,6102.82921770914,899
"2010/2011",2011,120,120,0,100,71.0788522201301,3899.69607690256,1185
"2011/2012",2012,120,120,0,100,68.5910003294621,6656.88160712831,1031
"2012/2013",2013,121,121,0,100,74.9368166937529,3276.06221886212,1116
"2013/2014",2014,120,120,0,100,78.5837985665521,4659.17339947494,766
"2014/2015",2015,120,120,0,100,80.1003336885624,4326.15339679271,886
"2015/2016",2016,120,120,0,100,73.5057230800594,7027.3023542068,648
"2016/2017",2017,121,121,0,100,77.3674591763956,5035.87249578955,773
"2017/2018",2018,120,120,0,100,75.1613260013328,3297.50858959137,1091
"2018/2019",2019,120,120,0,100,77.9837870567426,4715.00843727216,796
