"Year","Month","Day","Hour","Temp","Warm_Hour"
2008,3,3,10,15.127,FALSE
2008,3,3,11,17.153,FALSE
2008,3,3,12,18.699,FALSE
2008,3,3,13,18.699,FALSE
2008,3,3,14,18.842,FALSE
2008,3,3,15,19.508,FALSE
2008,3,3,16,19.318,FALSE
2008,3,3,17,17.701,FALSE
2008,3,3,18,15.414,FALSE
2008,3,3,19,12.727,FALSE
2008,3,3,20,10.369,FALSE
2008,3,3,21,9.706,FALSE
2008,3,3,22,9.04,FALSE
2008,3,3,23,7.92,FALSE
2008,3,4,0,6.535,FALSE
2008,3,4,1,6.687,FALSE
2008,3,4,2,8.767,FALSE
2008,3,4,3,9.139,FALSE
2008,3,4,4,6.788,FALSE
2008,3,4,5,5.076,FALSE
2008,3,4,6,3.985,FALSE
2008,3,4,7,3.775,FALSE
2008,3,4,8,10.001,FALSE
2008,3,4,9,13.69,FALSE
2008,3,4,10,15.796,FALSE
2008,3,4,11,18.081,FALSE
2008,3,4,12,19.888,FALSE
2008,3,4,13,20.841,FALSE
2008,3,4,14,21.366,FALSE
2008,3,4,15,21.867,FALSE
2008,3,4,16,21.604,FALSE
2008,3,4,17,20.079,FALSE
2008,3,4,18,17.344,FALSE
2008,3,4,19,13.93,FALSE
2008,3,4,20,11.929,FALSE
2008,3,4,21,10.761,FALSE
2008,3,4,22,9.854,FALSE
2008,3,4,23,9.706,FALSE
2008,3,5,0,7.619,FALSE
2008,3,5,1,9.509,FALSE
2008,3,5,2,10.883,FALSE
2008,3,5,3,12.147,FALSE
2008,3,5,4,12.606,FALSE
2008,3,5,5,11.88,FALSE
2008,3,5,6,11.589,FALSE
2008,3,5,7,11.029,FALSE
2008,3,5,8,12.171,FALSE
2008,3,5,9,14.074,FALSE
2008,3,5,10,15.533,FALSE
2008,3,5,11,17.605,FALSE
2008,3,5,12,19.318,FALSE
2008,3,5,13,20.388,FALSE
2008,3,5,14,20.412,FALSE
2008,3,5,15,20.793,FALSE
2008,3,5,16,20.436,FALSE
2008,3,5,17,19.579,FALSE
2008,3,5,18,16.773,FALSE
2008,3,5,19,12.558,FALSE
2008,3,5,20,10.149,FALSE
2008,3,5,21,9.064,FALSE
2008,3,5,22,7.419,FALSE
2008,3,5,23,6.611,FALSE
2008,3,6,0,6.611,FALSE
2008,3,6,1,6.585,FALSE
2008,3,6,2,5.231,FALSE
2008,3,6,3,4.844,FALSE
2008,3,6,4,3.643,FALSE
2008,3,6,5,3.459,FALSE
2008,3,6,6,3.063,FALSE
2008,3,6,7,3.67,FALSE
2008,3,6,8,6.128,FALSE
2008,3,6,9,11.248,FALSE
2008,3,6,10,15.581,FALSE
2008,3,6,11,16.773,FALSE
2008,3,6,12,17.534,FALSE
2008,3,6,13,16.606,FALSE
2008,3,6,14,17.177,FALSE
2008,3,6,15,17.819,FALSE
2008,3,6,16,17.701,FALSE
2008,3,6,17,17.51,FALSE
2008,3,6,18,15.485,FALSE
2008,3,6,19,12.05,FALSE
2008,3,6,20,9.756,FALSE
2008,3,6,21,9.064,FALSE
2008,3,6,22,8.02,FALSE
2008,3,6,23,6.889,FALSE
2008,3,7,0,6.255,FALSE
2008,3,7,1,5.205,FALSE
2008,3,7,2,4.688,FALSE
2008,3,7,3,4.428,FALSE
2008,3,7,4,4.037,FALSE
2008,3,7,5,4.194,FALSE
2008,3,7,6,3.248,FALSE
2008,3,7,7,3.38,FALSE
2008,3,7,8,10.418,FALSE
2008,3,7,9,13.522,FALSE
2008,3,7,10,14.816,FALSE
2008,3,7,11,17.843,FALSE
2008,3,7,12,19.175,FALSE
2008,3,7,13,20.15,FALSE
2008,3,7,14,21.103,FALSE
2008,3,7,15,19.936,FALSE
2008,3,7,16,19.508,FALSE
2008,3,7,17,17.915,FALSE
2008,3,7,18,16.129,FALSE
2008,3,7,19,15.247,FALSE
2008,3,7,20,14.314,FALSE
2008,3,7,21,13.666,FALSE
2008,3,7,22,15.342,FALSE
2008,3,7,23,13.81,FALSE
2008,3,8,0,14.026,FALSE
2008,3,8,1,11.759,FALSE
2008,3,8,2,11.977,FALSE
2008,3,8,3,12.799,FALSE
2008,3,8,4,12.534,FALSE
2008,3,8,5,9.41,FALSE
2008,3,8,6,6.788,FALSE
2008,3,8,7,7.745,FALSE
2008,3,8,8,11.904,FALSE
2008,3,8,9,14.026,FALSE
2008,3,8,10,16.558,FALSE
2008,3,8,11,18.58,FALSE
2008,3,8,12,20.793,FALSE
2008,3,8,13,21.7,FALSE
2008,3,8,14,22.393,FALSE
2008,3,8,15,22.609,FALSE
2008,3,8,16,22.274,FALSE
