"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.5539628192918,302.936952549768,68.6871562691631,61.649808966376,96.9590918484365,1658.4963906785,1423,1283.28352354604,1516,1405,1295,1361.5,78.8510068044887
"2002/2003",2003,120,120,100,35.3155414319392,241.59237367112,69.3534477367329,53.485189381318,95.2801195735326,1450.96938042215,1151.5,1020.60327683109,1245.5,1176,1112,1071,70.7219805943644
"2003/2004",2004,120,120,100,41.170543171632,224.196132770841,77.6823132063349,57.5291629044815,96.5339768790675,1373.09935993448,1109,1015.0570770257,1222,1107,1022,1043.5,71.5082217187081
"2004/2005",2005,121,121,100,42.1434434649394,265.834982965496,75.4365920504079,60.2352177594209,99.4270940967559,1520.75798721653,1225.5,1076.06713434595,1367,1187.5,1224,1147.5,77.2823261206074
"2005/2006",2006,120,120,100,43.2736626309266,280.66856953456,69.029514713824,60.7941575910325,98.684994341513,1550.24857357066,1283.5,1144.92279195814,1413,1254,1229,1215.5,78.5337594972358
"2006/2007",2007,120,120,100,32.3836726428298,216.677066871396,79.7467940718847,50.1822479764901,96.9693525905247,1241.49424906419,956.5,823.269998719728,1101.5,926,993,864.5,68.1796411384082
"2007/2008",2008,120,120,100,53.6241479641293,288.880471064742,67.2012119958483,72.4885373910026,99.0715046797087,1722.2268728558,1383.5,1232.11595495721,1542.5,1378,1365,1308,78.1290276326462
"2008/2009",2009,121,121,100,40.3204914927176,241.924276676924,81.2962639085414,61.2589719831097,101.902103090086,1417.54310237114,1115,938.778170032279,1286.5,1068.5,1182,1023.5,74.3136365562528
"2009/2010",2010,120,120,100,55.362095692101,328.428828451155,67.5867655564966,72.2392719675535,100.291895863842,1760.37527800387,1478,1326.69485560307,1632.5,1426.5,1424,1406,81.021101512414
"2010/2011",2011,120,120,100,38.9206741543301,266.452447669725,68.2370574008018,55.002017553553,95.6887729828894,1507.06321555245,1310.5,1156.97594135579,1378,1274,1150,1213,75.8464393424367
"2011/2012",2012,120,120,100,52.1965631643499,287.002540748774,68.2677257306624,68.6403254852926,97.3160008038098,1653.69492422939,1343.5,1196.72506154815,1468,1351,1301,1266.5,75.4118801886548
"2012/2013",2013,121,121,100,35.0415114048445,245.267478064239,77.5021784727909,50.7103556210899,97.1678378953612,1432.96565432652,1192.5,1036.28163606716,1297,1161,1156,1109.5,75.4661986577098
"2013/2014",2014,120,120,100,36.7709228327459,239.263909272011,70.9774124440674,53.4312348746779,94.4387394293201,1487.79399507818,1215,1052.96413677086,1312,1219.5,1164,1129,73.6370659120366
"2014/2015",2015,120,120,100,37.5974500715828,265.412906531918,75.790973493945,54.5353741622366,98.1436425945709,1530.15249975448,1236,1046.44174562889,1390,1191,1277,1139,76.1754563087234
"2015/2016",2016,120,120,100,41.5777951397637,256.877297456525,69.7936381240703,55.8903581480035,94.6533829473316,1457.98649893447,1169,1025.74062018785,1265.5,1169,1127,1071.5,72.9554772681402
"2016/2017",2017,121,121,100,37.4392948285568,259.652326123591,75.308151935063,57.0877075107858,100.518259374163,1480.72996349831,1186.5,1049.49302922999,1339.5,1167.5,1161,1121.5,75.7357412658523
