"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"1973/1974",1974,120,120,100,35.9514942528736,251.200924845987,77.2762973974618,59.513162,102.754625,1433.85965468038,1150,990.04832886,1309,1077.5,1171,1062,76.7183841420951
"1974/1975",1975,120,120,100,42.6923563218391,250.826364353171,75.8979851337386,66.100937,101.3355,1604.62248554129,1246.5,1092.11157417418,1447.5,1215.5,1326,1180,77.7314060406228
"1975/1976",1976,120,120,100,30.3214778325123,211.676604177481,71.9939835563227,48.245162,94.2960833333334,1338.34136937693,1085.5,934.820596072769,1209.5,1064,1027,983.5,69.4274889585118
"1976/1977",1977,121,121,100,35.2368801313629,254.081973401147,84.8184861546413,50.316301,97.99525,1344.80753298706,1037.5,867.646658236695,1234,991,1176,947.5,68.8272633029921
"1977/1978",1978,120,120,100,41.8132183908046,261.174524947683,71.3749444423923,59.280467,98.1017083333334,1559.71432699182,1262,1096.51378119597,1397,1238,1254,1179.5,78.0430072497027
"1978/1979",1979,120,120,100,44.7519376026273,296.157037493461,63.7452194698404,58.485361,94.7500416666667,1560.90963461812,1330.5,1152.15286553925,1463,1259.5,1221,1201,74.6106437461639
"1979/1980",1980,120,120,100,38.0373234811166,234.628476847805,74.2610787479597,57.058894,97.7522083333333,1385.31022524473,1052.5,916.716219901442,1148.5,1082.5,1078,988,70.4413509521274
"1980/1981",1981,121,121,100,25.2209523809524,187.869434858238,82.750591825376,43.607715,98.4351666666667,1319.54221909094,1032,873.660825657231,1192,994,1053,942,70.6978247264635
"1981/1982",1982,120,120,100,43.0144663382594,278.334614381069,74.8326702814339,66.083586,103.858958333333,1552.32560891692,1241,1102.33029208042,1437,1177,1271,1176,79.1560748194809
"1982/1983",1983,120,120,100,38.9041215106732,249.473915191731,72.6581575405882,58.891225,98.3634166666667,1517.76419836875,1199.5,1036.14290793277,1347,1188,1211,1111.5,75.0925996353574
"1983/1984",1984,120,120,100,32.1637848932676,200.091967534239,81.7097227357415,49.234924,99.335875,1318.29925408962,1015.5,883.531436735684,1196.5,979,1075,941,72.3044301414388
