"Month","Tmin","Tmax","CP"
10,-20,-15,1.10846306964617e-13
10,-20,-14,6.51045209711365e-13
10,-20,-13,3.82089009829641e-12
10,-20,-12,2.23179937587228e-11
10,-20,-11,1.29391897339862e-10
10,-20,-10,7.43217933711217e-10
10,-20,-9,4.22363869170399e-09
10,-20,-8,2.3721723562018e-08
10,-20,-7,1.31559374793209e-07
10,-20,-6,7.2010629879914e-07
10,-20,-5,3.90216021153204e-06
10,-20,-4,2.07771165723677e-05
10,-20,-3,0.000108766024492059
10,-20,-2,0.00055974542960005
10,-20,-1,0.00282386896155701
10,-20,0,0.0137855188529888
10,-20,1,0.0615345606353838
10,-20,2,0.206081250025015
10,-20,3,0.391704966786162
10,-20,4,0.405362413164112
10,-20,5,0.452771748648311
10,-20,6,0.447911775956318
10,-20,7,0.47328326158627
10,-20,8,0.514531394066638
10,-20,9,0.465309023471103
10,-20,10,0.496445024452232
10,-20,11,0.51171442200393
10,-20,12,0.536688950718074
10,-20,13,0.499441441978001
10,-20,14,0.458924720705666
10,-20,15,0.416537970610076
10,-20,16,0.437655634253651
10,-20,17,0.456274073443977
10,-20,18,0.481847417100165
10,-20,19,0.48265472759103
10,-20,20,0.342008470936783
10,-20,21,0.325769130288299
10,-20,22,0
10,-20,23,0
10,-20,24,0
10,-20,25,0
10,-20,26,0
10,-20,27,0
10,-20,28,0
10,-20,29,0
10,-20,30,0
10,-19,-15,1.27881103744243e-13
10,-19,-14,7.32623928067841e-13
10,-19,-13,4.23132437929082e-12
10,-19,-12,2.44303459983323e-11
10,-19,-11,1.40371216134912e-10
10,-19,-10,8.00424152493445e-10
10,-19,-9,4.52099863775341e-09
10,-19,-8,2.52608309176834e-08
10,-19,-7,1.39508706540949e-07
10,-19,-6,7.63426093744324e-07
10,-19,-5,4.11033951964606e-06
10,-19,-4,2.17827703831291e-05
10,-19,-3,0.000113635033673719
10,-19,-2,0.000583070033194626
10,-19,-1,0.00293330453125123
10,-19,0,0.0142791026035247
10,-19,1,0.063517182669594
10,-19,2,0.211712224757382
10,-19,3,0.400834057370614
10,-19,4,0.416700029006425
10,-19,5,0.463709486417525
10,-19,6,0.466544995851939
10,-19,7,0.487431094655929
10,-19,8,0.516185219166902
10,-19,9,0.476385777000478
10,-19,10,0.501223400072218
10,-19,11,0.527931326604757
10,-19,12,0.54765821198256
10,-19,13,0.490308511228778
10,-19,14,0.42689006456927
10,-19,15,0.432799369461697
10,-19,16,0.448723252604376
10,-19,17,0.484896761297701
10,-19,18,0.49725176601688
10,-19,19,0.491789693796722
10,-19,20,0.346012274831295
10,-19,21,0.328892337971223
10,-19,22,0
10,-19,23,0
10,-19,24,0
10,-19,25,0
10,-19,26,0
10,-19,27,0
10,-19,28,0
10,-19,29,0
10,-19,30,0
10,-18,-15,1.53802878802254e-13
10,-18,-14,8.43591577316499e-13
10,-18,-13,4.75384268756581e-12
10,-18,-12,2.70089620734169e-11
10,-18,-11,1.53387679060681e-10
10,-18,-10,8.6677190958606e-10
10,-18,-9,4.85997231303238e-09
10,-18,-8,2.70041275774435e-08
10,-18,-7,1.48512913879844e-07
10,-18,-6,8.08833468125859e-07
