"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"47135099999","1995-01-01","36.2166666","127.9833333","245.0","CHUPUNGNYEONG, KS","  27.0"," 8","  12.8"," 8","1032.4"," 8","001.0"," 8"," 13.2"," 8","  7.7"," 8"," 15.0","999.9","  35.8"," ","  18.5","*"," 0.00","I","999.9","000000"
"47135099999","1995-01-02","36.2166666","127.9833333","245.0","CHUPUNGNYEONG, KS","  31.5"," 8","  18.8"," 8","1028.4"," 8","997.3"," 8"," 10.7"," 8","  3.1"," 8","  8.9","999.9","  41.2"," ","  16.2"," "," 0.00","I","999.9","000000"
"47135099999","1995-01-03","36.2166666","127.9833333","245.0","CHUPUNGNYEONG, KS","  33.3"," 8","  29.6"," 8","1019.1"," 8","988.4"," 8","  7.5"," 8","  3.0"," 8","  7.0","999.9","  37.2"," ","  28.8"," "," 0.08","G","999.9","001000"
"47135099999","1995-01-04","36.2166666","127.9833333","245.0","CHUPUNGNYEONG, KS","  30.3"," 8","  22.9"," 8","1015.4"," 8","984.7"," 8","  6.7"," 8","  8.1"," 8","  8.9","999.9","  35.1"," ","  27.3","*"," 0.04","G","999.9","001000"
"47135099999","1995-01-05","36.2166666","127.9833333","245.0","CHUPUNGNYEONG, KS","  27.0"," 8","  16.8"," 8","1017.0"," 8","986.1"," 8"," 11.4"," 8","  9.8"," 8"," 13.0","999.9","  33.6"," ","  21.0","*"," 0.08","G","999.9","001000"
"47135099999","1995-01-06","36.2166666","127.9833333","245.0","CHUPUNGNYEONG, KS","  31.3"," 8","  17.6"," 8","1022.7"," 8","991.8"," 8"," 12.9"," 8","  9.9"," 8"," 14.0","999.9","  38.1","*","  20.1"," "," 0.00","E","999.9","000000"
"47135099999","1995-01-07","36.2166666","127.9833333","245.0","CHUPUNGNYEONG, KS","  38.2"," 8","  31.9"," 8","1022.7"," 8","992.2"," 8","  9.2"," 8","  4.2"," 8"," 11.1","999.9","  49.3"," ","  26.8","*"," 0.00","I","999.9","000000"
"47135099999","1995-01-08","36.2166666","127.9833333","245.0","CHUPUNGNYEONG, KS","  41.9"," 8","  31.8"," 8","1017.3"," 8","987.3"," 8","  8.9"," 8","  4.6"," 8","  9.9","999.9","  54.0"," ","  25.2"," "," 0.00","I","999.9","000000"
"47135099999","1995-01-09","36.2166666","127.9833333","245.0","CHUPUNGNYEONG, KS","  31.3"," 8","  16.1"," 8","1020.0"," 8","989.2"," 8"," 10.6"," 8"," 12.9"," 8"," 19.0","999.9","  43.9"," ","  19.8","*"," 0.00","G","999.9","001000"
"47135099999","1995-01-10","36.2166666","127.9833333","245.0","CHUPUNGNYEONG, KS","  24.0"," 8","   7.9"," 8","1024.1"," 8","993.4"," 8"," 13.0"," 8","  7.5"," 8","  9.9","999.9","  32.2"," ","  17.8","*"," 0.00","G","999.9","000000"
"47135099999","1995-01-11","36.2166666","127.9833333","245.0","CHUPUNGNYEONG, KS","  25.7"," 8","  12.8"," 8","1023.9"," 8","992.6"," 8"," 13.2"," 8","  8.7"," 8"," 13.0","999.9","  31.8"," ","  16.9"," ","99.99"," ","999.9","001000"
