"location","Month","Tmax","Tmin","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
"Kiel",1,2.26438854282536,2.21720778642937,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",2,2.52598976640712,2.14379466073415,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",3,1.36093959955506,1.03522747497219,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",4,1.33466707452725,1.31811457174639,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",5,1.87030789766407,1.61726640711902,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",6,1.94137897664071,1.77947363737486,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",7,2.45500511679644,2.15077252502781,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",8,2.2903531701891,2.07616206896552,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",9,2.86977563959955,2.45798420467186,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",10,2.27997975528365,2.29747119021135,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",11,1.88960812013348,1.8436828698554,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",12,2.67406473859844,2.52990333704116,"ssp126",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",1,2.95106273637375,2.76656907675195,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",2,2.95828008898776,2.58797530589544,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",3,2.1177234705228,1.6631468298109,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",4,2.06981546162403,1.80123715239155,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",5,2.46101112347052,2.19616963292547,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",6,2.43992736373749,2.19764137931034,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",7,2.58497931034482,2.40989187986652,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",8,2.60276284760845,2.31088464961068,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",9,3.31043047830923,2.90199710789766,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",10,2.67834427141268,2.38286473859844,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",11,2.7043468298109,2.56431190211346,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",12,2.53422280311457,2.47698398220245,"ssp126",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",1,2.35239176863181,2.43363036707453,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",2,2.19966395995551,1.98173982202447,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",3,2.52142669632925,2.10689199110122,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",4,1.90377675194661,1.752540378198,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",5,2.33268531701891,2.03667931034483,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",6,2.15750800889878,2.02200589543938,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",7,2.38904060066741,2.2011467185762,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",8,2.85046284760845,2.51834916573971,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",9,3.23489822024472,2.85911001112347,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",10,2.45198620689655,2.30162602892102,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",11,2.492840378198,2.34550867630701,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",12,3.0205808676307,2.99272269187987,"ssp245",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",1,2.73179499443826,2.72579165739711,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",2,2.73241879866518,2.51149466073415,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",3,2.56732024471635,2.11203070077864,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",4,2.52652836484983,2.36881134593993,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",5,2.79072725250278,2.33309866518354,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",6,3.54704026696329,3.21769944382647,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",7,4.04770511679644,3.60949510567297,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",8,4.09237897664071,3.66293303670745,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",9,4.24865305895439,3.80353581757508,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",10,3.550989432703,3.2754744160178,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",11,3.06049521690767,2.99613125695217,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",12,3.25303248053393,3.16457430478309,"ssp245",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",1,2.65109822024472,2.61963036707453,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",2,2.8746446051168,2.6654043381535,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",3,2.68440734149055,2.34942424916574,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",4,1.72748642936596,1.68501134593993,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",5,2.74071434927697,2.56933414905451,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",6,2.16519510567297,2.08434137931035,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",7,2.65775672969966,2.54359510567297,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",8,2.95471768631813,2.55508464961068,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",9,3.05662725250278,2.66958420467186,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",10,2.55870556173526,2.42150022246941,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",11,2.37948231368187,2.2022893214683,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",12,3.04780667408231,2.9682936596218,"ssp585",2035,2065,2050,2000,"relative","ACCESS-CM2"
"Kiel",1,4.83645628476084,4.79246262513904,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",2,4.67409621802002,4.31430111234705,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",3,4.76865250278087,4.31278553948832,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",4,3.69274771968854,3.76410166852058,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",5,5.05711112347052,4.48990189098999,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",6,6.09884994438265,5.45940266963293,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",7,6.12817931034483,5.47579187986652,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",8,6.24108220244716,5.47362013348165,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",9,6.9298530589544,5.91354226918799,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",10,6.2509700778643,5.86923248053393,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",11,5.11330166852058,5.05070545050056,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",12,5.30181635150167,5.2130872080089,"ssp585",2070,2100,2085,2000,"relative","ACCESS-CM2"
"Kiel",1,1.14589666295884,0.677448053392658,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",2,0.631290767519466,1.43974393770857,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",3,0.940689098998888,1.79284505005562,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",4,1.90514226918799,1.93416084538376,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",5,1.31405806451613,1.91794849833148,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",6,1.66226874304783,1.33559321468298,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",7,1.62775862068965,1.42582235817575,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",8,1.64103058954394,1.56624404894327,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",9,1.50304160177975,1.1842915461624,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",10,1.5938765294772,1.97778275862069,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",11,0.869355617352614,1.3650915461624,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",12,1.17631334816463,1.80539744160178,"ssp126",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",1,1.44651601779755,0.686773859844271,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",2,0.841516573971079,1.54167296996663,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",3,1.27053103448276,1.78203537263626,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",4,1.61839388209121,2.11328665183537,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",5,1.38364838709677,1.67610333704116,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",6,1.90808809788654,1.46126418242492,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",7,1.70616829810901,1.11436106785317,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",8,1.516459621802,1.62136017797553,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",9,1.47486740823137,1.2346786429366,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",10,1.25494427141268,2.19422469410456,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",11,1.00127174638487,1.31364961067853,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",12,1.49391657397108,2.13488453837597,"ssp126",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",1,1.17719021134594,1.06572869855395,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",2,1.02965850945495,1.9659213570634,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",3,1.30383103448276,2.54049021134594,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",4,2.11933259176863,2.06742858731924,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",5,2.06953225806452,2.6476936596218,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",6,1.82721713014461,2.04427063403782,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",7,2.07791668520578,1.38387074527252,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",8,1.96572736373749,1.96019888765295,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",9,1.86019644048943,1.79747219132369,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",10,1.72837007786429,2.90843437152392,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",11,1.25107819799777,1.62931735261402,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",12,1.44649399332592,2.25870711902113,"ssp245",2035,2065,2050,2000,"relative","AWI-CM-1-1-MR"
"Kiel",1,2.02223537263626,2.80519644048943,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",2,1.9385681868743,3.89473103448276,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",3,1.91960522803114,2.74264182424917,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",4,3.29961001112347,3.53210600667408,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",5,2.72427096774193,3.30130656284761,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",6,2.4687977753059,2.62759966629588,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",7,3.52972313681868,2.59215461624026,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",8,4.13297575083426,3.03607953281424,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
"Kiel",9,3.42860289210234,2.86559477196885,"ssp245",2070,2100,2085,2000,"relative","AWI-CM-1-1-MR"
