"Season","End_year","Season_days","Data_days","Interpolated_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"1973/1974",1974,120,120,0,100,82.1426744852426,959.479930197209,526
"1974/1975",1975,120,120,0,100,88.9551478040879,1613.99056719872,346
"1976/1977",1977,121,121,0,100,70.3098230200764,663.696147910523,1071
"1977/1978",1978,120,120,0,100,73.3394469993179,1385.46143961017,816
"1978/1979",1979,120,120,0,100,48.6378705116362,1429.80019599016,1710
"1979/1980",1980,120,120,0,100,68.8955687162802,800.532769262034,1046
"1980/1981",1981,121,121,0,100,64.72276737889,696.914511145151,1377
"1987/1988",1988,120,120,0,100,83.3241578380266,1086.39064502955,517
"1988/1989",1989,121,121,0,100,86.8303922202062,1093.46836477693,444
"1991/1992",1992,120,120,0,100,83.8813144110013,836.188897321699,592
"1992/1993",1993,121,121,0,100,76.8563679289573,1040.50869913737,727
"1994/1995",1995,120,120,0,100,83.7079923486208,1754.58200333244,634
"1995/1996",1996,120,120,0,100,54.1110557276052,387.598297864199,1926
"1996/1997",1997,121,121,0,100,69.6155743272138,1291.56365953572,1205
"1997/1998",1998,120,120,0,100,83.7845679671855,1514.42721879529,595
"1998/1999",1999,120,120,0,100,74.2063656195842,689.539938761853,1120
"1999/2000",2000,120,120,0,100,84.0112724996843,1259.30393616494,631
"2000/2001",2001,121,121,0,100,75.3004383757934,1830.74112244486,836
"2001/2002",2002,120,120,0,100,82.2298350213487,1851.91733695869,852
"2002/2003",2003,120,120,0,100,68.6119920744713,429.29151717131,1323
"2003/2004",2004,120,120,0,100,79.2041390675595,1507.87577085826,827
"2004/2005",2005,121,121,0,100,78.2347573382576,1160.48168828664,812
"2005/2006",2006,120,120,0,100,70.6360964408468,1487.58823822788,1188
"2006/2007",2007,120,120,0,100,91.5512708489086,3522.30136873736,251
"2007/2008",2008,120,120,0,100,86.3892972271933,1673.59247678053,390
"2008/2009",2009,121,121,0,100,77.7178766634051,1152.11555513227,817
"2009/2010",2010,120,120,0,100,55.3784637714343,1490.71590849757,1527
"2010/2011",2011,120,120,0,100,56.4468145595047,848.18980926089,1629
"2011/2012",2012,120,120,0,100,79.187271571348,1260.81631181389,666
"2012/2013",2013,121,121,0,100,68.1766815171322,983.267232326791,1199
"2016/2017",2017,121,121,0,100,80.5301863140548,1056.96339595737,748
"2017/2018",2018,120,120,0,100,75.9516149327201,1100.43502675509,678
"2018/2019",2019,120,120,0,100,85.5084650670879,1995.25159909506,478
