"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1423,1199,68.8719481376482,1086.50587740078
"2002/2003",2003,120,120,100,1495,1172,69.9420034659942,1031.96375609546
"2003/2004",2004,120,120,100,1722,1648,76.0403986835173,2326.78962077622
"2004/2005",2005,121,121,100,1586,1313,74.9158037926094,1181.76093923199
"2005/2006",2006,120,120,100,1349,1074.5,61.357325179329,837.718762255885
"2006/2007",2007,120,120,100,1605,1261,72.1942219635603,1247.86232572637
"2007/2008",2008,120,120,100,1851,1551,80.7057719532881,1570.78767163662
"2008/2009",2009,121,121,100,1449,1400.5,73.5344471867431,1715.99708922784
"2009/2010",2010,120,120,100,1327,1239,70.1906875406203,1509.68629041268
"2010/2011",2011,120,120,100,1124,992.5,63.4400422826745,1965.08992488316
"2011/2012",2012,120,120,100,1869,1476,77.9407104389677,743.765805461793
"2012/2013",2013,121,121,100,1603,1476.5,78.8660612782444,1779.00906439289
"2013/2014",2014,120,120,100,1704,1536.5,78.3920329357074,1925.8205805755
"2014/2015",2015,120,120,100,1950,1890.5,84.0745186704667,1676.04433525167
"2015/2016",2016,120,120,100,1726,1291.5,76.1319465528259,675.383620017092
"2016/2017",2017,121,121,100,1633,1330,70.7427571108169,1207.81262763205
"2017/2018",2018,120,120,100,1380,1206,71.0888073286123,1970.82471445913
"2018/2019",2019,120,120,100,1682,1505,79.581696068617,2364.16270410398
"2019/2020",2020,120,120,100,1525,1193,71.5989578605731,862.821794954827
"2020/2021",2021,121,121,100,1156,982.5,64.058259441535,1170.86772113026
"2021/2022",2022,120,120,100,1887,1874,84.9550500428572,1504.9098489621
"2022/2023",2023,120,120,100,1775,1292.5,78.2988431342314,972.543296896038
"2023/2024",2024,120,120,100,1432,947,65.3066529937573,462.161805051845
"2024/2025",2025,121,121,100,1590,1160,72.9690141534556,526.494653028087
"2025/2026",2026,120,120,100,1288,1173,67.0872082173728,2049.7790395664
"2026/2027",2027,120,120,100,1418,1673,78.4053138829122,4245.036444203
"2027/2028",2028,120,120,100,1679,1415,76.1547962885452,995.41008849116
"2028/2029",2029,121,121,100,1813,1543.5,77.5495623182915,1800.76960485079
"2029/2030",2030,120,120,100,1832,1485,79.8132933608913,1082.70376244327
"2030/2031",2031,120,120,100,1576,1275,68.3422795757651,1022.50299251452
"2031/2032",2032,120,120,100,1964,1645,77.0397613557525,816.893772322917
"2032/2033",2033,121,121,100,1723,1315,75.4442853198807,1371.19445532025
"2033/2034",2034,120,120,100,1755,1604,80.6407051309852,2003.73015297158
"2034/2035",2035,120,120,100,1941,1790,84.7251584972037,1741.5537308869
"2035/2036",2036,120,120,100,1872,1498,77.0023607980929,753.007077296264
"2036/2037",2037,121,121,100,1653,1294,74.363461831188,776.146234146552
"2037/2038",2038,120,120,100,2045,1820.5,86.2569639179646,1862.89430562779
"2038/2039",2039,120,120,100,1399,1183.5,69.571958562251,1275.25817319145
"2039/2040",2040,120,120,100,1476,887.5,62.5417982106401,165.824426198611
"2040/2041",2041,121,121,100,1795,1277,75.1027634135007,607.701606678311
"2041/2042",2042,120,120,100,1645,1207.5,77.5461636344971,1561.56932470063
"2042/2043",2043,120,120,100,1225,821,56.9996336441827,452.781263708137
"2043/2044",2044,120,120,100,1683,1362,78.4577131416781,3098.80080779269
"2044/2045",2045,121,121,100,1583,1103.5,74.0998056974086,752.99879936059
"2045/2046",2046,120,120,100,1968,1685.5,82.465678579656,1515.60263713216
"2046/2047",2047,120,120,100,2131,1768,84.1855612675072,965.994883364532
"2047/2048",2048,120,120,100,1785,1563.5,82.6914144963157,1474.31648110715
"2048/2049",2049,121,121,100,1904,1331.5,77.7381488779683,1044.80827409565
"2049/2050",2050,120,120,100,2101,1751.5,82.5640011211235,1198.79691070085
"2050/2051",2051,120,120,100,2038,1950,87.2637253798621,1720.27029496781
"2051/2052",2052,120,120,100,1728,1422,76.1716546183834,1069.42782638548
"2052/2053",2053,121,121,100,1514,1125,74.4991140594339,974.876694268081
"2053/2054",2054,120,120,100,1201,970,63.8802518231623,1676.54749393882
