"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Model","Chill_portions","GDH","Data_source"
"1998/1999",1999,120,120,100,2002,1571,76.2909083320265,451.953028664742,"observed"
"1999/2000",2000,120,120,100,2333,2161,88.3722799757962,1385.5850328842,"observed"
"2000/2001",2001,121,121,100,1676,1881.5,84.6347088315872,2394.72152560654,"observed"
"2001/2002",2002,120,120,100,2214,2016,86.7860163310708,1505.87172448532,"observed"
"2002/2003",2003,120,120,100,1757,1350,64.9291067650819,424.839735705487,"observed"
"2003/2004",2004,120,120,100,1974,1859.5,83.2788295439909,1443.30046668454,"observed"
"2004/2005",2005,121,121,100,2110,1886,84.0837852698093,1396.01002816799,"observed"
"2001/2002",2002,120,120,100,1788,1496.5,75.7418883030396,1160.35384149364,"simulated"
"2002/2003",2003,120,120,100,2075,1579.5,77.474804732661,800.269412894764,"simulated"
"2003/2004",2004,120,120,100,1828,1982,83.6885356210736,2282.55907606333,"simulated"
"2004/2005",2005,121,121,100,2024,1861.5,83.8728786159889,1438.85216208191,"simulated"
"2005/2006",2006,120,120,100,1687,1491,72.7982033261571,1203.4710071169,"simulated"
"2006/2007",2007,120,120,100,2061,1924,84.5757287572267,1529.06643892618,"simulated"
"2007/2008",2008,120,120,100,2286,2026,87.2320766732347,1280.40861645165,"simulated"
"2008/2009",2009,121,121,100,1893,1976,85.9225645686624,2056.55475204006,"simulated"
"2009/2010",2010,120,120,100,1548,1482,75.6993135301541,1892.12596047893,"simulated"
"2010/2011",2011,120,120,100,1649,1413,76.6755699913181,1852.14912450758,"simulated"
"2011/2012",2012,120,120,100,2025,1808,82.4084879223189,1099.13483164341,"simulated"
"2012/2013",2013,121,121,100,1930,1766,81.387837626577,1982.67950205343,"simulated"
"2013/2014",2014,120,120,100,2152,1965,83.7678218263757,1511.62090192494,"simulated"
"2014/2015",2015,120,120,100,2265,2284.5,89.2503723017202,1419.96208272541,"simulated"
"2015/2016",2016,120,120,100,2110,1653.5,81.5316147236565,819.109052220463,"simulated"
"2016/2017",2017,121,121,100,2009,1856.5,81.4736818043603,1356.81574159782,"simulated"
"2017/2018",2018,120,120,100,1849,1639,78.9193728212186,1700.9060127608,"simulated"
"2018/2019",2019,120,120,100,2050,1826.5,85.0863521192389,1919.83891931807,"simulated"
"2019/2020",2020,120,120,100,2115,1781.5,80.4953587478895,900.913416891367,"simulated"
"2020/2021",2021,121,121,100,1783,1444,76.0765458857634,1161.902521658,"simulated"
"2021/2022",2022,120,120,100,2023,2115,86.9154870608832,1772.28427826869,"simulated"
"2022/2023",2023,120,120,100,2266,1816.5,83.1449314567446,877.578191602309,"simulated"
"2023/2024",2024,120,120,100,2141,1640.5,80.4296612308657,836.297701803545,"simulated"
"2024/2025",2025,121,121,100,2111,1662,79.7272990144931,569.454340819018,"simulated"
"2025/2026",2026,120,120,100,1787,1612,75.5923252341954,1476.48903330405,"simulated"
"2026/2027",2027,120,120,100,1897,2151.5,87.7072588750435,3042.98189430293,"simulated"
"2027/2028",2028,120,120,100,2117,1837,80.1902787715978,686.787122236981,"simulated"
"2028/2029",2029,121,121,100,1980,1960,85.4109285401035,2156.96905525577,"simulated"
"2029/2030",2030,120,120,100,2062,1946,84.4207085767681,1396.8403707861,"simulated"
"2030/2031",2031,120,120,100,2147,1995,80.8149995995745,977.264376879435,"simulated"
"2031/2032",2032,120,120,100,2152,2171.5,86.2536375401253,1340.70001702124,"simulated"
"2032/2033",2033,121,121,100,2142,1790.5,82.2707527737624,1161.39968187974,"simulated"
"2033/2034",2034,120,120,100,1959,1938,84.4547683647455,2048.94386865541,"simulated"
"2034/2035",2035,120,120,100,2138,2094.5,85.8917384593963,1668.40479990299,"simulated"
"2035/2036",2036,120,120,100,2354,1998,83.8940214166973,632.791757311843,"simulated"
"2036/2037",2037,121,121,100,2215,1780,82.4939914948187,917.092592003151,"simulated"
"2037/2038",2038,120,120,100,2135,2248.5,89.8305577362115,1746.61481559138,"simulated"
"2038/2039",2039,120,120,100,1828,1582,77.9946916939944,1198.58751282824,"simulated"
"2039/2040",2040,120,120,100,1953,1482,74.9931364772285,521.548938314205,"simulated"
"2040/2041",2041,121,121,100,2323,1935,82.1521846223503,572.200348686425,"simulated"
"2041/2042",2042,120,120,100,1842,1441.5,77.4411480329416,1684.23425649244,"simulated"
