"Season","End_year","Season_days","Data_days","Interpolated_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"1959/1960",1960,120,120,0,100,81.1662836310742,1615.65493059685,596
"1960/1961",1961,121,121,0,100,82.8414049127616,3454.31147820727,623
"1962/1963",1963,120,120,0,100,45.7912924321071,588.596562119375,1850
"1963/1964",1964,120,120,0,100,70.2471352577619,2448.16358123696,1094
"1964/1965",1965,121,121,0,100,76.5470032666005,1586.63700263103,876
"1965/1966",1966,120,120,0,100,78.6423812013534,2635.7869870867,701
"1966/1967",1967,120,120,0,100,83.324145302063,1742.44562400121,522
"1967/1968",1968,120,120,0,100,80.1002907885302,1116.96322100086,693
"1968/1969",1969,121,121,0,100,68.609409407383,1665.21663665154,1054
"1969/1970",1970,120,120,0,100,66.2736540836372,1504.91946223483,1379
"1970/1971",1971,120,120,0,100,78.7159204719346,1920.04481049534,672
"1971/1972",1972,120,120,0,100,81.6044045044978,1591.72445994883,540
"1973/1974",1974,120,120,0,100,83.77970910465,1764.80217162438,524
"1974/1975",1975,120,120,0,100,92.0394184383108,4155.91492542939,162
"1975/1976",1976,120,120,0,100,82.5139477830003,1945.26553015213,555
"1976/1977",1977,121,121,0,100,87.4875653044351,2304.71094120853,419
"1977/1978",1978,120,120,0,100,75.8856227954702,2228.05008089694,787
"1978/1979",1979,120,120,0,100,68.5030270043289,1615.86517309584,1342
"1979/1980",1980,120,120,0,100,80.9237413793344,2215.88478468894,541
"1980/1981",1981,121,121,0,100,73.3749224354519,2005.34989358066,1040
"1981/1982",1982,120,120,0,100,71.4805314122091,2002.89746775711,1105
"1982/1983",1983,120,120,0,100,80.8548751986368,2545.1340478668,589
"1983/1984",1984,120,120,0,100,78.8765203338417,2137.05258020549,674
"1984/1985",1985,121,121,0,100,72.5541282290314,1568.29181962437,975
"1985/1986",1986,120,120,0,100,61.6552128641497,1572.56828958052,1259
"1986/1987",1987,120,120,0,100,71.8031875002353,1916.80973825883,991
"1987/1988",1988,120,120,0,100,87.4906979438265,2386.06702499441,274
"1988/1989",1989,121,121,0,100,90.6212616739858,2188.35870394949,355
"1989/1990",1990,120,120,0,100,85.8630536100763,3726.6009353376,378
"1990/1991",1991,120,120,0,100,75.6281785617339,1649.81702131056,882
"1991/1992",1992,120,120,0,100,81.694017053288,1690.2523796449,632
"1992/1993",1993,121,121,0,100,83.1647917263326,2560.39987212839,621
"1993/1994",1994,120,120,0,100,81.2295610262036,1449.13726403029,640
"1994/1995",1995,120,120,0,100,85.7724846936089,4870.19373359764,303
"1995/1996",1996,120,120,0,100,66.8720765061917,1069.00828188309,1313
"1996/1997",1997,121,121,0,100,72.9161476866466,2328.2485886463,933
"1997/1998",1998,120,120,0,100,83.7710923431787,3603.49437018088,451
"1998/1999",1999,120,120,0,100,78.618841567064,1924.99642552529,653
"1999/2000",2000,120,120,0,100,87.783497744208,2182.07279609051,379
"2000/2001",2001,121,121,0,100,84.2924096965917,3452.37580206757,572
"2001/2002",2002,120,120,0,100,80.5210699091649,3109.53678456694,768
"2002/2003",2003,120,120,0,100,80.781985824462,2961.23900244944,810
"2003/2004",2004,120,120,0,100,82.8874400157329,3539.72522326652,618
"2004/2005",2005,121,121,0,100,80.1044545616178,1728.86083877226,941
"2005/2006",2006,120,120,0,100,76.405181486607,1921.9610261526,965
"2006/2007",2007,120,120,0,100,87.306617206581,5367.40700341435,263
"2007/2008",2008,120,120,0,100,87.0978531305827,2829.3255665442,494
"2008/2009",2009,121,121,0,100,76.2363915493752,1567.40217719832,958
"2009/2010",2010,120,120,0,100,70.7536442711953,2889.54953060998,1014
"2010/2011",2011,120,120,0,100,67.7781959414933,2737.3219213956,1067
"2011/2012",2012,120,120,0,100,80.9084015048193,2692.2171668238,543
"2012/2013",2013,121,121,0,100,75.9152858529033,2023.73980243457,882
"2013/2014",2014,120,120,0,100,88.8631317771251,2771.67623206507,186
"2014/2015",2015,120,120,0,100,83.0317533196921,2504.78868869739,405
"2015/2016",2016,120,120,0,100,83.3645363363376,6206.51487257425,280
"2016/2017",2017,121,121,0,100,82.2582912439229,2273.12637945684,688
"2017/2018",2018,120,120,0,100,83.4785879213432,2211.33851621859,449
"2018/2019",2019,120,120,0,100,83.5014669432476,4052.70362226572,402
