"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.0014258939913,173.695013383254,67.1783001371404,48.5978279090365,88.8434597416144,1889.79675444276,1788,1734.44420525375,1787,1792.5,1317,1773.5,82.9691978364704
"2002/2003",2003,120,120,100,39.7862883000843,159.59434312595,73.0222914407814,48.62546678608,89.0762030945426,1946.52657082248,1811.5,1768.27576654232,1795,1855,1389,1834.5,83.1820593664429
"2003/2004",2004,120,120,100,50.0284083558482,205.515174084322,74.8590737095175,63.8171389384027,97.88998452628,2018.12802982835,1768,1626.88375249971,1867.5,1763,1620,1756.5,86.1218423984934
"2004/2005",2005,121,121,100,56.4767983888685,232.148338293245,68.4845028866606,66.2253311930009,95.1987463491476,2229.13394374177,2066.5,1912.02180692309,2084.5,2077,1757,2061.5,88.9853674114119
"2005/2006",2006,120,120,100,49.3177105081547,210.224501682864,63.1946965320597,55.1093328558188,89.4931598287979,2100.44696258595,2006.5,1949.20006405214,1990,2013,1505,2001,87.9587013759046
"2006/2007",2007,120,120,100,48.5899251555518,213.956276551425,69.5530525114186,54.8526337594805,90.5864291698476,2005.0588797612,1879,1804.82811275637,1875,1906,1494,1884,83.4332840289785
"2007/2008",2008,120,120,100,51.8533779232975,198.352273125049,78.6413641261783,64.9603876068378,97.2580469969653,1954.76193695432,1721,1532.45146809099,1856,1671.5,1598,1664.5,81.2346461699507
"2008/2009",2009,121,121,100,47.7894368887454,230.376941006544,71.601638728867,57.5115556742131,94.9118191084325,2029.6565575431,1846.5,1742.4684414609,1894.5,1843.5,1579,1840.5,85.303177727752
"2009/2010",2010,120,120,100,47.1020200475297,190.511587255318,71.5117120854507,56.0809656787403,92.2848205551591,2067.95474450022,1904,1852.06517451692,1917,1941.5,1505,1937.5,86.2138759888751
"2010/2011",2011,120,120,100,57.9534555789225,223.348541180296,68.93012311001,66.5833093261603,94.0061340459566,2270.10796481921,2108.5,1965.77852490091,2127.5,2094.5,1808,2094.5,90.3996742268637
"2011/2012",2012,120,120,100,57.4730867452433,204.926155420727,71.625644427102,68.577008377963,96.0788544662662,2198.15070997003,2023,1845.53397773615,2087.5,1991.5,1810,1988,87.3828523139848
"2012/2013",2013,121,121,100,43.2654548868166,188.907893210438,72.9230555286899,57.3264329659715,95.4568820867797,1946.6421427215,1730,1657.75575188761,1785,1743.5,1411,1736,86.8091541545921
"2013/2014",2014,120,120,100,51.7292400351539,201.741577823459,76.2858744888092,65.0988713021273,96.7766877446853,2062.42766404918,1805,1657.82475425207,1916,1768.5,1718,1761,84.0652632604979
