"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.9764850913308,177.305268770672,68.9082890823835,50.7598647609454,90.1116753559563,1888.75752416707,1758.5,1709.11015024348,1771,1759.5,1337,1746,82.8934428964254
"2002/2003",2003,120,120,100,41.9617582075086,170.217998280329,74.791226015325,50.8660553963853,90.2768062854607,1956.17441058702,1825,1740.46311703514,1816.5,1839,1455,1822,83.432453071004
"2003/2004",2004,120,120,100,50.5927484361101,210.596193220152,76.598684677356,65.5700391454062,99.1175703516313,1997.7827590076,1733,1574.50702664792,1856,1706.5,1641,1700.5,85.0002848732952
"2004/2005",2005,121,121,100,56.5933909510004,233.778088335002,70.2488861208523,67.8652772795173,96.3086172430971,2204.12738682777,2021,1839.76824662698,2060.5,2008,1779,1992.5,87.9327263104789
"2005/2006",2006,120,120,100,51.5799725738286,215.194567041559,64.7834495362873,58.4397071363364,91.0236311415728,2122.08109638199,2000,1931.51269798537,2000,1996,1555,1987.5,89.3431076708428
"2006/2007",2007,120,120,100,50.4195687490781,220.234979714146,71.3428599416021,57.6274462782799,91.8681382736629,2017.8347333802,1874.5,1775.48114900581,1882.5,1899.5,1541,1881,84.6381554466906
"2007/2008",2008,120,120,100,51.6650344943236,195.015977844628,80.6370996494658,65.5237925818127,98.0359249296642,1907.51387400186,1653.5,1468.92110459992,1799,1605,1570,1601,80.4398262402323
"2008/2009",2009,121,121,100,49.6764254625572,233.689749669209,73.4650279267648,59.0173411992922,95.5927588699692,2006.85497393827,1817.5,1692.26508593422,1860.5,1813,1571,1810,83.0009740683133
"2009/2010",2010,120,120,100,49.8462361123159,199.609382531724,73.1915005137028,59.1932082210598,93.6012248682956,2093.51070085176,1911.5,1835.00810467593,1928,1938.5,1564,1937,86.1115114157064
"2010/2011",2011,120,120,100,59.2366861799164,233.093280089136,70.5792420450803,69.4835137907134,95.5950463580927,2283.97627592814,2094.5,1925.83076516462,2154,2081,1868,2081,88.5870041990711
"2011/2012",2012,120,120,100,57.3933068484632,206.709605737818,73.4752496190488,69.4471691393707,97.1603136571664,2173.21475223024,1984,1781.2679971221,2066.5,1943.5,1784,1940.5,85.9079694536326
"2012/2013",2013,121,121,100,44.0820057221722,190.935912359688,74.6768971059929,58.6935485389402,96.610677984549,1944.37958024017,1714,1613.3515227365,1776,1716,1442,1709.5,85.4964768519528
"2013/2014",2014,120,120,100,50.181451327926,201.063074881087,78.2901183027306,65.295885046954,97.6032936721813,2018.46651117983,1739,1597.49163864695,1878,1698.5,1681,1695,83.2332123070553
"2014/2015",2015,120,120,100,26.976326195416,113.430372384105,85.4135415105699,44.4923890981022,94.4878769950264,1352.1317032844,1078,943.163246270766,1217.5,1042,1012,989.5,67.5178054312203
"2015/2016",2016,120,120,100,52.1003687388574,191.496375867589,71.0508573725555,61.8864957426289,94.1140089696612,2099.52943368108,1909,1795.96531357881,1954.5,1942,1588,1933,86.7382470814791
"2016/2017",2017,121,121,100,41.769043287232,186.643946500798,73.0048505993369,54.626137937073,93.3034027101676,1809.40341913238,1616,1462.59047459932,1677.5,1576.5,1397,1535,80.5791999250214
"2017/2018",2018,120,120,100,39.7507367993468,166.889524365818,76.7442173604421,51.2453877757279,92.9432468567423,1742.70706720521,1549.5,1431.9441338509,1616,1519,1316,1491,76.5556659369004
"2018/2019",2019,120,120,100,44.1635370908117,159.328795318326,86.3982155545135,60.6108567679782,97.1893256814556,1797.53158533425,1552.5,1345.29680003331,1673.5,1477,1492,1455,76.2704188190505
"2019/2020",2020,120,120,100,42.1272335066823,192.851599051838,69.7915235466847,54.7008605049948,92.9691227910428,1925.25419629123,1731.5,1622.27209654713,1807.5,1694,1454,1679.5,83.9815300005034
"2020/2021",2021,121,121,100,46.5100541354393,205.533887641129,66.250217740024,55.990171238049,92.0207250986512,2059.54367995082,1915.5,1826.75334247882,1905,1935.5,1532,1903.5,85.9320806482528
"2021/2022",2022,120,120,100,41.6361873756631,174.671215578465,85.7038620963855,60.4260091732985,97.9147468604115,1711.99623040203,1449,1261.604137173,1624.5,1357.5,1451,1355.5,76.975702789734
"2022/2023",2023,120,120,100,47.9448655977914,169.546936305224,75.7023074299144,63.7495367788967,96.0021082117062,1866.51353586149,1635.5,1430.47162286043,1755.5,1555,1531,1527.5,78.3479653293043
"2023/2024",2024,120,120,100,50.370706590381,230.161947516854,65.5539110107609,58.7123405121896,92.0497718710625,2144.06184579307,1966.5,1887.61368972625,1995,1964.5,1630,1954,89.1051775783562
"2024/2025",2025,121,121,100,52.1127091090822,199.655664335266,69.7566079589401,62.988467482589,94.8195418826197,2167.38821980708,1934.5,1883.4004406497,2016.5,1972,1606,1971.5,90.4514923102429
"2025/2026",2026,120,120,100,47.6716726775131,195.806064107941,71.8427228661069,61.6574360350467,94.6948226890734,2072.54592435125,1870,1713.97736928292,1933.5,1844.5,1609,1833.5,85.7929704700614
"2026/2027",2027,120,120,100,42.4249685918002,185.212655689301,87.3421714188143,58.7486833822915,98.5135603671257,1676.12109121685,1371,1261.397102102,1533.5,1337,1376,1335.5,76.860677312131
"2027/2028",2028,120,120,100,46.7360128764336,154.211012517799,75.8240581271743,61.4600946086655,95.7948401298389,1988.87516586202,1776.5,1647.47981318282,1866,1750,1562,1738.5,83.8355003680631
"2028/2029",2029,121,121,100,58.8014877968653,251.961863611923,75.7009976772337,72.7628315512165,99.0202632844039,2051.56362490619,1820,1630.59744059922,1933.5,1763.5,1719,1762,86.1891217835987
"2029/2030",2030,120,120,100,52.1085969912621,204.96378855258,76.4266278269929,65.5708311656619,96.6736629177288,1968.17751599183,1745,1610.98311301089,1840.5,1714,1524,1711,83.1225096936946
