"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.4015837847428,160.381853279424,65.0304714791061,43.9885654877856,87.1326553800928,1817.01728558198,1733.5,1713.23978531954,1719.5,1737.5,1197,1709,83.72113603024
"2002/2003",2003,120,120,100,41.5757269923027,157.046362160249,70.0747780303865,48.3234958964358,88.1625366772992,1984.77206721965,1904.5,1856.5868420084,1847.5,1949.5,1413,1923.5,85.1222609197935
"2003/2004",2004,120,120,100,53.1908541031,209.640152944571,72.6130591650431,66.2025311318249,96.7988300249304,2064.49706218043,1785,1666.7921351187,1892.5,1797.5,1633,1782.5,87.4123823968343
"2004/2005",2005,121,121,100,53.5029895952472,213.966646445704,66.6784927750121,61.8703183116981,92.9473353716425,2172.85812872278,2036.5,1905.84022025293,2009,2035.5,1672,2009.5,88.0326963652967
"2005/2006",2006,120,120,100,45.7052641830739,195.351571809077,61.4173569658937,51.0461818024931,87.0619974079953,2007.87167352477,1947,1878.60643001011,1910.5,1944.5,1396,1927.5,86.0956785833736
"2006/2007",2007,120,120,100,45.4035791463133,197.481139823104,67.197140010126,51.2001880961073,89.3051661296003,2007.52203074945,1887.5,1852.98852164206,1865,1942.5,1432,1918.5,85.2918697494886
"2007/2008",2008,120,120,100,50.6907183221184,196.536110044789,76.1289524637264,62.9338696287392,95.6769985319503,2008.27313943921,1801,1657.14196430266,1901,1782,1596,1776,81.9365577486676
"2008/2009",2009,121,121,100,41.5999242699663,205.44421603408,69.7063381728219,51.0453628864038,92.7923405086082,1975.18006248514,1809.5,1762.83879239308,1820.5,1825,1434,1819.5,84.6243421896484
"2009/2010",2010,120,120,100,46.7097015875032,183.303095360429,68.944252988426,56.5147650845347,91.5623718119041,2084.42271270032,1917,1869.30712642867,1932,1949.5,1506,1940.5,87.0946421028134
"2010/2011",2011,120,120,100,54.73777997326,208.11406136481,66.9072500481596,61.6178390034682,91.5479630609437,2223.49938235677,2094.5,2007.13074461922,2092,2115,1693,2114.5,89.5037677759326
"2011/2012",2012,120,120,100,55.003090991904,197.670628202602,69.4029255374406,64.2913933820432,93.7268854078706,2181.9218522969,2033,1912.19087386014,2063,2028,1683,2022,86.7428884375565
"2012/2013",2013,121,121,100,47.985068356911,200.187459526147,70.1850707308424,59.8938286677948,94.819495844601,2054.27549870557,1842,1765.34426558889,1899.5,1861.5,1507,1846,88.9095127774958
"2013/2014",2014,120,120,100,52.628707654352,184.178446162897,74.0023716941323,63.9194991643829,94.995403497071,2083.57632148614,1888,1718.04702066043,1945,1851.5,1682,1831.5,84.3983320147775
"2014/2015",2015,120,120,100,32.5353147877313,136.966870472347,79.955000116412,51.8217400809144,95.6603022163659,1548.51996331791,1225,1076.85144902797,1430,1190,1250,1134,71.456620581524
"2015/2016",2016,120,120,100,49.28053864507,183.167191039981,67.0131112084147,57.5634037322879,91.4224684372179,2125.03724492902,1979.5,1914.62671603925,1970.5,2028.5,1548,2013,87.7572166649702
"2016/2017",2017,121,121,100,41.4861367429794,184.840008159281,68.8118665944883,52.9115332346541,90.9743991765749,1869.43224879264,1702.5,1573.50740745482,1734.5,1688,1390,1639,79.9288540251991
"2017/2018",2018,120,120,100,35.7759855023913,158.953465369366,72.5925790648081,48.0287102277897,90.8511927988593,1765.28332693324,1578.5,1516.39290273902,1632.5,1584.5,1264,1551.5,78.3695957682316
"2018/2019",2019,120,120,100,49.1429453495863,169.16353238152,81.1433114490657,61.6628381924314,95.4761199826189,1946.82782260954,1739.5,1571.64258103394,1823,1708.5,1597,1686.5,80.1701776673813
"2019/2020",2020,120,120,100,38.8127173085903,175.800468769637,66.0572497060535,48.9978690790161,89.6706583606951,1917.93354746725,1767,1691.12041762717,1793.5,1764.5,1355,1744,84.4064961600693
"2020/2021",2021,121,121,100,41.1845947068948,177.558343403257,62.821800963272,49.4803070076689,88.1616840301355,1974.77965788916,1845,1820.19024888885,1800,1901,1356,1847.5,84.4626518993723
"2021/2022",2022,120,120,100,48.9493844598274,184.871681171576,80.0355553680803,65.1903069765947,97.3442295419749,1856.05835507698,1627,1425.72782476761,1766,1544,1553,1540,80.655477671105
"2022/2023",2023,120,120,100,52.6820471207101,182.315504359996,71.1669830203047,62.6792471423366,93.0601850078794,1987.10851546159,1809.5,1653.50447407658,1859,1785.5,1569,1756.5,82.3596608691387
"2023/2024",2024,120,120,100,47.0222351178637,208.126935782324,61.7356131179547,51.7821395012115,88.5973158200145,2161.76223605048,2080.5,2016.27576749784,2019.5,2093.5,1529,2078,89.774246192103
"2024/2025",2025,121,121,100,49.8376344443697,185.298522121253,66.0719946055696,56.8272945050992,90.8725351745495,2117.86730813709,1958.5,1939.52583238362,1982,2012,1514,1997,89.1012038915678
"2025/2026",2026,120,120,100,42.1494806612204,170.954837612182,68.5947230171442,53.1960341070787,90.6833985893856,1973.62355268023,1820,1705.74976617054,1857.5,1828.5,1451,1797,83.2509721589399
"2026/2027",2027,120,120,100,37.3673473210225,168.237963205672,83.148887243126,54.8166593411316,96.7356952302011,1682.67599855308,1392,1325.1078725493,1543,1392,1264,1384.5,79.447451856558
"2027/2028",2028,120,120,100,44.7565744864006,141.646010783593,71.773467883641,57.3967841332243,92.7518671730614,1970.41032448865,1781,1721.20044533874,1851.5,1791,1477,1778.5,85.3767676345728
"2028/2029",2029,121,121,100,61.35821320365,258.214564767261,71.4519842256697,69.7105971713294,96.3303341340581,2161.33517057219,1978,1830.22693557131,2039.5,1963,1748,1962,87.8299419640202
"2029/2030",2030,120,120,100,54.8251873374236,209.029421348706,71.7830589050608,64.4411862609866,94.2618445949606,2056.74508164391,1857,1763.4911330433,1933.5,1830,1582,1825,85.29959731591
"2030/2031",2031,120,120,100,42.8207544310273,206.680491820383,64.0491418556971,50.2555089533085,89.1793699770731,1941.14461451021,1839,1785.57107554614,1841,1842,1355,1822,86.8055969315692
"2031/2032",2032,120,120,100,49.3217823510682,204.306637563567,71.7144422764398,59.3914307895271,93.1544933882598,1981.42153970541,1807.5,1641.10102305498,1827,1811.5,1485,1782,83.4990115030832
"2032/2033",2033,121,121,100,52.7080108330045,200.942484698815,70.9565656323531,59.7897442435321,93.085927750056,2107.48834729334,1942,1859.82869722725,1942.5,1959,1563,1933,85.9778045214262
"2033/2034",2034,120,120,100,52.0241910986202,216.482542878491,73.6329691222697,63.7926683205716,96.4656600896035,2009.13714036166,1772,1663.23944018589,1863,1753,1588,1750.5,86.0332710040948
"2034/2035",2035,120,120,100,49.7651972735395,174.51907754405,78.2658044669934,61.1671056003426,96.2517694950664,1913.74831620112,1733,1574.3386501901,1807.5,1676.5,1521,1674,81.4137011521398
"2035/2036",2036,120,120,100,52.9319240163034,188.904137672336,69.2323655493733,63.6232821534304,93.2765578713889,2054.13516395424,1912.5,1734.16349608071,1928.5,1886.5,1591,1861.5,84.298855891845
"2036/2037",2037,121,121,100,43.2690397465816,177.349552074127,69.0433196976813,50.6468346031296,90.4698010511832,1982.65254201951,1840,1850.78229274342,1826.5,1898.5,1325,1891,87.5065280689305
"2037/2038",2038,120,120,100,57.6562121466477,205.428659700145,79.3560981785045,72.1461867923584,98.790466173571,2057.23093082277,1794.5,1572.59990719679,1936,1724.5,1770,1718,83.7858325461348
"2038/2039",2039,120,120,100,36.2970640983967,149.007453210622,67.9500873417633,43.9071836184884,87.5484172585272,1917.21352341963,1829,1826.01003156131,1768,1876.5,1240,1863.5,85.8159007976246
"2039/2040",2040,120,120,100,37.9655994506398,158.740857813153,60.0222215356245,44.0922965984315,85.3685878781117,1982.83279777991,1915.5,1938.35097584416,1857,1950,1288,1925,87.4767681155827
"2040/2041",2041,121,121,100,50.2140638272627,195.377554776433,67.194080963175,58.753206286534,92.0588221204958,2135.04547531309,1983.5,1913.75693040428,1979.5,1998,1546,1986.5,89.9483832346623
"2041/2042",2042,120,120,100,58.9916985321423,182.621625405022,71.5666694831662,68.3905336220465,95.1342876489042,2304.86877555592,2113,2000.52256578892,2134,2121,1794,2118,91.0853133012761
"2042/2043",2043,120,120,100,29.4089325047785,119.768633427662,62.1693627470123,33.3440937642552,81.3434991958919,1716.88356742254,1687.5,1697.4446166417,1570.5,1758,981,1691,79.0231587574463
"2043/2044",2044,120,120,100,61.544335640222,233.858098505025,75.5086505413949,72.7546100156767,97.8274930320825,2214.04905949152,2016,1773.15123550674,2090,1970,1901,1969,87.289717328058
"2044/2045",2045,121,121,100,54.2939067231917,195.395138859153,68.5437585273565,61.0462642413675,92.9192870489565,2268.20621661423,2156,2059.42176174782,2117.5,2194,1701,2187,89.2113719583076
"2045/2046",2046,120,120,100,46.2160458642666,196.911520353467,74.9359016626095,59.5479464838003,96.1942789053575,1955.90798084467,1723.5,1620.72700324047,1801.5,1717.5,1508,1713,84.0763651435791
"2046/2047",2047,120,120,100,54.8147555143586,191.417367288876,74.4772486172917,68.0304270422033,96.4567825367325,2087.24445900135,1872,1698.50104340936,1905.5,1859.5,1687,1830.5,84.3930448205238
"2047/2048",2048,120,120,100,47.5152886270191,163.643611067663,78.3238344765007,55.1715646208325,91.6266544356748,1987.27591702458,1812,1785.23504731439,1803,1878,1427,1863.5,82.5766334428745
"2048/2049",2049,121,121,100,59.3758408191704,239.456492828512,67.6318419905326,67.8079025291085,95.113062347791,2276.75430190886,2113.5,2012.21382072892,2135,2151.5,1754,2151.5,91.0462929315763
"2049/2050",2050,120,120,100,58.5709935648745,229.158097527103,74.2950205529472,74.0586700469311,99.2433451614296,2217.63137191965,1961,1746.8194439969,2075.5,1904.5,1872,1904.5,88.2603832592349
"2050/2051",2051,120,120,100,63.3259056128492,240.009284148387,78.4121974843263,77.6742348910473,100.471507993726,2151.94033168131,1881,1593.96190347897,2040.5,1789,1945,1783.5,83.8075208432065
"2051/2052",2052,120,120,100,46.9661671469017,182.705330546944,70.378449694225,60.6113018482817,93.5148350300008,1945.82531506667,1752.5,1596.5881671063,1810.5,1736.5,1485,1702.5,82.606323087336
"2052/2053",2053,121,121,100,40.0289758358279,153.525995664456,71.0683768159862,47.3731651434579,88.3031376751976,1889.57192121379,1765.5,1687.17719036154,1755.5,1783.5,1316,1750.5,82.5879868605134
"2053/2054",2054,120,120,100,40.2844181524129,146.651291178741,67.0464774938062,45.4263840390411,86.156052556468,1910.12842188086,1851.5,1857.64593465334,1770,1902.5,1214,1876.5,86.5249494800319
"2054/2055",2055,120,120,100,48.1157411552544,185.105788892774,63.7729288186786,55.9958702704422,89.4542428472118,2122.23335579885,1975,1966.10913791216,1963.5,2027.5,1491,2007.5,89.3649607744601
"2055/2056",2056,120,120,100,50.0294827489653,199.283471549603,70.5468208259968,59.7333043948308,93.1655362016503,2083.05637667919,1901,1787.60712354296,1955.5,1903,1617,1889.5,86.0708896817696
"2056/2057",2057,121,121,100,55.7146193385738,190.81055965878,69.7661278749253,66.7397444113978,92.7930260501671,2082.41704343454,1901,1603.20432249661,1931,1845,1749,1769,81.539492967243
"2057/2058",2058,120,120,100,42.4928805042582,172.006740526724,73.698531804301,53.4575472699653,91.982981964918,1869.79116876086,1719,1619.9577880802,1767,1705,1422,1687.5,82.5131271982773
"2058/2059",2059,120,120,100,47.1776036660765,201.779413288962,63.2739034901735,52.1779070817445,88.5991296042527,2090.71235757566,2004.5,1969.32787047735,1970.5,2033.5,1470,2024.5,87.1870023390056
"2059/2060",2060,120,120,100,51.5709000721577,198.751904799525,78.9823949235585,65.8199159086485,97.1052256502691,1957.82003790309,1675.5,1516.09520876347,1818.5,1642,1610,1628,81.0858566439656
"2060/2061",2061,121,121,100,48.3248429180382,197.54030199554,65.2280721428616,55.0513328691698,90.1978172802102,2059.17462495979,1953.5,1886.11087464353,1915.5,1960.5,1470,1945,87.5674705232504
"2061/2062",2062,120,120,100,39.820243977982,140.982064234538,70.1312193922363,53.2101549824883,90.4148415856407,1875.23579409966,1596,1461.39058799071,1661.5,1609.5,1443,1523.5,77.1063315808697
"2062/2063",2063,120,120,100,54.723775888514,206.958296413195,76.1314880618967,66.3163248315025,97.368679202179,2060.17671792235,1854.5,1655.92575060852,1929.5,1832,1736,1819,82.9854102302306
"2063/2064",2064,120,120,100,56.187201956074,209.191232396341,75.2676843097167,70.8427598202788,98.4935836289524,2092.30299559052,1822,1688.49001865903,1932,1816,1677,1812,85.3718242317609
"2064/2065",2065,121,121,100,39.3063551194309,155.704493007292,72.6883580221197,49.810548399201,92.0021447149839,1891.31722149078,1704,1684.32534753768,1727.5,1730.5,1295,1715,84.3072242677845
"2065/2066",2066,120,120,100,41.9530169443292,175.803605956133,67.6596085737599,51.4214236773345,90.1880343209069,1959.90673361401,1802.5,1754.75638803039,1818,1818.5,1408,1797.5,85.8437656213027
