"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.8874548218533,178.651238418563,65.1901720434429,46.371058174114,87.8207517201282,1844.03929912317,1763,1694.65285097514,1742,1757,1261,1731.5,82.3245671873223
"2002/2003",2003,120,120,100,38.3932642839904,168.306866687502,70.8607714418956,47.0965111874638,88.2343577509194,1922.19554342035,1805,1746.46535385463,1778.5,1849.5,1365,1822.5,83.8184128709863
"2003/2004",2004,120,120,100,50.3327972627041,219.216958214466,72.5408849046204,63.897933109666,97.2624986809404,2013.47278497558,1766.5,1631.05237997609,1868.5,1752.5,1593,1743.5,87.397761289691
"2004/2005",2005,121,121,100,54.4343333450951,241.464535816003,66.4267175580177,63.502628355373,94.033216445395,2186.74102521866,2028.5,1890.84657854432,2043.5,2040.5,1700,2019,88.1175144734614
"2005/2006",2006,120,120,100,46.9816860287328,216.52614474208,61.2781990553797,52.150397394521,88.3451460233587,2052.90673374958,1977,1911.77267307128,1941.5,1960.5,1447,1945.5,86.6706575572221
"2006/2007",2007,120,120,100,46.4927973443589,221.960660007052,67.3405989095927,52.4601242551012,89.6924581481904,1972.30424139446,1850,1784.17506108663,1840.5,1881.5,1445,1853.5,83.5478740242082
"2007/2008",2008,120,120,100,50.5591725520161,208.677591374754,76.4281655667282,63.4280572137659,96.3759892962268,1943.33777699603,1729,1543.44326474117,1850,1678.5,1576,1670,80.7030334304503
"2008/2009",2009,121,121,100,45.5269866692922,238.992816443437,69.3810830564638,54.9009547313552,93.902710929438,1994.05203602156,1813,1721.44038780762,1858,1826,1531,1818.5,85.7441370151978
"2009/2010",2010,120,120,100,45.7796447339746,200.261178804832,69.3328710183342,54.5813621820038,91.4786013666082,2044.28638397469,1889,1839.39649667456,1895,1925,1464,1917.5,85.9894687696069
"2010/2011",2011,120,120,100,57.2440065815982,235.556634659904,66.8445156525225,64.5048384652098,92.8190922140474,2253.25737772463,2116.5,1981.4929591077,2114.5,2100,1774,2100,90.1102566130596
"2011/2012",2012,120,120,100,55.8957628087725,215.607858238682,69.5673742787524,66.3230511706539,94.9866883470341,2172.32157875951,2001,1846.90742823192,2055.5,1990,1756,1983.5,87.7056133668641
"2012/2013",2013,121,121,100,43.5429402442967,202.925240242357,70.6034290723513,56.924467616256,94.7975552796503,1940.53720930261,1727,1654.40146915239,1773.5,1748,1395,1734,85.7244027370234
"2013/2014",2014,120,120,100,50.7249027064167,209.044858222395,74.1090731123596,63.2188484849101,95.8168925059781,2044.59940755622,1797,1661.20748565922,1902.5,1767.5,1673,1757,83.5148179558153
"2014/2015",2015,120,120,100,27.5229644705753,128.590861536266,80.752841911549,46.629009504129,94.3679914638223,1424.22634168829,1123.5,989.162395604104,1287,1106.5,1097,1043.5,69.3959458341083
"2015/2016",2016,120,120,100,48.8555316147362,196.009667702242,67.2832221519967,57.1482643595126,91.77456587161,2074.44282272936,1924,1837.74174492387,1936.5,1954,1531,1937,86.6177104109856
"2016/2017",2017,121,121,100,40.6689567558325,194.894850286732,69.0245820868542,52.8989672935234,91.3986726888908,1801.74068195384,1623,1475.68233357911,1654,1603.5,1357,1540,79.1782055198842
"2017/2018",2018,120,120,100,36.574019247369,169.648256097896,72.730563285992,48.5472280534752,91.2932717114494,1738.8996089147,1551,1451.94847314748,1608.5,1548.5,1278,1504.5,78.3715144984017
"2018/2019",2019,120,120,100,46.0357542734683,173.646818822573,81.8592443233194,60.4867199164265,95.9934497890671,1849.99779581186,1615,1434.72836604273,1717.5,1578,1508,1549,78.8879974145466
"2019/2020",2020,120,120,100,40.5884147820501,195.746357089616,66.0600114694085,51.7041743832383,90.8577655425315,1909.09288834659,1738,1633.1608497586,1790,1714.5,1425,1687.5,85.1439458916811
"2020/2021",2021,121,121,100,42.6604012502769,203.327176937608,62.6986446270525,51.0657190895998,89.3957509916754,1998.03092015959,1868.5,1815.37750816141,1828,1916.5,1405,1864,85.9901793410754
"2021/2022",2022,120,120,100,45.5210341033185,191.612629345505,80.991629594653,62.1470901321133,96.7342237825608,1762.79350510747,1531,1336.47427459616,1672,1454.5,1469,1446.5,79.8722291348895
"2022/2023",2023,120,120,100,49.78576952049,183.35632324171,71.6200244510302,63.1638231402104,94.160825719347,1901.5914492205,1701,1505.48215371605,1789.5,1650,1517,1611.5,80.5026997732743
"2023/2024",2024,120,120,100,47.2745074109003,234.246489426828,61.89612051081,54.2736573404501,89.6352902078814,2116.40734808431,1986,1909.63543110387,1973.5,1997,1539,1973,87.8850833404153
"2024/2025",2025,121,121,100,50.7257672699901,206.190464598669,66.0868949348248,59.3006052572504,92.1041976279822,2138.09115620122,1977,1919.79490763559,2002,1987,1561,1976,88.6795396581451
"2025/2026",2026,120,120,100,45.0266794679159,197.117080685293,68.1907337903799,57.5870449264408,92.391553654366,2038.4280884555,1884.5,1730.91533500858,1912,1851.5,1556,1829.5,85.4171827952086
"2026/2027",2027,120,120,100,41.0124686079355,193.486741778512,82.7588597745735,57.6237827596566,97.7082922919876,1704.80202937467,1424,1313.43738660251,1574.5,1380,1352,1373,78.5847081874313
"2027/2028",2028,120,120,100,46.8302202257947,158.96217423442,71.9298908924196,59.7706692118594,93.6839418525345,1989.79665618978,1797.5,1697.85244181786,1859.5,1794.5,1528,1778.5,83.3491334271212
