"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,43.732629466507,190.41969745369,70.4970611446503,53.3317027569885,91.8579089224853,1907.6042171208,1739.5,1696.24203162524,1773,1754,1365,1744.5,84.4963938496333
"2002/2003",2003,120,120,100,48.2951695831499,198.332239421178,76.3008036806191,57.077554896809,92.3591865844173,2018.19684613198,1882.5,1731.43563359979,1889.5,1865.5,1597,1852.5,82.7914177423197
"2003/2004",2004,120,120,100,51.5381200490468,221.912930947278,78.4913352616037,68.785003089587,100.867123616034,1950.9963740018,1658.5,1467.36365477056,1814.5,1604.5,1677,1598.5,82.454024342059
"2004/2005",2005,121,121,100,57.6086698228765,245.075902391163,72.0662041000726,70.7567263214893,98.1195114019987,2170.70440176619,1946,1734.36867891845,2042,1906,1810,1894,87.107583611029
"2005/2006",2006,120,120,100,54.0237305983227,231.058908963493,66.4273593554094,63.1244999190748,93.0839939717747,2109.76085178057,1938,1847.35609345691,1984,1922,1604,1914.5,88.1466405961474
"2006/2007",2007,120,120,100,53.8340635610812,236.206883498127,72.9095676159828,62.0036758357953,93.8492627937831,2043.55196198248,1891.5,1729.04842718662,1906.5,1892.5,1603,1879.5,84.6186673475174
"2007/2008",2008,120,120,100,53.2927355135779,206.825493194006,82.5792913233447,68.1071686084244,99.376375934443,1888.40548512551,1612.5,1419.52145096253,1760,1541,1582,1538,78.5526536864705
"2008/2009",2009,121,121,100,51.9635776384967,244.961558267901,75.2944370301052,61.9586054185262,96.9202223667449,1980.15300333351,1783,1625.53462411519,1863,1753,1601,1751,82.8658519716741
"2009/2010",2010,120,120,100,51.8069665465554,211.69775134227,74.8556268028427,63.4020798099351,95.8159927882598,2091.52127206358,1879,1747.46618217232,1941,1860,1641,1857.5,84.4276091126387
"2010/2011",2011,120,120,100,61.03220246958,244.672766505219,72.3932162920681,72.7034693808305,97.5439937491813,2253.24093557103,2028.5,1826.88633627786,2117,1972.5,1862,1972.5,89.0282476105499
