"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.7763440294,189.408453465275,64.5840156765528,46.6717857629075,87.5997184354853,1840.44208808768,1764.5,1661.82655083023,1754,1742,1295,1711.5,81.2136397020889
"2002/2003",2003,120,120,100,36.3517614552933,169.930929178374,70.1078276958822,45.4483476514243,87.8378869712376,1879.07893001756,1734,1708.21037284904,1706,1800.5,1267,1765.5,83.466472173906
"2003/2004",2004,120,120,100,48.3641389159759,212.747876881166,71.6196348805206,61.9045375522602,96.7367438246189,1995.62015887861,1794,1661.67989267958,1840.5,1791,1567,1776.5,86.2571332738726
"2004/2005",2005,121,121,100,54.445386701303,246.201363027106,65.6646708385367,63.4373421698502,94.0161008377379,2180.1667091816,2020.5,1887.50020576716,2025.5,2049,1684,2022.5,87.7569999543942
"2005/2006",2006,120,120,100,47.0282139288998,226.043121347412,60.8446953771164,51.8770513122275,88.2040719612525,2037.37670860161,1991,1909.92422496892,1953,1978,1462,1969,87.4052720925048
"2006/2007",2007,120,120,100,46.2882326829125,220.241904838076,66.4813382283069,51.937368133571,89.4392200992429,1924.48184417964,1808.5,1742.53167845681,1788,1840.5,1386,1809.5,84.0823732748362
"2007/2008",2008,120,120,100,50.342796707262,216.042264055588,75.9373782464345,63.3595502548911,96.4441575210822,1927.52067972198,1691.5,1516.18840347708,1849,1637,1571,1629.5,81.5312444128258
"2008/2009",2009,121,121,100,45.7759977846465,248.28241238237,68.7180186587334,55.4378303757374,94.0653617064861,1986.89289170581,1813.5,1698.01862321195,1857,1805.5,1532,1795,84.04031039853
"2009/2010",2010,120,120,100,44.3469786990933,198.888911388141,68.8445162370461,52.746027547886,90.9665136702688,2018.30650492947,1901.5,1837.04331029735,1887,1930.5,1456,1920,87.5282422152716
"2010/2011",2011,120,120,100,56.7463866551011,238.173225750618,66.4219605657863,64.1567306267617,92.6706915405799,2203.73110076445,2066.5,1941.44015919909,2071,2048,1699,2047.5,89.2635944315753
"2011/2012",2012,120,120,100,55.9570462710415,214.278607815556,69.059564591827,65.9550829326562,94.9508748560158,2161.60057015005,2000.5,1853.15029611239,2036,1976,1712,1968.5,87.4761504793923
"2012/2013",2013,121,121,100,41.4532576369287,195.281824826619,69.8919431442768,54.6034183042479,94.0364245482508,1862.16983994069,1649.5,1629.78631880239,1708.5,1704,1306,1687,85.9733822350727
"2013/2014",2014,120,120,100,51.2346129714046,224.178974585041,73.4932731253918,63.3618755464813,95.7193419668385,2051.90656253448,1789.5,1643.11331652288,1892.5,1757.5,1701,1739,82.9676094251736
"2014/2015",2015,120,120,100,26.8227065871057,123.584852950133,79.8578135637696,45.1459701896123,93.7434868992039,1423.66450509972,1152,1019.99679127151,1279,1130,1072,1067,71.2256035382893
"2015/2016",2016,120,120,100,48.1925638522508,195.218487523559,66.481013009842,55.5162343067776,91.2787245601238,2034.93994941919,1908.5,1829.39410111808,1898.5,1933,1489,1915.5,87.1274034097908
"2016/2017",2017,121,121,100,40.6187757065329,196.038407413523,68.1280179513717,52.3989479405972,91.1625421002093,1737.16775071574,1557,1444.41995221663,1589.5,1560.5,1267,1501,78.3174936765313
"2017/2018",2018,120,120,100,37.2457101446005,172.084660373947,72.133773658296,48.7396277848852,91.2646259064962,1727.08108789208,1548.5,1430.91151821565,1588.5,1539,1267,1493.5,78.0104426675316
"2018/2019",2019,120,120,100,44.2086682347267,170.544724789033,80.9427980545455,59.4999463894684,95.8460053526985,1799.56811493161,1559.5,1399.25922559345,1677.5,1535.5,1419,1506,78.4647504676263
"2019/2020",2020,120,120,100,40.8189697671605,199.711841400167,65.5595608554917,52.1008132513129,90.8636097866986,1888.9400628669,1713,1615.31194470212,1770,1686.5,1361,1662,83.9612106857653
"2020/2021",2021,121,121,100,42.0852668498733,211.296321059566,62.1429907570389,50.0559275478817,89.2546813845923,1988.45586546324,1848.5,1802.69033215825,1802,1909,1368,1851.5,83.4739847243391
