"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.1722098054366,181.656213893587,66.4338523055247,49.1490553968248,89.1805433477838,1888.23091586727,1772,1734.28801789009,1767,1792,1277,1775,84.9055939176187
"2002/2003",2003,120,120,100,44.3086062925357,181.327340471302,72.0114272769133,52.1622912421245,89.8377471192713,2025.83348176335,1920,1829.52366547952,1889.5,1928,1509,1909,84.7769125666647
"2003/2004",2004,120,120,100,53.5247950167164,225.44076874964,74.2088139471693,67.3453226979442,98.2010577568614,2040.07257985865,1792.5,1619.09989923557,1899,1758,1654,1751.5,85.1979900698258
"2004/2005",2005,121,121,100,56.8815958779739,242.217922151062,67.9816708992837,66.6522378709536,95.2161430487397,2213.20783460582,2037.5,1876.16684160638,2072,2038.5,1795,2020.5,88.1865842004523
"2005/2006",2006,120,120,100,50.8055626886158,218.616285381427,62.8505935070253,56.7146270821153,89.3780402561129,2037.61049130926,1929,1848.03394239211,1924,1929,1470,1911,86.4148975099808
"2006/2007",2007,120,120,100,47.9800007756852,220.497937873719,68.9791160885584,54.3397114867716,90.5597154882783,2008.02278132496,1878.5,1798.63497086622,1860.5,1911,1484,1888.5,85.0902780399954
"2007/2008",2008,120,120,100,54.6738716852183,215.188123696807,77.6565066359236,68.3718838946157,98.1558469856855,2014.62543232167,1751.5,1572.0718086378,1890.5,1702.5,1648,1698.5,81.7948640257487
"2008/2009",2009,121,121,100,48.2907052342765,240.673440649381,71.0027317022988,57.4558752773084,94.8530090378606,2007.16504958925,1838,1724.04068046002,1891,1834,1577,1829,84.1412182706288
"2009/2010",2010,120,120,100,47.6538690650204,198.79599809103,70.8693456038374,57.3083821774348,92.6798095201786,2042.81022964546,1865,1800.86712499838,1903.5,1886,1506,1880,85.2988905365389
"2010/2011",2011,120,120,100,55.2583981861709,222.475141628756,68.7092504157907,65.3624652345084,93.7730389702128,2192.06970856346,2014,1879.95183379077,2061.5,1979.5,1742,1979.5,89.7715549768425
"2011/2012",2012,120,120,100,59.2447661727333,217.939890139547,70.9296225163425,69.5420439562757,96.1269624622229,2222.8962880968,2042,1869.16153766704,2106,2017.5,1823,2014.5,87.2475896167446
"2012/2013",2013,121,121,100,45.8523936314983,203.087456274425,72.0109005468799,60.1399760182998,96.3720597774225,1987.09127091384,1776.5,1662.49725064255,1837.5,1763.5,1499,1755.5,86.2643341055671
"2013/2014",2014,120,120,100,53.0121004344535,204.862829204431,75.8465429998606,66.2384571615343,96.6597271044617,2056.55477471736,1820.5,1645.98972384536,1917,1775,1715,1761.5,83.2144162028917
"2014/2015",2015,120,120,100,30.3272868768994,137.405446543842,81.9515552857514,49.5562047529644,95.8304067503863,1500.46747305699,1201,1072.54552636895,1367.5,1160,1151,1117,72.9651964990776
"2015/2016",2016,120,120,100,51.8799298095641,204.528507666524,68.5517163041829,60.8580873798587,93.3460444332655,2157.33693962594,2000.5,1895.55535285125,2007.5,2016,1616,2009,87.777251535385
"2016/2017",2017,121,121,100,41.0847735072172,194.874047656341,70.5728916785908,53.239320627982,92.397554123428,1819.43966087074,1641,1506.52009781381,1704,1601,1398,1561.5,81.3276873011991
"2017/2018",2018,120,120,100,39.4456945039154,176.90963567954,73.9999295778038,51.412796641971,92.6500484187625,1798.46291377173,1599,1504.34275990075,1668.5,1588,1341,1563,79.4018874803692
"2018/2019",2019,120,120,100,49.3822703611868,177.380980275965,83.1832337931981,63.7169449928495,97.1356123969448,1907.81510561353,1671,1472.95396126547,1790.5,1627,1589,1607,78.5510031487656
"2019/2020",2020,120,120,100,41.3204931472256,195.581397148464,67.4523308427663,52.8264975109526,92.04618204682,1940.64766546182,1757.5,1667.0034048387,1818.5,1717.5,1443,1702,85.7672549777299
"2020/2021",2021,121,121,100,43.4039245703486,200.365099428307,64.1943401071076,51.6414040871169,90.2269966769797,2012.72995436413,1870.5,1834.13141341021,1846.5,1918,1415,1878,86.2384743758412
"2021/2022",2022,120,120,100,45.4984667583143,188.137201837617,82.276067288112,63.2374410544822,98.131736744905,1772.74206141867,1538.5,1332.14304904642,1684,1443.5,1497,1443.5,79.1421563656236
"2022/2023",2023,120,120,100,50.6288536036251,181.824219457048,72.8749248403716,63.7607062175209,95.1058312401215,1955.0583848549,1751,1586.84296369727,1841.5,1706,1557,1683,83.2527723182147
