"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.0653543828845,155.729963225478,63.6306328811657,41.7747182230061,85.9112415697727,1800.56474764858,1734.5,1705.95635690666,1682,1744.5,1156,1709,81.2839654421875
"2002/2003",2003,120,120,100,37.5863481584436,146.075311998726,68.8566773148356,44.6642610545784,86.8387712371338,1915.72575208106,1823.5,1799.92080523539,1763.5,1887,1322,1849,84.2283732592593
"2003/2004",2004,120,120,100,50.4635764028739,203.936576836047,71.1321565165438,63.1225117299378,95.5600411598354,2005.37364672222,1749,1633.52177661338,1838,1759.5,1537,1739,85.9565233173934
"2004/2005",2005,121,121,100,53.9264043405738,225.137417738656,64.9160902301162,60.7928067164252,91.8851730592303,2179.2367809753,2049.5,1942.41894859024,2025,2066.5,1669,2043,88.9436860449614
"2005/2006",2006,120,120,100,43.8500774094523,195.524174273304,59.754453815542,48.3785448211216,86.034982011265,2026.62127561665,1999,1941.89405493125,1926,1993.5,1394,1978.5,88.69632219569
"2006/2007",2007,120,120,100,44.2946667434281,205.057576684322,65.4214630261048,50.5583405318515,88.813929673065,1993.9557454942,1875,1835.94197209387,1838.5,1926,1416,1889.5,84.6548237293672
"2007/2008",2008,120,120,100,47.5408216649481,191.738350479802,74.5996804235727,58.627511913762,94.4121418952829,1983.64843955961,1801.5,1675.70787176277,1868,1781.5,1530,1773.5,82.1966034426391
"2008/2009",2009,121,121,100,41.1404355798943,213.53502421674,67.6712100912936,51.2189523467654,92.5694607262568,1985.77079718835,1810,1766.52912733447,1828.5,1838,1416,1829.5,86.404306285621
"2009/2010",2010,120,120,100,45.7784261600339,183.040964089398,67.3574810030795,55.0048159619246,90.5545230815012,2041.59596042805,1866.5,1841.2495535945,1884.5,1919.5,1440,1905.5,87.6334382363298
"2010/2011",2011,120,120,100,53.6484261477886,215.676960533705,65.0297569225531,59.2282240679731,90.6329769909961,2229.77200095527,2126,2058.04720918644,2093.5,2168.5,1644,2168.5,90.7217295992405
