"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.9518193588041,181.189536599907,68.1053370318643,50.4561160929707,90.2487707216498,1900.98639253076,1770,1735.29216231564,1772.5,1790,1316,1778.5,84.8870251467017
"2002/2003",2003,120,120,100,47.3966890406883,188.362460653384,73.5042344396862,55.3930079208915,91.0643298395408,2056.82348314848,1951,1835.49863540252,1936,1945,1600,1931,84.9247632447224
"2003/2004",2004,120,120,100,53.7088677053423,219.843938939152,76.0834054616264,68.8056647744384,99.2906423654965,2017.76711633482,1743,1559.89108491095,1874,1690,1667,1683.5,84.3590640633891
"2004/2005",2005,121,121,100,57.8354173518148,238.9671230726,69.7449229861984,68.7593344563311,96.3655575228689,2206.47763988602,2004,1827.87421364186,2070.5,1994,1821,1979,88.5498402081486
"2005/2006",2006,120,120,100,52.4189247075601,217.931760554873,64.4189977078689,59.2922938294561,90.7348999006328,2076.49860834517,1951,1857.40509269853,1959,1935,1520,1922.5,87.194233844895
"2006/2007",2007,120,120,100,51.1325207169245,224.112354772195,70.4931027955549,58.0999251369883,92.1773997575273,2050.73957526723,1904,1797.08432213573,1908.5,1932,1558,1915,86.643836904398
"2007/2008",2008,120,120,100,54.5059157933492,210.376157490896,79.6194179976284,68.5623241425821,98.6171339320816,1998.17249241621,1733.5,1555.93438039751,1860.5,1689.5,1646,1688,81.8326959164992
"2008/2009",2009,121,121,100,48.9269086979185,234.362535615534,72.8781560179811,58.7850754579164,95.5727228233163,2000.06207463538,1816,1704.16333825912,1875.5,1814.5,1564,1813.5,84.6641476686771
"2009/2010",2010,120,120,100,49.1771974007923,198.240948683668,72.4046303286493,60.6677543569798,94.3036301160675,2085.77369173225,1880.5,1791.99042826459,1939,1881,1575,1876,86.1131031862421
"2010/2011",2011,120,120,100,57.1154264487976,226.224071824066,70.3017570018335,67.5421326754475,95.0668011901076,2222.53955104255,2022,1876.18327786595,2077,2001,1794,2001,88.8628288790044
"2011/2012",2012,120,120,100,60.4828859800248,216.25503768799,72.697639933803,71.3982956477383,97.1473442116529,2214.44785160979,2002,1830.98653221751,2096,1985,1820,1982.5,86.1570425767475
"2012/2013",2013,121,121,100,48.1475357702061,204.346048713976,73.6674134872535,62.7182687943661,97.5319175775538,2017.4485495261,1777.5,1660.04023445768,1859,1773.5,1543,1768,87.4146943394671
"2013/2014",2014,120,120,100,53.6481473733543,202.059568054394,77.55107825966,68.4758601666161,97.836071792261,2054.84377199547,1807.5,1607.78855495153,1928.5,1747.5,1763,1737,82.4216202780174
"2014/2015",2015,120,120,100,30.3102038905004,132.719617455579,83.7155067528394,49.5029946093623,96.6436002275019,1485.20997630351,1186.5,1056.84573459676,1375.5,1142.5,1137,1111.5,72.0490062269355
"2015/2016",2016,120,120,100,53.539955260654,204.380663273104,70.2023121909751,63.685707406697,94.6815709039773,2175.5812982356,2003.5,1866.73115226489,2020.5,2007,1661,2001.5,88.3393187381489
"2016/2017",2017,121,121,100,42.0612943311253,197.334594115327,72.1021067986486,55.2098535979147,93.7112855311846,1859.30781276969,1659.5,1535.3102783243,1733,1629.5,1442,1604.5,82.5071520730726
"2017/2018",2018,120,120,100,39.5518283640534,174.586021715673,75.9229344350816,51.453280567685,93.2236212577391,1787.23175887031,1579,1494.3836176752,1661,1570,1317,1554.5,79.5290677670282
"2018/2019",2019,120,120,100,50.0251187850252,176.052591592577,85.0884015294075,64.7855822840292,97.7251143601462,1898.53236563844,1649,1448.0541353168,1774,1612,1610,1596,78.2448897177073
"2019/2020",2020,120,120,100,42.701905999455,197.678632575169,69.1037293823661,53.830914285019,92.9439887540928,1955.32992355809,1761,1674.53180861518,1834.5,1736.5,1466,1727.5,85.40028840167
"2020/2021",2021,121,121,100,45.3427264462566,202.667547436881,65.8231695420947,54.417132872903,91.4829002950772,2042.83657004971,1884.5,1833.25566654678,1889.5,1934.5,1493,1899.5,87.0695961046786
"2021/2022",2022,120,120,100,45.3201626511072,185.535481690867,84.0371230283051,64.2835138448746,99.2440203484484,1780.66534343301,1513,1317.81728844588,1688.5,1428,1525,1428,79.5222633443045
"2022/2023",2023,120,120,100,52.6304574153829,186.3964245909,74.5311242997482,65.9324848169891,96.0762395132811,1977.08734991291,1748.5,1591.63828867666,1867.5,1710,1605,1696.5,82.1252277136587
