"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,33.3079583765385,98.3535843887054,66.8217106232217,40.3205450405129,85.1783647680841,1778.9589891853,1752.5,1755.5498187017,1700,1739,1098,1717,83.3679437515225
"2002/2003",2003,120,120,100,36.1246082564362,81.3853729648454,72.0770126416975,42.7971069824528,86.0493613903897,1877.8962631262,1816.5,1837.61188530508,1736,1868.5,1178,1849.5,85.2029242228023
"2003/2004",2004,120,120,100,50.789297452853,149.963716619386,74.5406102156497,63.3097187284496,95.1206394265695,2097.57356960063,1872.5,1784.75040608123,1949.5,1853,1607,1846.5,87.4827701614374
"2004/2005",2005,121,121,100,49.6749506175855,142.141873951448,68.6070372999826,56.6501205491015,90.9324088299291,2184.84893802058,2072.5,2022.98237276724,2042.5,2130,1586,2109,88.9122732500376
"2005/2006",2006,120,120,100,40.8484606820164,121.701086211372,62.9736086939285,45.7066568910647,85.1244818735165,2007.07931723861,1995.5,2020.49389286182,1904.5,2036,1263,2028.5,89.2690048303575
"2006/2007",2007,120,120,100,41.4757951669318,132.555398072753,69.6558804265843,46.9162901261649,87.5095412642203,1991.40141203719,1902.5,1926.61539176538,1837.5,1964.5,1328,1944.5,83.810716317898
"2007/2008",2008,120,120,100,46.9591375146596,127.97311376879,78.0087869589379,58.5785406127742,93.7199875314483,2017.56226844426,1834,1733.61423339531,1903,1841,1542,1830.5,82.0373274467524
"2008/2009",2009,121,121,100,39.0922975561809,136.551432370973,71.775609417064,47.5753649533592,91.2536316242466,1994.70388647651,1830,1867.05218211728,1823,1885.5,1297,1880,86.3659048448486
"2009/2010",2010,120,120,100,43.283243621555,123.148933718577,70.4818661564386,51.3582396939618,89.5854536234997,2069.6599078645,1947.5,1974.74984277581,1920,1975.5,1369,1971.5,87.9214100833142
"2010/2011",2011,120,120,100,53.2097159435264,142.212214989665,68.0165182757253,57.4926382244997,89.7144845947316,2279.0501289304,2234.5,2201.00685339773,2139.5,2266.5,1599,2266.5,92.4245201328329
"2011/2012",2012,120,120,100,51.0939889909465,136.684649504969,71.1025477557766,60.4728162978737,91.8853233312996,2202.48360985491,2061,1980.38279355947,2053,2088,1668,2079.5,85.317012757125
"2012/2013",2013,121,121,100,45.5251809059395,139.170502177146,72.281457940004,56.0438897258569,92.7854991949565,2065.04271080388,1894,1860.80117416058,1924.5,1923,1485,1916.5,87.9617940379765
"2013/2014",2014,120,120,100,48.6865986435713,123.717134245748,75.9304218689697,59.4639549152705,93.3542960831742,2116.63207475415,1932,1827.84965240076,1973,1935.5,1628,1929.5,83.4799362535505
"2014/2015",2015,120,120,100,31.0766007425065,94.3615021226199,82.8610300886985,50.144703819073,94.0773260850507,1536.94023504785,1188.5,1025.95857328333,1402,1124,1271,1048,68.3565870093698
"2015/2016",2016,120,120,100,45.3146736171054,115.135519973293,68.8374169042429,53.0283416309312,89.2456379446619,2072.28862888616,1934.5,1952.23746674578,1918,2004.5,1412,1990.5,86.4372364346439
"2016/2017",2017,121,121,100,40.8945835132405,124.715516230346,71.059582949739,51.3202081830736,89.2029420288824,1887.3486619078,1729.5,1609.59769484897,1746.5,1738,1364,1670.5,79.538433632325
"2017/2018",2018,120,120,100,33.6166534168859,99.7089916041157,74.4703520354856,45.4644695831477,89.0908303218497,1747.75405434953,1582.5,1542.94298162013,1621,1600,1185,1559.5,77.7317750720053
"2018/2019",2019,120,120,100,46.6958223630335,110.218085858523,83.0583736093991,58.7095030195317,93.825740308386,1956.34674265779,1777,1622.87943135424,1845,1752.5,1542,1726,78.0682689606774
"2019/2020",2020,120,120,100,37.6315833350121,111.067302424655,67.9410698781949,47.0455925869065,87.8686640983546,1912.10470071342,1795,1757.8690430315,1774.5,1801,1263,1780,82.9800260244297
"2020/2021",2021,121,121,100,39.7526118669297,117.552363751527,64.5791168697697,47.5137840613842,86.4141007342277,1970.73546240379,1857,1875.92064229084,1806.5,1921.5,1285,1875,86.766929009239
"2021/2022",2022,120,120,100,49.3478357696124,140.679525240616,82.4005932999524,63.8024850244416,95.4050731646423,1912.36195582222,1706.5,1496.54922630374,1820.5,1623.5,1609,1615,80.5415739551718
