"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.7341677012562,159.964284327893,64.4635040998875,43.8156338917871,86.4756456553992,1822.8468466597,1751,1715.47871072531,1733,1769,1201,1740.5,83.4299632120147
"2002/2003",2003,120,120,100,37.1650462854298,145.652389166766,69.909527131311,45.1012921850485,87.1385998569583,1921.53734886671,1818.5,1799.40311128204,1759,1878.5,1285,1850,84.5445707826107
"2003/2004",2004,120,120,100,50.5500507063543,201.88830577406,71.9209632014015,63.4413709090569,96.0390223685416,2052.22553102866,1809,1690.09769541237,1885.5,1806,1564,1793.5,85.802515417039
"2004/2005",2005,121,121,100,53.0520280997828,218.324024921886,65.8042497945408,61.0735353966923,92.547601039151,2197.04900826198,2058.5,1963.78692883298,2035,2094.5,1673,2073,90.0752695135417
"2005/2006",2006,120,120,100,44.3845482347707,193.152022123164,60.6689025318852,49.1329906311212,86.6676678087002,2031.01838174429,1990.5,1938.33277232134,1910,1993,1362,1977,88.4752327148449
"2006/2007",2007,120,120,100,44.1225958267625,196.543053384762,66.6465216093328,49.6833864159926,88.5707691184631,1980.22761776527,1867,1843.32727008306,1831,1923,1395,1896,85.5412393831466
"2007/2008",2008,120,120,100,49.6792291444613,195.32139483073,75.4392133843243,61.9440095554652,95.4083579820847,1997.79690421283,1796,1641.93584815791,1898,1758,1583,1749.5,83.0517145698326
"2008/2009",2009,121,121,100,42.6585454709796,211.646500319382,68.788949123593,51.9100100975843,92.8089887636764,2011.05272018883,1855,1791.08354134392,1871,1862.5,1483,1856.5,87.0757158145611
"2009/2010",2010,120,120,100,44.2799184540688,179.060634824208,68.4956133034232,52.763503306008,90.4221430354459,2043.5182253164,1903,1877.71254520624,1898.5,1940,1427,1933.5,87.4770299023539
"2010/2011",2011,120,120,100,54.8799384448799,208.134857812986,66.154691542108,60.9610093482601,91.1103397873641,2242.42374503351,2138,2042.94269339834,2102.5,2142.5,1678,2142.5,92.3135584950737
