"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.7500936705807,149.892294395468,64.242833968644,42.6297733606863,85.7969956264116,1811.44461267534,1757.5,1718.24294100468,1730.5,1762.5,1183,1733.5,82.8107408631472
"2002/2003",2003,120,120,100,35.194594877826,131.744814473558,69.7585516905776,43.3672085155006,86.4127587508313,1884.64289705715,1776,1782.75807016787,1717.5,1853.5,1222,1820.5,84.890452836642
"2003/2004",2004,120,120,100,49.1387823544782,192.267750153493,71.6397004668377,62.2149972543026,95.43244128741,2047.44005649714,1803,1708.78800470648,1880.5,1819.5,1535,1807.5,86.8996394770625
"2004/2005",2005,121,121,100,52.0385298208247,209.34010626606,65.5091352378954,59.6289272953813,91.9087678331758,2195.80407724564,2069.5,1989.49117486568,2037,2105,1648,2083,89.8731269607191
"2005/2006",2006,120,120,100,42.9617668043003,182.517478556546,60.3668558986438,47.2008504644192,86.0106731248365,2033.87233278391,2013.5,1971.3832411033,1914.5,2019.5,1343,2003,88.5356931971613
"2006/2007",2007,120,120,100,43.1190117557117,188.042793900625,66.469423623231,48.4154149688052,88.0263255601933,1967.6969137973,1862,1846.51105459534,1817,1917,1374,1887.5,84.5307230937118
"2007/2008",2008,120,120,100,48.2762099612603,185.056923675072,75.1417087199064,60.5019505237186,94.8291375130642,2000.06678152071,1805,1662.65233516863,1892.5,1782.5,1566,1771,83.7414150244797
"2008/2009",2009,121,121,100,42.0047871806857,203.207220955241,68.4496934577843,51.0799233871134,92.4150809730765,2016.25876304421,1863,1808.8977746635,1871,1875.5,1448,1869,86.5582440559792
"2009/2010",2010,120,120,100,42.9450585052406,169.771263771023,68.1969820698526,50.9553983466984,89.7433652725102,2025.18677545326,1890.5,1886.37927789298,1882.5,1932,1391,1926.5,88.0556819351109
"2010/2011",2011,120,120,100,54.047846112784,200.889975204674,65.7357412990957,59.4740115508287,90.4815782233083,2247.11347316917,2167.5,2076.91147442989,2115.5,2177,1651,2177,91.5933979335041
"2011/2012",2012,120,120,100,53.7589965732633,190.416999243751,68.4229817677046,62.6753803294514,92.9093594842174,2197.76945485409,2065.5,1946.67309464868,2083.5,2066.5,1728,2058.5,88.8166914441376
"2012/2013",2013,121,121,100,42.7507580505059,182.155648645423,69.7466817510505,54.1944213004156,92.8554069589822,1946.74838489259,1745,1713.03207267843,1803,1787.5,1373,1772,85.5015112746426
"2013/2014",2014,120,120,100,50.7241560796662,185.965269751619,72.7972808868391,61.5280531629003,94.1235147675122,2110.90178776127,1908,1778.05948704873,1953.5,1886,1666,1875.5,86.2183376647133
"2014/2015",2015,120,120,100,28.9291581301924,123.529693203734,79.4516812248238,47.8965334926842,93.9684959587553,1490.02764166663,1190,1042.32502065865,1366,1150.5,1134,1086,69.1513312464706
"2015/2016",2016,120,120,100,45.290472678883,165.856962112765,66.3183769964589,52.7373584036809,89.6421061512975,2054.04032874139,1935.5,1902.29631446986,1902.5,1981.5,1425,1964.5,86.1030299349977
"2016/2017",2017,121,121,100,40.3704422317688,171.29731568839,68.0002761716648,51.3745639230061,89.8519616399183,1825.49845419408,1667.5,1537.46069195551,1693.5,1664.5,1338,1600.5,79.4902206901593
"2017/2018",2018,120,120,100,34.2133256744618,140.433407840412,71.5937400440741,45.884060419675,89.8448362150385,1731.94938813638,1567.5,1488.25856145001,1573,1560.5,1173,1512.5,77.2954509090719
"2018/2019",2019,120,120,100,45.9170961443997,156.000734845396,80.4166345621775,59.4545894328146,94.634860861253,1895.0233499711,1675.5,1521.20587755966,1773.5,1650.5,1511,1621,78.3026706615151
"2019/2020",2020,120,120,100,39.1618781148257,166.083969257661,65.0888243556175,48.7831184483466,88.9065930110906,1921.59035909872,1785.5,1709.85744418611,1784,1772.5,1348,1747,84.8537688957258
"2020/2021",2021,121,121,100,39.5063193059849,167.656849202701,61.8412819189601,47.0338306848261,87.1116728925428,1962.89521005023,1859.5,1856.18833023111,1801.5,1916.5,1289,1863,85.7970712818451
"2021/2022",2022,120,120,100,48.0590769193283,180.608886397001,79.7770347789177,62.165243428978,95.2456021653115,1844.21300533066,1648,1455.59241647329,1757,1577,1521,1571,80.5053137071036
"2022/2023",2023,120,120,100,50.8638121704411,169.018068102327,70.3612154708961,62.066611446725,92.4385632661706,1959.42175671321,1812.5,1605.28760216409,1849.5,1771,1534,1731,82.7941000206974
"2023/2024",2024,120,120,100,44.0265971625076,192.972775911182,61.0960211553234,49.6205637493869,87.4287905091091,2107.6597658674,2011,1985.34401706675,1961.5,2063.5,1430,2038.5,88.6797506039352
"2024/2025",2025,121,121,100,48.7284338378977,177.721120111721,64.9662476945403,55.3090058788557,89.7182425220607,2133.86826482549,2030.5,1997.81580167591,2016.5,2058,1493,2041,89.3745849979014
"2025/2026",2026,120,120,100,43.8172038667195,168.932058144992,67.1025064393026,54.4644685593656,90.422065570254,2034.82568162814,1900.5,1797.88648752421,1916.5,1905,1497,1880.5,85.662111175961
"2026/2027",2027,120,120,100,40.837478215667,174.96477549354,81.6260317357082,57.4276988764432,97.1166827792061,1780.2621079754,1501,1405.81322244578,1629.5,1480.5,1373,1473.5,78.7510830540136
"2027/2028",2028,120,120,100,46.72362894001,140.47988597846,70.5017696636614,57.8986746709845,91.9393088856009,2012.81885566791,1866,1782.56270005865,1882.5,1855.5,1477,1840,85.7964102417282
"2028/2029",2029,121,121,100,56.8685044683168,244.032054816015,70.61004780914,65.6069286269193,94.9788460853495,2119.94497870302,1954,1815.50883586734,1998.5,1935.5,1669,1931,88.1759516575171
"2029/2030",2030,120,120,100,50.7892795296702,200.914766848379,71.1898945273323,59.9298608117084,92.5446014378462,2011.9755973609,1854.5,1762.40762766955,1903,1834,1533,1830,84.9596233880457
"2030/2031",2031,120,120,100,41.2664166550754,199.645939710996,63.0982244679227,48.9955150399255,88.3069676829268,1909.08330079904,1808.5,1767.00440410106,1795,1810.5,1324,1787,88.0503059148059
"2031/2032",2032,120,120,100,44.6932117513167,186.164387596385,71.2262797012219,55.5185950485707,91.5243962593992,1912.27568310477,1735.5,1618.13476710239,1757.5,1739,1415,1702.5,82.9331577889761
"2032/2033",2033,121,121,100,48.6181076178432,188.188584536559,69.9326930840825,55.9775567836481,92.0329085386855,2103.32461106557,1941.5,1897.95105472073,1940,1982,1544,1956.5,87.1682098411684
"2033/2034",2034,120,120,100,51.2091009346451,211.763276890822,72.5477494037756,63.0373575658239,95.5554049966612,2028.86330320746,1812,1696.81252515031,1879,1776,1570,1770.5,85.8132447259541
"2034/2035",2035,120,120,100,47.8129117863999,169.190299835215,77.4359303127417,60.5452942242574,95.5591650231064,1888.7488774247,1723.5,1531.33241344318,1816,1660.5,1517,1655,80.6435031459232
"2035/2036",2036,120,120,100,51.8079603043149,179.457218139148,68.3895357285313,61.5206670699771,92.0132727136509,2033.51341249987,1908.5,1733.81937481672,1927,1886.5,1585,1859,81.8554441915358
"2036/2037",2037,121,121,100,41.5055781194505,168.928291011137,68.2469473229438,48.2337049167129,89.0336490414283,1958.16175826472,1859.5,1869.78105272155,1817.5,1894.5,1282,1885,87.7827796021129
"2037/2038",2038,120,120,100,57.7703192799939,205.155515379784,78.2782756529296,70.7943273117283,97.9156345486715,2095.10538574283,1846,1630.12485052058,1982,1779,1797,1770.5,83.4299268639779
"2038/2039",2039,120,120,100,36.7206389590143,149.577022047894,67.1825753357133,44.0566987267977,86.721126838992,1911.42788996125,1851,1802.90252970691,1775.5,1884.5,1273,1856,82.8473173501407
"2039/2040",2040,120,120,100,35.3158745429105,138.102253993254,59.2757055689476,40.75245312282,83.9657996623786,1915.57051945843,1849.5,1898.47253317888,1789.5,1908,1165,1879.5,86.9425119558482
"2040/2041",2041,121,121,100,47.4761827717698,181.4200855089,66.4328035567533,54.6618224581468,90.4176842928317,2074.90731752095,1932.5,1912.11954379573,1931,1994,1450,1979,88.6897237681333
"2041/2042",2042,120,120,100,55.1736899476599,169.55481590415,70.617319042642,63.526780994216,93.6062539862724,2251.84216258687,2066,2015.26009229382,2084,2111.5,1705,2109.5,90.6435114030437
"2042/2043",2043,120,120,100,25.4351047147038,97.4921615321491,61.9651856115022,29.2319120936315,79.2357641340749,1581.3372016483,1559.5,1609.13664309426,1444,1612,839,1537,78.6128132708855
"2043/2044",2044,120,120,100,58.1936371456887,220.615573096593,74.5334832807931,69.7051311511195,96.8848373016672,2184.51187774749,1976,1776.69800041675,2061,1939.5,1852,1935,86.2812207270763
"2044/2045",2045,121,121,100,50.1808948683678,176.883479323848,67.8245877900865,55.8590649526389,91.2273110022028,2203.07445865482,2094,2035.31909799631,2045.5,2137,1609,2126,88.7538173982675
"2045/2046",2046,120,120,100,42.0977041972296,174.436776032391,74.3841979259883,55.6835002105053,94.8430102942324,1891.96538960742,1682.5,1574.33866970776,1748,1673.5,1382,1659.5,83.795734739967
"2046/2047",2047,120,120,100,51.4235876374943,181.786935442725,73.6397690715991,64.5478709659329,95.0545652740866,2061.10716546068,1854.5,1712.99593470289,1902.5,1882,1620,1849,83.9671490409919
"2047/2048",2048,120,120,100,42.3111958171827,149.346217959818,78.2940959446311,49.5620133703776,89.3222166346015,1899.94301906539,1756.5,1758.39596397068,1745,1825,1308,1806.5,83.4387713999522
"2048/2049",2049,121,121,100,55.9033434263148,224.161368484344,66.7853279259437,64.7865941576496,93.9593392740454,2264.77075553275,2109.5,2044.35445891206,2105.5,2149,1698,2148.5,90.6622378234006
"2049/2050",2050,120,120,100,55.9669963099432,211.752628868524,73.5613264433134,69.202229762071,97.410990066365,2176.08186664811,1970,1773.30436893949,2055,1926,1793,1926,85.710883886738
"2050/2051",2051,120,120,100,63.0893030582837,236.429489060947,77.4386501178914,76.0074821008591,99.4986145117132,2190.49649884828,1949.5,1663.62619499875,2079.5,1866,1979,1858,83.8547805933795
"2051/2052",2052,120,120,100,49.5977858081392,185.37451976098,69.1388389104113,60.7000813926208,92.5699958243905,1987.85816885289,1804.5,1667.6166240023,1863,1790,1525,1755.5,82.2308680490587
"2052/2053",2053,121,121,100,38.4167469931505,135.239019088773,70.5023276824483,45.6951738797756,86.8052745155138,1864.794853706,1748.5,1682.87220453481,1718.5,1771.5,1298,1729.5,79.9453697685985
"2053/2054",2054,120,120,100,40.8833510034332,141.617312171005,65.7175745898774,45.9247119420234,85.7693356394729,1889.73390404385,1833.5,1823.70554752302,1772,1873,1223,1841,86.1271930716157
"2054/2055",2055,120,120,100,48.6267348528828,178.09246204423,62.9931702640403,55.1475465534857,88.1679777276308,2076.50968865256,1960,1935.73232870303,1948,1999.5,1455,1972,87.69862303625
"2055/2056",2056,120,120,100,44.6089380566316,177.611928633891,69.8320935006412,55.3488020010879,91.9619724005338,2020.39005041111,1846,1751.18948340561,1885,1842,1530,1824,84.5746073098962
"2056/2057",2057,121,121,100,56.563404038578,188.680476252204,68.6671633136768,65.2965342464193,91.6076332502676,2111.71563556892,1944,1668.93076059707,1928,1900.5,1768,1818.5,81.2163475069847
"2057/2058",2058,120,120,100,39.3661635556321,163.488095801283,72.5836436075146,50.6239635259288,91.2363546636234,1855.73476763425,1719.5,1646.22441022159,1764.5,1697.5,1357,1688.5,84.1953141898193
"2058/2059",2059,120,120,100,46.4184298893202,194.927358875998,62.3202370631983,50.6756252748901,87.5475657959717,2088.64250937261,1999.5,1990.28758982467,1937.5,2056,1409,2037.5,88.0184167704983
"2059/2060",2060,120,120,100,46.8960369958275,185.295119438947,78.3283865244318,61.0985689518611,95.4020988544921,1899.6198987418,1638.5,1497.68111549416,1781.5,1591,1559,1574.5,81.3668994178333
"2060/2061",2061,121,121,100,45.7132662911783,184.929462630039,64.4491020536374,52.1700156286454,88.8587995396906,2005.47661296354,1895,1863.68721474148,1865,1924,1410,1903,87.4336371038698
"2061/2062",2062,120,120,100,42.6618121274799,138.884077989725,69.1984111524618,55.4444252379344,89.3763367657348,1874.65391241555,1621.5,1436.07430476282,1668,1618,1455,1510.5,76.318732380143
"2062/2063",2063,120,120,100,51.9839197139623,196.12592570011,75.3272065879208,64.3431543393751,96.4367350550909,2040.23385031146,1847.5,1655.90414008239,1906,1824.5,1698,1804.5,83.6284320373252
"2063/2064",2064,120,120,100,53.3318038288946,198.454470310056,74.4996338462973,66.853190745847,97.0032048298752,2065.55558642946,1807,1711.82895251147,1892.5,1815.5,1598,1812.5,85.9965926471814
"2064/2065",2065,121,121,100,38.8768972249043,148.861005393838,71.769158965632,49.968474834554,91.3683429297236,1864.60822314527,1696.5,1653.58326262563,1719.5,1717,1282,1694,83.6634341449699
"2065/2066",2066,120,120,100,43.5886385353134,173.423938445947,66.2457123122732,51.9928108434008,89.5625060036186,2016.03970246523,1881.5,1842.92310932877,1864.5,1906,1393,1884,87.3749256492792
"2066/2067",2067,120,120,100,51.9124198969927,204.787978651211,65.0821320787836,57.9842099162675,90.3669455585221,2193.88195672812,2079,2006.21446566359,2078.5,2111,1638,2103,89.1746488855824
"2067/2068",2068,120,120,100,57.7304657072454,218.753433408029,73.9370404375519,71.5131046094004,98.1177994171408,2089.20630523251,1841,1686.13121315014,1946,1822.5,1692,1817,85.878461001661
"2068/2069",2069,121,121,100,38.8343292952067,156.041319290766,62.0415643452038,46.6239722224327,86.6741339143897,1863.35949640407,1775.5,1795.66887891424,1714.5,1810.5,1097,1780.5,84.5441401779626
"2069/2070",2070,120,120,100,48.2583448373508,180.764185522681,71.1516437076496,59.1304694351934,92.0740404902775,1919.23887026563,1700,1591.03222209322,1762,1704,1455,1660.5,82.4723139460693
"2070/2071",2071,120,120,100,43.665580420408,168.897967377772,69.3281489148128,52.5748134786643,90.9156290662244,2008.07105016024,1859.5,1825.69092793313,1866,1896.5,1436,1882.5,84.9847218878967
"2071/2072",2072,120,120,100,47.8136109905151,166.391869402734,71.8586346636283,58.9879252518225,92.8477854985904,2043.57380747533,1852.5,1730.99771326691,1918.5,1856,1549,1836,84.36978532998
"2072/2073",2073,121,121,100,48.0488777800705,205.705693720675,65.1219604005792,57.0286149165623,89.9402330447364,1927.44879725491,1820.5,1636.63314477746,1819,1790.5,1438,1743.5,80.9078164794282
"2073/2074",2074,120,120,100,35.5928890124627,133.491107811965,64.5423859565643,40.1423375853308,85.000352287088,1915.78452789178,1867,1879.36640367928,1779.5,1936.5,1191,1913,85.9634645055667
"2074/2075",2075,120,120,100,38.0318365273963,144.376384843286,72.1325268418804,45.8686057009648,86.3886601182348,1665.25442749658,1474,1341.15916306964,1415,1558,1187,1428.5,73.5301510983099
"2075/2076",2076,120,120,100,34.4811151023571,147.205807764206,65.6534120380663,42.7374860438428,86.9014581925218,1741.46755616277,1619.5,1602.39787138005,1622,1639,1107,1597.5,81.057677896968
"2076/2077",2077,121,121,100,46.5148960398096,176.036526055649,61.7642069112856,50.0789338155315,87.0530184739025,2100.23082844849,2037,2035.51023108219,1957,2099,1371,2079,89.5209670863496
"2077/2078",2078,120,120,100,54.1005868861382,205.002490645928,75.385971809718,69.9818576737214,98.3822785518835,2089.4279774187,1839.5,1659.93073816894,1964.5,1805,1698,1802,84.7042851115693
"2078/2079",2079,120,120,100,47.8990558774857,163.138086917405,77.9874629373151,58.5231069626615,95.3908167101505,2035.6802769691,1831,1776.06687251016,1852,1869.5,1475,1869.5,85.4313541214069
"2079/2080",2080,120,120,100,52.0571475978494,177.722777342535,68.3932742147127,58.2031664754861,90.8265621259759,2111.46490385564,1987,1954.59810076738,1983.5,2058.5,1526,2046,89.758243510083
"2080/2081",2081,121,121,100,45.7947492892027,161.472898977121,63.7873887717612,52.1437213986667,88.5324188941101,2096.38580117183,2047,1971.01267418535,1993,2061,1464,2041.5,87.2081117129346
"2081/2082",2082,120,120,100,38.0493928514826,146.026025518334,66.6739743484125,46.5160832044892,88.8448292532358,1928.30500743995,1743,1789.99619436522,1732,1863,1227,1823.5,84.4999454774133
"2082/2083",2083,120,120,100,50.379064804687,186.05610346344,67.1016256985565,57.1799094821012,89.9076120242958,2080.01241309434,1956,1861.0173691026,1939,1975,1522,1944.5,85.7581361221346
"2083/2084",2084,120,120,100,34.1204208447535,142.360554295956,63.5938216773538,39.3208763106886,84.4561934551132,1838.33302891196,1758,1782.83231643865,1675.5,1841.5,1148,1795,84.410953197179
"2084/2085",2085,121,121,100,53.4975652207759,199.430592308763,78.5532404780629,65.0000448584197,96.2726240985733,2068.08789316553,1839,1676.60726600025,1943,1803,1685,1793,81.3333899866157
"2085/2086",2086,120,120,100,43.8473026566331,185.911453098703,68.2076528353781,53.0564669041174,91.5541446679304,2022.08150496433,1846.5,1852.3430522408,1867,1878,1386,1875,84.9368070963556
"2086/2087",2087,120,120,100,48.1151132043811,160.421887818223,73.0208240428026,58.9842199892756,93.1480208847704,1983.86346414022,1833.5,1707.38741118894,1835.5,1854,1498,1838.5,85.5344627786544
"2087/2088",2088,120,120,100,52.20957982499,191.926000292774,70.2222655311091,62.6766091052965,93.6172507805033,2166.52327728056,1957.5,1890.71724295928,1999,2000,1623,1983.5,87.5379392432678
"2088/2089",2089,121,121,100,44.5747713629712,167.73272940208,73.0305390798789,55.0090470001334,90.8803925679288,1894.34618230659,1736,1662.33476631885,1741.5,1759.5,1359,1713.5,82.1903243446704
"2089/2090",2090,120,120,100,50.0311991729086,197.88806103531,68.3317278317284,58.2269323463141,92.9455410329497,2086.76633357559,1913.5,1895.31220822362,1910,1957.5,1464,1953.5,88.7426589369079
"2090/2091",2091,120,120,100,56.7048320775588,194.188111555559,78.6065476371643,69.1505272708513,97.208192908726,2110.05965362786,1883,1713.69117087605,1961,1871.5,1722,1864.5,85.4538939420527
"2091/2092",2092,120,120,100,49.5368823683552,173.399316778793,73.3423375563921,61.5428546603608,94.5244233698887,1979.05792023288,1785.5,1684.76905834816,1855.5,1765,1471,1758.5,86.0946137625178
"2092/2093",2093,121,121,100,52.91126903721,206.875476867303,74.1647464483223,65.3610396727925,97.1039018839678,2098.72206931101,1856.5,1749.75658159136,1972,1845.5,1630,1845,86.1143268443338
"2093/2094",2094,120,120,100,42.3161800588692,144.135394627814,67.3842487445166,50.9348230553566,88.072269821471,1902.75917950249,1785,1735.60263504209,1784,1809,1302,1769.5,84.6826572073714
"2094/2095",2095,120,120,100,40.960440432049,157.525511821251,69.828839846975,50.7087964705754,90.5859400448743,1829.8627166528,1675,1656.92793388382,1714.5,1675,1244,1658,83.4516636653589
"2095/2096",2096,120,120,100,57.3383236479699,218.544933687154,66.2328358314114,64.0194143916093,91.8859355636183,2178.06641015736,2047.5,1976.99243136487,2047,2076,1611,2072,88.9520939962513
"2096/2097",2097,121,121,100,46.3920858488385,190.251654618029,62.0026075426217,50.0484902540008,85.5137933205237,1926.2970438975,1789,1699.31215082928,1716,1857,1367,1755.5,81.4543414269865
"2097/2098",2098,120,120,100,44.0710531251171,183.959302913064,67.9413301728225,54.5742698218283,88.9207848178621,1768.86727605382,1610.5,1412.80177427528,1636,1568,1351,1483.5,76.1493646110866
"2098/2099",2099,120,120,100,44.1292547205642,174.428940959993,70.101093218135,56.16444997341,93.0112622188328,1941.307427625,1760,1688.13869429743,1784,1770,1375,1751,85.1789926144083
"2099/2100",2100,120,120,100,43.7649832831978,151.402289591049,75.6161179898567,52.0984168678509,89.4467687097028,1903.18794810283,1767.5,1681.59256298612,1778.5,1777.5,1440,1742,80.8795060011344
