"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.1743822850098,169.654225611993,66.5370821330574,47.4279627776108,88.4736425734105,1850.41591575511,1756.5,1705.85826083982,1747,1759.5,1260,1738,82.7103108601523
"2002/2003",2003,120,120,100,40.4349082329721,163.883337427882,72.2512516982457,48.7483769049077,88.8618929677129,1940.19108702993,1820,1756.80508259911,1800.5,1856.5,1419,1833,84.6279253438416
"2003/2004",2004,120,120,100,51.5198816242015,214.988920980974,74.0272028383893,65.6247979412894,97.9551832159466,2040.39933628901,1783,1637.52591913899,1895,1761,1640,1755,86.7352381570313
"2004/2005",2005,121,121,100,53.7600612157091,227.140099091979,68.0014304547413,63.6075755756533,94.4207733253074,2184.80473377601,2009.5,1880.66799152813,2035.5,2031,1720,2011,88.5519650204312
"2005/2006",2006,120,120,100,47.723288480106,202.352301038698,62.6937578883046,53.512764290727,88.9089470804528,2046.32869471778,1952.5,1897.87309748761,1927,1943,1434,1929.5,87.2266802558379
"2006/2007",2007,120,120,100,46.4805084497136,208.668616384947,69.0352953632111,52.9431020363461,89.8941412552084,1984.94352982835,1864,1801.70857180758,1855,1893.5,1457,1870.5,84.6986548840744
"2007/2008",2008,120,120,100,51.2156593939496,198.088124636999,77.9391673214351,64.7059611356375,96.8992669343366,1940.92337275769,1717.5,1528.35814107667,1834.5,1663,1564,1655,79.7513628447291
"2008/2009",2009,121,121,100,46.8994047243405,227.212581313416,71.0839094452214,55.7795992952192,94.078615294963,2000.25257006139,1822,1732.09309892478,1867.5,1842,1542,1837,85.5278793959683
"2009/2010",2010,120,120,100,47.0685866088717,192.58025443896,70.8180354110047,55.3924597963352,91.8987485941513,2064.02701853851,1894.5,1857.19280840572,1904.5,1949,1485,1944,86.1831387318348
"2010/2011",2011,120,120,100,56.9730952303156,224.367549322956,68.3158618525016,65.5303838927966,93.4488026730791,2263.78710617945,2114,1981.95340480898,2128.5,2094,1799,2094,89.1536975688448
"2011/2012",2012,120,120,100,55.4892044559873,204.738176599895,70.9911167598984,66.4870189538776,95.4086916251998,2179.33991434651,2009,1844.88707067638,2067.5,1997.5,1761,1991,86.9877151888868
"2012/2013",2013,121,121,100,44.4660032363526,197.581203962869,71.9890373778403,58.4970775292793,95.5723676708067,1974.9990315716,1751,1669.97681509119,1809,1766.5,1440,1757,85.810836643921
"2013/2014",2014,120,120,100,48.7531142782378,191.441045142153,75.8660605319534,62.0315091113877,95.9231800391097,2018.37562330473,1762.5,1643.28703992967,1869,1741.5,1631,1730.5,82.7477548525633
"2014/2015",2015,120,120,100,27.917152049538,120.858745695291,82.5464537322953,46.7515987164678,94.4191179821256,1408.8159627343,1099,963.020931909961,1265,1088.5,1076,1027,68.2208190187039
"2015/2016",2016,120,120,100,50.3216638279379,190.334888992899,68.6286309932335,59.4373989019783,92.542226143661,2095.42358305075,1931.5,1836.96274839073,1957.5,1968.5,1555,1957,86.3495345860686
"2016/2017",2017,121,121,100,40.779439727046,184.877929578812,70.6832050716412,52.9399204160236,91.614892844929,1807.57693265013,1623,1478.75574109193,1674,1610.5,1372,1552,78.6465473743615
"2017/2018",2018,120,120,100,37.9619362572495,167.438177399092,74.2601776408243,49.9446414813042,91.7092455916926,1751.00902511688,1560,1457.20605445076,1616,1547.5,1320,1508,77.4261074591677
