"Month","Tmin","Tmax","CP"
10,-20,-15,1.05786432335937e-13
10,-20,-14,6.21295117320822e-13
10,-20,-13,3.64651913104052e-12
10,-20,-12,2.13016400143809e-11
10,-20,-11,1.23515551060278e-10
10,-20,-10,7.09585839297909e-10
10,-20,-9,4.0334256359905e-09
10,-20,-8,2.26601781143956e-08
10,-20,-7,1.25720154271035e-07
10,-20,-6,6.88478152604153e-07
10,-20,-5,3.72256933486939e-06
10,-20,-4,1.98952713804394e-05
10,-20,-3,0.000104238635633621
10,-20,-2,0.000536989487277734
10,-20,-1,0.00271244665245432
10,-20,0,0.0132657459392435
10,-20,1,0.0594379758719314
10,-20,2,0.200764410178067
10,-20,3,0.38566424825209
10,-20,4,0.400765447379014
10,-20,5,0.443851748558923
10,-20,6,0.45501370378503
10,-20,7,0.480962211534627
10,-20,8,0.503946565166539
10,-20,9,0.474992891652726
10,-20,10,0.494750069252739
10,-20,11,0.489822754232798
10,-20,12,0.518477797750976
10,-20,13,0.535624850282792
10,-20,14,0.481253700714629
10,-20,15,0.47970199709406
10,-20,16,0.432500966568019
10,-20,17,0.397328637068035
10,-20,18,0.422339180370346
10,-20,19,0.435688016052634
10,-20,20,0.355780138156612
10,-20,21,0.320812286492792
10,-20,22,0
10,-20,23,0
10,-20,24,0
10,-20,25,0
10,-20,26,0
10,-20,27,0
10,-20,28,0
10,-20,29,0
10,-20,30,0
10,-19,-15,1.22121599517101e-13
10,-19,-14,6.99337521864297e-13
10,-19,-13,4.03906343470311e-12
10,-19,-12,2.33230907700264e-11
10,-19,-11,1.34031695248156e-10
10,-19,-10,7.64433305143973e-10
10,-19,-9,4.31882509194234e-09
10,-19,-8,2.41388908490184e-08
10,-19,-7,1.3336682961942e-07
10,-19,-6,7.28314338756191e-07
10,-19,-5,3.93463027265014e-06
10,-19,-4,2.08668674844751e-05
10,-19,-3,0.000108951248892651
10,-19,-2,0.00055960824570679
10,-19,-1,0.00281880239247355
10,-19,0,0.013746898753175
10,-19,1,0.0613823550820598
10,-19,2,0.206354997465548
10,-19,3,0.39501305376548
10,-19,4,0.409407579837523
