"Year","pheno","Chill_Tmean","Heat_Tmean","Year_Tmean"
1958,129,2.61088709679839,2.63325471699528,6.90345303868233
1959,104,2.92432432432432,4.72767857142857,9.88182191780822
1960,115,3.14720553305405,4.78830191222321,9.88952135018852
1961,99,4.02767857142857,5.75597345132743,9.57211210382192
1962,134,2.66441441441441,2.60446428571429,8.99425821721917
1963,127,-3.55968468468468,-1.15178571428571,7.18664383561643
1964,126,1.46734234234234,2.49933035714286,8.93359003454918
1965,131,2.42602678571429,3.00088495575221,9.00497260273973
1966,116,2.88468468468468,3.95089285714286,9.34650684931507
1967,120,3.76621621621622,5.18080357142857,9.5595205479452
1968,122,2.15382882882883,3.26473214285714,9.59897540983607
1969,125,1.19174107142857,2.67676991150443,8.82821917808219
1970,134,0.206981981981982,1.46160714285714,8.83897260273972
1971,123,2.28333333333333,2.41696428571428,9.21739726027397
1972,121,3.01306306306306,4.02276785714286,9.21161202185792
1973,133,2.29821428571429,2.57743362831858,8.70013698630138
1974,102,3.33063063063063,5.68705357142857,9.61712328767123
1975,119,6.57117117117117,5.89419642857143,10.3680821917808
1976,126,3.52972972972973,4.23839285714286,10.0837704918033
1977,124,4.0796875,5.15066371681416,10.2484246575342
1978,124,2.24950829302252,3.40226959690625,8.96491896034383
1979,134,0.782432432432432,1.87723214285714,8.3713698630137
1980,127,3.48198198198198,3.74821428571429,9.20040983606558
1981,105,2.54933035714286,4.64159292035398,9.43294520547946
1982,130,1.43693693693694,2.87589285714286,8.85369863013699
1983,123,3.22702702702703,3.86517857142857,9.87424657534247
1984,129,2.82117117117117,3.44330357142857,9.27021857923497
1985,133,0.630357142857143,1.20619469026549,8.54739726027397
1986,131,0.478828828828828,0.971428571428572,8.58931506849315
1987,121,1.52477477477478,1.47321428571429,8.47369863013699
1988,121,4.52747747747748,5.14285714285714,9.88360655737705
1989,110,4.78214285714286,5.8283185840708,10.0997260273973
1990,95,5.00540540540541,6.4,10.7652054794521
1991,106,2.47342342342342,4.62589285714286,9.14510348137534
1992,117,3.16486486486486,4.76160714285714,10.079781420765
1993,116,3.50133928571429,3.96769911504425,10.1539726027397
1994,116,3.01666666666667,4.82589285714286,9.42712328767123
1995,117,5.36306306306306,5.26696428571429,10.6886301369863
1996,121,0.791441441441442,1.44285714285714,9.26612021857923
1997,107,1.54330357142857,3.6924778761062,9.11561643835616
1998,109,4.75990990990991,6.01428571428571,10.7917808219178
1999,113,3.16346846846847,5.43080357142857,9.88806849315068
2000,113,4.16666666666667,5.43080357142857,11.1368852459016
2001,122,4.28660714285714,4.50221238938053,10.3219178082192
2002,100,3.68693693693694,5.67946428571429,11.0824657534247
2003,113,2.98558558558559,4.21785714285714,10.7753424657534
2004,113,3.99459459459459,4.74151785714286,10.608606557377
2005,113,2.36651785714286,4.79601769911504,10.3802739726027
2006,124,1.48333333333333,2.51294642857143,10.1928767123288
2007,104,6.51666666666667,6.87633928571429,12.4516438356164
2008,115,4.38292792792793,5.31241071428571,10.0872950819672
2009,109,1.68633928571429,3.63137168141593,9.54965753424658
2010,115,2.14567567567568,2.73205357142857,9.59106849315068
2011,101,1.76986486486486,5.08049107142857,10.0424246575342
2012,111,3.57121621621622,4.49883928571429,10.3985928961749
2013,123,2.50575892857143,2.3991592920354,9.13472602739726
2014,94,4.91441441441441,6.95544642857143,11.081904109589
2015,111,3.81130630630631,4.45714285714286,10.4321643835616
2016,114,5.79752252252252,5.24120535714286,10.9037978142077
2017,100,3.39165178571429,5.05438053097345,10.5835205479452
2018,109,3.74581081081081,4.83848214285714,11.0171506849315
